#Time	X	Y	Z	22:0.212:8.661:4.047	23:12.704:3.873:2.398	24:11.649:0.058:0.333	26:12.704:15.277:1.494	27:0.719:3.864:0.068	28:12.704:9.745:3.695	2b:0.717:3.87:2.522	2c:2.312:0.052:1.369	2e:8.822:15.64:3.91	30:12.61:9.768:0.064	3f:7.05:0.064:3.295
1459998278.3   3.37121638596  10.5064091871  1.05534624062     4.72607096503  0              0              10.6120414756  7.17988979081   0  7.39580033146  10.4995579389  7.9390642041   9.29410179222  11.2626843969
1459998278.38  3.37560291527  10.468385507   1.04419184883     4.72922468594  0              0              10.5360312415  7.18995535698   0  0              10.5178858288  0              9.30803377834  11.2239835752
1459998278.46  3.10957263064  10.6327862943  1.04961367431     4.73969704077  0              14.3362115164  10.6166258768  7.21270130827   0  0              10.329527265   0              9.34089532352  11.1715259949
1459998278.54  3.68382794764  10.1813357857  1.06530018055     4.73523437225  0              12.1769570399  10.5263112121  7.22010867693   0  0              10.4987540179  8.01959051333  9.26942314607  11.1507455467
1459998278.62  3.43443940304  10.4649318244  1.19240514546     4.70038141492  0              0              10.5950796123  7.25093745611   0  7.37562337725  10.534823203   7.92367924521  9.29609064377  11.0426927595
1459998278.7   3.26509008182  10.5616768322  1.03642258959     4.68512332713  0              13.6534513725  10.6116994147  7.18929689828   0  7.38589451989  10.5093214483  0              9.29892923068  11.2798473854
1459998278.78  3.4805946862   10.4642989232  1.11945728336     4.70734935997  0              0              10.6009322882  7.26269475113   0  7.32466980163  10.5609899634  0              9.06646142983  11.1770734797
1459998278.86  3.32283695688  10.3832453695  0.932350374836    4.75271881364  0              0              10.6288437584  7.11205878692   0  7.18507337534  10.4156054491  0              9.3677373296   11.1689735801
1459998278.94  3.37769209917  10.3947774674  1.18374015579     4.68809532384  0              0              10.6330752968  7.19932536934   0  6.96858642168  10.4763302352  7.97636614043  9.26958225132  11.2025325393
1459998279.02  3.35438630563  10.510907549   1.05452862453     4.723982059    0              0              10.5882165342  7.24474944728   0  7.43584269193  0              8.01662502033  9.37609054831  11.1712769708
1459998279.1   3.34057285458  10.465939232   0.95810409785     4.75485328412  0              0              10.6066716585  7.14672580583   0  7.27123279987  10.5745288907  0              9.30937585924  11.2221060049
1459998279.22  3.12886029549  11.4602301122  -0.715691237396   6.4932015832   13.1646166372  0              10.367102353   8.31641014466   0  8.06958449064  0              0              9.56577961654  12.3462125167
1459998279.3   3.81815307248  10.2988662762  1.14998790707     4.72819113113  9.9230628067   0              10.6898562854  6.93797993796   0  8.37792425458  0              0              9.50221525913  11.1456505846
1459998279.38  3.47716019665  10.3755137634  1.10465152611     4.73937939852  11.0126177124  0              10.6706998652  0               0  7.36877340849  0              7.9614790449   9.37907653693  11.2438982302
1459998279.46  3.38421997573  10.4211242664  1.07566859144     4.71045987849  11.2487047074  0              10.6534050971  0               0  7.41825673879  0              8.02794229327  9.47628211374  11.177572767
1459998279.54  3.80745565003  10.1421915941  1.6132667078      4.65840178605  10.0290135307  0              10.6032171437  0               0  7.22434691913  0              0              9.3637632772   11.2279264401
1459998279.62  3.26507586282  10.3649905548  0.866081831283    4.70690735685  11.6111944085  0              10.6953046813  0               0  7.23155446031  0              0              9.35251599096  11.1764280507
1459998279.7   3.22075811128  10.4612829263  0.852169924479    4.74983343897  0              0              10.6612100785  0               0  7.33526866546  0              0              9.50929895751  11.2526880265
1459998279.78  3.31702648112  10.3840434581  0.948720774289    4.69093591486  11.5529753525  0              10.650703193   0               0  7.27984419864  0              0              9.32392812379  11.1455183882
1459998279.86  3.29899564767  10.4036408507  0.912897737392    4.72156105712  11.6071456276  0              10.6121570179  0               0  0              0              0              9.32058210379  11.2259290646
1459998279.94  3.2733871995   9.22116369663  0.489347792044    4.69990720875  11.5457910812  11.5113170801  10.6410181828  0               0  5.37383917382  0              0              9.29484629551  11.2398502646
1459998280.02  3.28693928771  10.401248498   0.889405481141    4.71678234392  11.588671631   0              10.6848662604  0               0  7.35559892698  0              0              0              11.134296802
1459998280.1   3.37330838162  10.4231903822  0.929475782402    4.74759214804  11.4526666187  0              10.6116131297  0               0  7.32694975757  0              0              9.27313137672  11.2457516893
1459998280.22  4.19149185646  10.8615373319  -0.917825632976   6.56339313726  12.2805176812  0              10.5199855108  0               0  8.69209531573  10.4789195548  7.90108628301  7.32340688885  12.3865173836
1459998280.3   3.38837680462  10.1995083014  1.12720923868     4.76440663359  0              0              10.6752991784  0               0  6.3259702376   10.479736637   8.02494556167  9.15715805287  11.229699953
1459998280.38  3.25930906494  10.1234895521  1.22974874181     4.74730047551  11.5413550718  0              10.6856943026  0               0  5.77283380876  10.4983863713  8.00837872707  9.34130736772  11.1708682237
1459998280.46  3.30436823287  10.4323179054  0.947319476772    4.72239748171  11.5506759218  0              10.6552714868  0               0  0              10.5111413687  0              9.33502705182  11.228144786
1459998280.54  3.42006263473  10.3900916883  1.04769293293     4.71128433147  11.5324100845  13.0759105425  10.637816987   0               0  7.23628266444  10.4655226504  7.97381396037  9.22030402075  11.1575170485
1459998280.62  4.52413356172  9.72865106252  1.90490218543     4.67405647973  8.55708210507  0              10.675986385   0               0  0              10.5026189918  7.92299221163  0              11.2307886062
1459998280.7   3.34685568995  10.3986295312  1.12325388015     4.63777633773  11.5435551974  0              10.5854263812  0               0  0              10.4717046521  0              9.31876872597  11.0851435597
1459998280.78  3.30031627487  10.4888379721  1.32903251574     4.48165574702  11.606300591   0              10.6857914197  0               0  7.28373978037  10.4701337773  7.93627655673  9.31601455136  11.2028938454
1459998280.86  3.32558980444  10.5432106263  1.37643033336     4.48078265704  11.5691320531  0              10.6159755244  0               0  7.36049040998  10.5604511187  0              9.33424838423  11.2252255
1459998280.94  2.35829350082  11.3365057255  0.77401354098     4.44667690168  14.4687892146  0              10.6437171057  0               0  0              10.5261777324  0              9.37029985297  0
1459998281.02  3.24415550354  10.53937405    1.44602669311     4.42168824943  11.6346199352  0              10.6491030997  0               0  7.24989421994  10.5978136636  0              9.47322582228  11.2049401231
1459998281.1   3.36351100318  10.4761509276  1.67026168321     4.36206220736  0              0              10.5960503444  0               0  7.2733033191   10.527236153   0              9.42465730527  11.0472129807
1459998281.22  3.86011621493  10.4061951376  -0.500039196745   5.7877679175   0              0              10.6020411757  7.36283756563   0  7.40513405077  10.5333542611  8.65682145023  7.8067039816   12.388802445
1459998281.3   3.31885809714  10.4519111655  1.96641571704     4.23280069861  0              0              10.6458730245  7.39084489783   0  7.02995430121  10.5523771347  0              9.5318669277   11.0359918175
1459998281.38  3.27054192495  10.4494815583  1.78453191597     4.22534089776  0              0              10.627004882   7.27299549397   0  7.13155221231  10.4660326968  0              9.54918647501  11.0979014017
1459998281.46  3.43354902861  10.3092039622  2.21592163611     4.12912909491  0              0              10.6263467143  7.46009449946   0  6.79086454113  0              0              9.37107259577  10.9981745679
1459998281.54  3.4022375839   10.4372864547  2.28038772208     4.14916892722  0              0              10.5958457063  7.51846988456   0  6.95967399427  10.5515412347  0              9.48482106019  11.0267583345
1459998281.62  3.47310162395  10.4241480627  2.4020004304      4.17795960296  0              0              10.5601161004  7.55834761749   0  7.10152788366  10.4797146383  0              9.5152313084   10.9333197196
1459998281.7   3.56117159681  10.3854280726  2.59207821227     4.22485851632  0              0              10.6093776486  7.680585779     0  7.06668708352  10.4318275224  0              9.44656506304  10.8929874946
1459998281.78  3.53233117093  10.427179606   2.86919103623     3.964611812    0              0              10.6532331809  7.68268653291   0  7.23840058832  10.5639701065  0              9.42566064873  10.9274087647
1459998281.86  3.41511933038  10.4574442533  2.52406970828     4.15607364287  0              0              10.6932938685  7.59179224826   0  7.18260984085  10.543938143   0              9.62668417104  10.8981261426
1459998281.94  3.34971124876  10.4710653669  1.80734659376     4.52723106612  0              0              10.6885865873  7.65689609868   0  7.12899266545  10.3010369165  0              9.65937051931  10.9672168165
1459998282.02  3.37295398974  10.5256328217  2.42493836451     4.13319982968  0              0              10.6044852854  7.5782321534    0  7.13294172746  10.6659033186  0              9.62090371272  11.0176911371
1459998282.1   3.38260539211  10.4729615561  2.43437076128     4.0870268531   0              0              10.6276364382  7.54828479558   0  7.19355882211  10.5038376918  0              9.60904990267  10.9859961692
1459998282.22  4.58968949484  11.1080373148  0.340106049753    5.87557368412  11.2162367896  13.38920931    8.76265664897  7.65396368371   0  8.76093069627  10.531444955   0              7.51917802791  12.5074189239
1459998282.3   3.30616737035  10.4309644833  2.26862719893     4.10692521903  11.3848787266  13.4878611961  10.7486031461  7.37046553029   0  6.94928317451  10.6014072178  7.68584355651  9.62497385796  11.0269254277
1459998282.38  3.27356697315  10.3379689125  2.5098309413      3.81293561966  11.5842165662  13.5237769409  10.734248888   7.37584030957   0  6.58047770265  10.5165298248  7.64797654063  9.42670587995  10.9794527068
1459998282.46  3.1809796028   10.421579718   2.13580861837     4.00815778602  11.5697267081  13.5648031116  10.8457752199  7.32872120358   0  6.98847173926  10.3476569322  7.78180014726  9.62281549646  0
1459998282.54  3.15570649739  10.3825560609  2.29368494265     3.8853181816   11.4940362867  13.5342094861  10.822064405   7.32896956519   0  6.94074631005  10.4246066155  0              9.7580353662   0
1459998282.62  3.27151313467  10.2805705302  1.90452211276     3.89061104085  11.6462332863  13.4976216098  10.9186239304  7.16201076745   0  6.77714424643  10.3591462935  0              8.81928220299  0
1459998282.7   3.30117373856  10.1407329669  1.90820447386     3.88577479481  11.565538694   0              11.1097786859  7.14368520166   0  6.70747310851  10.2737321701  0              8.82966334431  0
1459998282.78  3.21081019327  10.1213169239  1.84007136014     3.76971461773  11.5986619069  13.4872358599  11.0395084053  6.90594880146   0  6.69888644516  10.13217488    0              8.78362214267  0
1459998282.86  3.04680366137  10.0289037213  1.86467541221     3.73683993744  11.5890620195  13.2275054682  11.1936366377  6.85729220392   0  6.64032068541  10.062025103   0              9.42321629478  0
1459998282.94  2.97300620508  9.93449073046  1.96432943465     3.61475421875  11.4193589929  13.4201140028  0              6.64888301093   0  6.56741748126  9.86848140978  0              9.68901591658  0
1459998283.02  3.24574886161  9.70468628751  1.74998523233     3.67459206934  11.5138916966  0              11.412293827   6.63407546592   0  6.41986359362  9.73057255686  0              8.62260661493  0
1459998283.1   2.71898475197  9.64629942794  1.74265202403     3.59111455061  11.4674221085  13.1533600135  11.6014469934  6.42296655768   0  6.18983674262  9.62733199623  0              10.0734861663  0
1459998283.22  2.97467947105  9.28308399497  -0.432954521961   5.42811825143  10.9989698843  0              11.6343227797  0               0  5.89410949887  9.45011189526  0              9.53319627223  11.6395911753
1459998283.3   2.81290596578  9.23546477339  2.29905476919     3.30850631542  11.2555773577  12.7210957343  11.6970703691  6.2654732633    0  5.87122109636  9.2701232351   0              10.3053362747  10.099520595
1459998283.38  3.22649287362  8.89253430738  2.29870852024     3.51465909589  10.4035362929  12.0775869803  11.6877307234  6.07976251992   0  5.6076734308   9.09193106522  0              9.88071039411  10.0315979799
1459998283.46  2.75286547018  8.90060677519  2.14998426788     3.14096554198  11.1177353098  12.7858025655  11.8590854988  5.7498160444    0  5.43208172848  8.92547271079  0              9.99877518449  9.86619181741
1459998283.54  2.89738974351  8.66013827558  1.9392000109      3.44806007798  0              12.3666898421  12.0114220645  5.63781485948   0  5.29995052742  8.73921319462  0              9.8892819638   9.59622933589
1459998283.62  3.2437402786   8.33450404277  2.58647508693     3.33103926943  9.68412204763  0              12.0284597581  5.51155477257   0  5.22428399595  8.60931278535  0              10.068504102   9.57962975459
1459998283.7   2.80723013131  8.53522439465  2.04277415671     3.26914960937  11.0449492029  12.3892418369  12.0122709088  5.44714696671   0  5.52380100619  8.38259376962  0              10.1854875262  9.31885489502
1459998283.78  3.03061074222  8.10233659555  2.44160460375     3.40450758741  10.1444139536  12.1253597479  12.2593783189  5.27423511557   0  4.968292099    8.27582483288  0              10.2469078202  9.10138662768
1459998283.86  3.11315486312  8.20245912608  2.3703372661      3.08008931758  10.4708714114  12.0243675349  11.0668567092  5.11517715762   0  4.73648852667  8.19594490197  0              10.114369137   9.06255918277
1459998283.94  2.98763867717  7.82170885161  2.58724752635     3.12692077589  10.4680818697  11.7151512251  12.3802727272  5.1050268802    0  4.68005728296  8.00223640437  0              10.1178771707  8.76295523422
1459998284.02  2.93067109282  7.76942037129  2.13409373558     3.49186973429  10.576395216   11.7296093987  12.5268224914  5.00422272375   0  4.64977136989  7.79900219031  0              10.1119646839  8.74941064719
1459998284.1   2.99559330727  7.62922074637  2.27400986125     3.47321926182  10.3191705353  11.7046680016  12.5948194595  4.93643870203   0  4.4531966143   7.70148868604  0              10.0106326808  8.67610255664
1459998284.22  3.40730517696  7.30050588595  1.12948524764     5.59204734471  10.7074337511  13.2559502103  13.5437735289  5.45273825134   0  4.19442143133  7.50753035103  0              8.10753179728  6.55822358437
1459998284.3   3.1770497406   7.33459467232  2.30888050589     3.78305221659  10.1659840802  11.4016922234  12.5858171323  4.90273738379   0  4.35598703498  7.32064190037  0              9.98146981178  8.30003211941
1459998284.38  3.15844434853  7.18667068675  2.48306871931     3.85768105115  10.1445176737  11.2739839427  12.7122103423  4.83940737607   0  4.26450179845  7.34419079284  0              10.2558941204  8.15287070456
1459998284.46  3.33115369227  6.92227836692  2.77617600183     3.99288282104  9.71617396234  11.1067191817  12.7605396228  4.79262316544   0  4.15995684491  7.19725801413  0              10.2855765097  7.91722824972
1459998284.54  3.39370545607  6.95407161119  2.21847764583     4.14553923828  9.86076668929  11.0640658036  12.7724534904  4.75529562758   0  4.20982908621  6.9147111776   0              9.71861827987  7.88286568918
1459998284.62  3.50099867605  6.74324873491  2.33991579223     4.27750486773  9.68457096339  10.8439423422  12.6538695442  4.62961968804   0  4.07897253938  0              0              9.85998862577  7.55893313225
1459998284.7   3.73255243413  6.58070039037  2.6454885264      4.49773419981  9.24001574584  10.5562056598  12.7574203635  4.83303965154   0  4.10899134884  6.86089659609  0              9.86091117128  7.52557305704
1459998284.78  3.67014827284  6.49719967747  2.26193388579     4.6887165962   9.46049365431  10.4625917459  12.8153449777  4.64948810601   0  3.92449162928  6.77334838045  0              9.79597868823  7.40161777528
1459998284.86  3.87821139504  6.26202500778  2.446852414       4.85180145426  9.25020188759  10.2328154168  12.8057185644  4.65026250702   0  4.07263658651  6.59423186086  0              9.73554357552  6.98481597149
1459998284.94  3.99749122856  6.10876334772  2.4232742781      5.10414052713  9.110445357    10.0808034613  12.809588612   4.72628830088   0  0              6.42492340473  0              9.63553597561  6.86427441684
1459998285.02  4.29930075497  5.89390415514  2.30090661179     5.33687005863  8.92572571283  9.52882125201  12.7514714195  4.81650908338   0  4.19884021856  6.23322154563  0              9.36398190389  0
1459998285.1   4.43585027201  5.86363525412  2.24177965654     5.54034952506  8.51463808034  9.62550006964  12.6343587881  4.79835900516   0  4.21189744361  6.25647842004  0              9.27207243353  0
1459998285.22  4.60088954329  5.21998380919  -1.00410988731    7.61841704151  10.3002034933  10.9678712692  14.2975072286  4.8361492835    0  6.16419919041  6.16809654974  0              7.36065497641  4.53501363694
1459998285.3   4.50355077894  4.43615209071  1.41184462642     6.08029441869  8.24099746022  9.02243653102  0              4.98727577485   0  4.65765530421  2.80570111991  0              9.09317960174  6.20642783201
1459998285.38  5.11437484919  5.5238602762   2.04986902249     6.34076439803  7.92989635814  8.77732502614  12.4734164404  5.13361811046   0  4.85331587162  6.3153644712   0              8.94809704242  5.89115511631
1459998285.46  5.32376258436  5.65991999134  1.73461290217     0              7.85674290753  8.56862632487  12.3147135634  5.33232803786   0  4.98732810785  6.40354217802  0              8.27419980242  5.96498965938
1459998285.54  5.52105924508  5.6007708554   1.98490664917     6.55581143254  7.54676957603  8.47818974772  12.3038952526  5.56044393224   0  5.23058492783  6.50488718943  0              8.39481976616  5.91500630523
1459998285.62  5.71625978232  5.60328594065  1.73646129793     6.91382633976  7.33853198035  8.51217803697  12.0951930027  5.65872636836   0  5.41731094558  0              0              8.1728077459   5.83345023874
1459998285.7   5.89314529467  5.56926378682  2.01712134619     7.01899288139  7.25960054946  8.3236483016   12.0143238659  5.93210525012   0  5.61271837873  6.58667743053  0              8.1848513624   5.7651066502
1459998285.78  6.13582758963  5.55024788339  2.29445604297     7.16660343632  6.82879834839  8.2741455083   11.9225253778  6.06865355854   0  5.76937332314  6.80831523128  0              8.04000995619  5.65259137378
1459998285.86  6.27376253164  5.56066560143  2.74231513497     7.02737971309  6.73184949157  8.07039502676  11.8524252832  6.32580122319   0  6.01479912028  6.94207445837  0              8.13963866008  5.69234090492
1459998285.94  6.45209554669  5.66481974892  2.49019885226     0              6.5959962478   7.93755490626  11.6194808556  6.49956871169   0  6.13924474029  7.03992021841  0              7.76253042888  5.72260040451
1459998286.02  6.55428545304  5.68631700124  2.64144337353     0              6.48315050688  7.92749598265  11.6150990853  6.66612380008   0  6.26120826502  7.10623822195  0              7.71450001712  5.78607558482
1459998286.1   6.81184647421  5.67927130623  2.52917631008     0              6.22779006622  7.82324171858  11.5658520361  6.79724285499   0  6.50540639879  7.32339662316  0              7.36759897391  0
1459998286.22  8.16056800812  4.77378356514  0.114433586053    9.84994438982  5.8185977947   7.05067049992  12.6733519547  8.01617508857   0  8.41732543203  7.46646052596  0              5.30202624016  4.54156803112
