Format Version,1.1,Take Name,Take 2016-04-07 08.32.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.32.07.811 PM,Total Frames,2981,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10002,Marker_10002,Marker_10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
111,0.925000,-2.093817,1.411634,2.801596,,,
112,0.933333,-2.093827,1.411606,2.801584,,,
113,0.941667,-2.093806,1.411606,2.801630,,,
114,0.950000,-2.093728,1.411599,2.801594,,,
115,0.958333,-2.093768,1.411662,2.801610,,,
116,0.966667,-2.093734,1.411521,2.801675,,,
117,0.975000,-2.093781,1.411590,2.801529,,,
118,0.983333,-2.093715,1.411542,2.801558,,,
119,0.991667,-2.093751,1.411490,2.801622,,,
120,1.000000,-2.093851,1.411568,2.801594,,,
121,1.008333,-2.093802,1.411551,2.801620,,,
122,1.016667,-2.093720,1.411474,2.801599,,,
123,1.025000,-2.093797,1.411456,2.801615,,,
124,1.033333,-2.093760,1.411559,2.801606,,,
125,1.041667,-2.093741,1.411501,2.801569,,,
126,1.050000,-2.093691,1.411494,2.801676,,,
127,1.058333,-2.093628,1.411508,2.801648,,,
128,1.066667,-2.093702,1.411499,2.801612,,,
129,1.075000,-2.093744,1.411503,2.801618,,,
130,1.083333,-2.093703,1.411592,2.801572,,,
131,1.091667,-2.093697,1.411422,2.801612,,,
132,1.100000,-2.093796,1.411539,2.801566,,,
133,1.108333,-2.093832,1.411547,2.801605,,,
134,1.116667,-2.093791,1.411540,2.801543,,,
135,1.125000,-2.093809,1.411627,2.801570,,,
136,1.133333,-2.093781,1.411631,2.801564,,,
137,1.141667,-2.093851,1.411560,2.801496,,,
138,1.150000,-2.093894,1.411641,2.801571,,,
139,1.158333,-2.093886,1.411648,2.801569,,,
140,1.166667,-2.093854,1.411572,2.801567,,,
141,1.175000,-2.093764,1.411509,2.801603,,,
142,1.183333,-2.093853,1.411518,2.801444,,,
143,1.191667,-2.093759,1.411522,2.801485,,,
144,1.200000,-2.093828,1.411626,2.801531,,,
145,1.208333,-2.093814,1.411568,2.801482,,,
146,1.216667,-2.093851,1.411567,2.801525,,,
147,1.225000,-2.093748,1.411584,2.801604,,,
148,1.233333,-2.093712,1.411529,2.801670,,,
149,1.241667,-2.093787,1.411517,2.801560,,,
150,1.250000,-2.093795,1.411547,2.801600,,,
151,1.258333,-2.093871,1.411560,2.801490,,,
152,1.266667,-2.093831,1.411598,2.801521,,,
153,1.275000,-2.093809,1.411574,2.801586,,,
154,1.283333,-2.093801,1.411619,2.801508,,,
155,1.291667,-2.093798,1.411612,2.801563,,,
156,1.300000,-2.093702,1.411596,2.801584,,,
157,1.308333,-2.093709,1.411524,2.801609,,,
158,1.316667,-2.093808,1.411555,2.801554,,,
159,1.325000,-2.093809,1.411557,2.801569,,,
160,1.333333,-2.093668,1.411571,2.801662,,,
161,1.341667,-2.093791,1.411572,2.801476,,,
162,1.350000,-2.093718,1.411514,2.801625,,,
163,1.358333,-2.093839,1.411650,2.801563,,,
164,1.366667,-2.093862,1.411570,2.801557,,,
165,1.375000,-2.093820,1.411609,2.801488,,,
166,1.383333,-2.093812,1.411613,2.801527,,,
167,1.391667,-2.093781,1.411592,2.801515,,,
168,1.400000,-2.093748,1.411490,2.801538,,,
169,1.408333,-2.093853,1.411704,2.801507,,,
170,1.416667,-2.093805,1.411747,2.801534,,,
171,1.425000,-2.093836,1.411624,2.801558,,,
172,1.433333,-2.093752,1.411608,2.801560,,,
173,1.441667,-2.093837,1.411648,2.801569,,,
174,1.450000,-2.093793,1.411647,2.801592,,,
175,1.458333,-2.093806,1.411556,2.801556,,,
176,1.466667,-2.093792,1.411554,2.801569,,,
177,1.475000,-2.093805,1.411611,2.801541,,,
178,1.483333,-2.093816,1.411595,2.801533,,,
179,1.491667,-2.093855,1.411619,2.801607,,,
180,1.500000,-2.093874,1.411674,2.801609,,,
181,1.508333,-2.093842,1.411571,2.801598,,,
182,1.516667,-2.093859,1.411675,2.801587,,,
183,1.525000,-2.093818,1.411640,2.801542,,,
184,1.533333,-2.093849,1.411600,2.801472,,,
185,1.541667,-2.093806,1.411655,2.801573,,,
186,1.550000,-2.093840,1.411544,2.801467,,,
187,1.558333,-2.093861,1.411614,2.801468,,,
188,1.566667,-2.093820,1.411636,2.801601,,,
189,1.575000,-2.093832,1.411585,2.801605,,,
190,1.583333,-2.093783,1.411607,2.801528,,,
191,1.591667,-2.093779,1.411574,2.801541,,,
192,1.600000,-2.093777,1.411608,2.801511,,,
193,1.608333,-2.093792,1.411585,2.801603,,,
194,1.616667,-2.093835,1.411612,2.801437,,,
195,1.625000,-2.093779,1.411537,2.801553,,,
196,1.633333,-2.093808,1.411547,2.801597,,,
197,1.641667,-2.093868,1.411594,2.801518,,,
198,1.650000,-2.093807,1.411578,2.801535,,,
199,1.658333,-2.093834,1.411633,2.801496,,,
200,1.666667,-2.093857,1.411644,2.801607,,,
201,1.675000,-2.093854,1.411609,2.801493,,,
202,1.683333,-2.093834,1.411614,2.801615,,,
203,1.691667,-2.093852,1.411605,2.801564,,,
204,1.700000,-2.093835,1.411646,2.801538,,,
205,1.708333,-2.093853,1.411648,2.801541,,,
206,1.716667,-2.093816,1.411584,2.801609,,,
207,1.725000,-2.093823,1.411619,2.801578,,,
208,1.733333,-2.093814,1.411595,2.801575,,,
209,1.741667,-2.093837,1.411617,2.801590,,,
210,1.750000,-2.093812,1.411584,2.801552,,,
211,1.758333,-2.093795,1.411672,2.801542,,,
212,1.766667,-2.093801,1.411578,2.801506,,,
213,1.775000,-2.093824,1.411628,2.801541,,,
214,1.783333,-2.093755,1.411567,2.801543,,,
215,1.791667,-2.093835,1.411581,2.801551,,,
216,1.800000,-2.093754,1.411620,2.801571,,,
217,1.808333,-2.093822,1.411604,2.801542,,,
218,1.816667,-2.093769,1.411558,2.801575,,,
219,1.825000,-2.093822,1.411603,2.801517,,,
220,1.833333,-2.093753,1.411541,2.801535,,,
221,1.841667,-2.093829,1.411613,2.801548,,,
222,1.850000,-2.093847,1.411635,2.801518,,,
223,1.858333,-2.093845,1.411608,2.801538,,,
224,1.866667,-2.093769,1.411594,2.801565,,,
225,1.875000,-2.093825,1.411561,2.801499,,,
226,1.883333,-2.093812,1.411622,2.801584,,,
227,1.891667,-2.093807,1.411568,2.801567,,,
228,1.900000,-2.093801,1.411632,2.801471,,,
229,1.908333,-2.093757,1.411563,2.801603,,,
230,1.916667,-2.093800,1.411569,2.801558,,,
231,1.925000,-2.093761,1.411556,2.801618,,,
232,1.933333,-2.093803,1.411494,2.801577,,,
233,1.941667,-2.093788,1.411604,2.801580,,,
234,1.950000,-2.093858,1.411604,2.801529,,,
235,1.958333,-2.093833,1.411584,2.801499,,,
236,1.966667,-2.093835,1.411564,2.801493,,,
237,1.975000,-2.093749,1.411553,2.801627,,,
238,1.983333,-2.093802,1.411564,2.801557,,,
239,1.991667,-2.093825,1.411532,2.801608,,,
240,2.000000,-2.093902,1.411562,2.801572,,,
241,2.008333,-2.093789,1.411530,2.801493,,,
242,2.016667,-2.093827,1.411603,2.801538,,,
243,2.025000,-2.093772,1.411673,2.801602,,,
244,2.033333,-2.093833,1.411627,2.801574,,,
245,2.041667,-2.093776,1.411591,2.801568,,,
246,2.050000,-2.093804,1.411566,2.801538,,,
247,2.058333,-2.093786,1.411566,2.801585,,,
248,2.066667,-2.093815,1.411624,2.801579,,,
249,2.075000,-2.093805,1.411563,2.801599,,,
250,2.083333,-2.093717,1.411552,2.801613,,,
251,2.091667,-2.093703,1.411516,2.801582,,,
252,2.100000,-2.093757,1.411559,2.801604,,,
253,2.108333,-2.093756,1.411594,2.801621,,,
254,2.116667,-2.093697,1.411543,2.801656,,,
255,2.125000,-2.093782,1.411607,2.801598,,,
256,2.133333,-2.093747,1.411633,2.801643,,,
257,2.141667,-2.093798,1.411587,2.801527,,,
258,2.150000,-2.093754,1.411599,2.801554,,,
259,2.158333,-2.093793,1.411557,2.801575,,,
260,2.166667,-2.093800,1.411551,2.801603,,,
261,2.175000,-2.093875,1.411654,2.801531,,,
262,2.183333,-2.093875,1.411631,2.801560,,,
263,2.191667,-2.093857,1.411618,2.801523,,,
264,2.200000,-2.093791,1.411579,2.801537,,,
265,2.208333,-2.093864,1.411587,2.801561,,,
266,2.216667,-2.093754,1.411600,2.801513,,,
