Format Version,1.1,Take Name,Take 2016-04-07 08.33.59 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.33.59.370 PM,Total Frames,3382,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10020,Marker_10020,Marker_10020,Marker_10022,Marker_10022,Marker_10022,Marker_10023,Marker_10023,Marker_10023,Marker_10025,Marker_10025,Marker_10025
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702724","8392B20CF49E35702724","8392B20CF49E35702724","8392B20CF49E35702726","8392B20CF49E35702726","8392B20CF49E35702726","8392B20CF49E35702727","8392B20CF49E35702727","8392B20CF49E35702727","8392B20CF49E35702729","8392B20CF49E35702729","8392B20CF49E35702729"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.859731,1.403461,4.367472,,,,,,,,,,,,
1,0.008333,-1.859812,1.403426,4.367449,,,,,,,,,,,,
2,0.016667,-1.859776,1.403370,4.367384,,,,,,,,,,,,
3,0.025000,-1.859693,1.403348,4.367329,,,,,,,,,,,,
4,0.033333,-1.859736,1.403379,4.367342,,,,,,,,,,,,
5,0.041667,-1.859776,1.403507,4.367363,,,,,,,,,,,,
6,0.050000,-1.859856,1.403486,4.367345,,,,,,,,,,,,
7,0.058333,-1.859776,1.403484,4.367275,,,,,,,,,,,,
8,0.066667,-1.859854,1.403481,4.367261,,,,,,,,,,,,
9,0.075000,-1.859975,1.403450,4.367249,,,,,,,,,,,,
10,0.083333,-1.860113,1.403471,4.367230,,,,,,,,,,,,
11,0.091667,-1.860115,1.403476,4.367214,,,,,,,,,,,,
12,0.100000,-1.860132,1.403502,4.367219,,,,,,,,,,,,
13,0.108333,-1.860146,1.403530,4.367253,,,,,,,,,,,,
14,0.116667,-1.860160,1.403570,4.367206,,,,,,,,,,,,
15,0.125000,-1.860139,1.403571,4.367267,,,,,,,,,,,,
16,0.133333,-1.860137,1.403528,4.367191,,,,,,,,,,,,
17,0.141667,-1.860028,1.403374,4.367088,,,,,,,,,,,,
18,0.150000,-1.860056,1.403516,4.367148,,,,,,,,,,,,
19,0.158333,-1.859970,1.403542,4.367146,,,,,,,,,,,,
20,0.166667,-1.859991,1.403560,4.367186,,,,,,,,,,,,
21,0.175000,-1.859933,1.403616,4.367245,,,,,,,,,,,,
22,0.183333,-1.859900,1.403422,4.367087,,,,,,,,,,,,
23,0.191667,-1.859921,1.403458,4.367195,,,,,,,,,,,,
24,0.200000,-1.859939,1.403472,4.367268,,,,,,,,,,,,
25,0.208333,-1.859949,1.403460,4.367311,,,,,,,,,,,,
26,0.216667,-1.859948,1.403373,4.367290,,,,,,,,,,,,
27,0.225000,-1.859895,1.403466,4.367392,,,,,,,,,,,,
28,0.233333,-1.859890,1.403400,4.367375,,,,,,,,,,,,
29,0.241667,-1.859808,1.403469,4.367479,,,,,,,,,,,,
30,0.250000,-1.859797,1.403526,4.367478,,,,,,,,,,,,
31,0.258333,-1.859905,1.403446,4.367448,,,,,,,,,,,,
32,0.266667,-1.859937,1.403521,4.367528,,,,,,,,,,,,
33,0.275000,-1.859885,1.403498,4.367433,,,,,,,,,,,,
34,0.283333,-1.859882,1.403448,4.367438,,,,,,,,,,,,
35,0.291667,-1.859946,1.403428,4.367390,,,,,,,,,,,,
36,0.300000,-1.859937,1.403432,4.367329,,,,,,,,,,,,
37,0.308333,-1.859910,1.403513,4.367317,,,,,,,,,,,,
38,0.316667,-1.859942,1.403483,4.367273,,,,,,,,,,,,
39,0.325000,-1.859964,1.403433,4.367217,,,,,,,,,,,,
40,0.333333,-1.859871,1.403497,4.367188,,,,,,,,,,,,
41,0.341667,-1.859948,1.403461,4.367138,,,,,,,,,,,,
42,0.350000,-1.860026,1.403487,4.367167,,,,,,,,,,,,
43,0.358333,-1.860044,1.403469,4.367158,,,,,,,,,,,,
44,0.366667,-1.860029,1.403440,4.367175,,,,,,,,,,,,
