#Time	X	Y	Z	22:5.687757734167262:6.860601073829677:2.184	23:0.456699805021469:13.621159074905579:2.184	27:-0.0347464218529554:8.885839952284737:2.184	2b:5.800808800076867:3.8185823631946056:2.184	2c:-0.04052054425628793:4.852695354223979:2.184	2e:0.1806430089623272:2.8091662395874213:2.184	31:-0.19103679563592513:10.810429804989036:2.184	3e:4.693287432619167:13.466995121979497:2.184	3f:2.3501069808980755:-0.0034689849945337414:2.184
1459998370.65  1.18159183575     10.5747792122  0.960105847854  5.98736889281   3.38934303805   2.48900388507  9.0551287027   5.8713733804   7.8659712649    1.8243335696   4.66642649183  10.8017952528
1459998372.63  1.0948056002      10.6273772915  0.867074595161  6.08296884742   3.36284980683   2.48541265206  8.55572928104  5.91300509198  7.8894659062    1.87841883937  4.6481021643   0
1459998374.63  1.03830654037     10.6281021583  0.91336888558   6.18385211022   3.35237978101   2.44804127488  8.55650445182  5.87407034396  7.85213079602   1.80048548066  4.62822649313  0
1459998376.65  1.32011057821     10.4912448865  1.0902908195    5.70941298555   3.36403011057   2.49397178407  8.6881709006   5.8644335599   7.75166579963   1.84669399614  4.6944158312   10.6672033542
1459998378.63  1.1049561459      10.5383838836  0.963475320743  6.1342869635    3.35175812851   2.39932013627  8.59790179208  5.87700453711  7.71673052053   1.83332411034  4.67278453833  0
1459998380.63  1.15315292993     10.5548250144  0.989305657202  5.99551815768   3.4036460549    2.41995479492  8.44924922611  5.82668222339  7.76072032661   1.83694372097  4.58568571369  10.9408687335
1459998382.65  1.15598622479     10.5160367936  0.969467321879  6.09658567128   3.39168510781   2.45728936179  8.15387477442  5.81123496004  7.83199175148   1.81292632096  4.68836201116  10.6292480298
1459998384.63  1.07251569017     10.5981805379  0.934605558175  6.09610788816   3.36778350248   2.44628443155  8.51896615314  5.85156921649  7.83155303909   1.80169137426  4.64480364599  0
1459998386.63  1.271291086       10.4886754553  1.07716182679   5.96309529478   3.38647543363   2.44486609965  7.94750746921  5.82793634694  7.85617396638   1.81570621995  4.66795149948  0
1459998388.63  0.660563305083    10.5282843892  0.606548881721  6.52832898995   3.32461511618   2.42616093839  8.49935000726  5.84294157169  7.83706455597   1.89075437925  4.55071917417  0
1459998390.65  1.22030022892     10.5248652084  1.08358442234   5.91104501638   3.30746028014   2.3760235793   8.62678970404  5.84247857007  7.82229119686   1.8472346922   4.66821128912  11.1021371111
1459998392.63  1.17896092607     10.5187042444  0.939648981409  5.94220429146   3.38522401909   2.47097981729  8.99520628608  5.86240660471  7.83844523832   1.85247752941  0              0
1459998394.63  1.08700913816     10.5363907178  0.952781271337  5.89937586357   3.35908392879   2.37548548423  8.52143489183  5.81767514869  7.80945386528   1.83219219466  4.76897740986  0
1459998396.65  1.29041169276     10.4848372265  1.03993940554   5.94603613268   3.40513211852   2.42152854301  8.01340530141  5.85926929076  7.79584496022   1.90287372767  4.62574583695  11.019911462
1459998398.65  0.827476669178    10.483130936   0.727865324113  6.1454832992    3.41606287816   2.3759852416   8.58173971567  5.87530394077  7.69460064294   1.83197264103  4.56427243031  11.7637730611
1459998400.63  1.08888048937     10.5557413664  0.928742366272  6.12899425436   0               2.41635595544  9.02491130301  5.87224675644  7.82651440775   1.82181300634  4.70934515943  0
1459998402.65  0.648092173945    10.4832423619  0.604034602778  6.52331861826   3.38302945194   2.4270418213   8.45002699194  5.78779681215  7.80442434308   1.86098281017  4.74800017258  11.0196552697
1459998404.63  0.755242182719    10.5351304942  0.672081426331  6.41685281166   3.37776853139   2.44116639205  8.44415219387  5.91961331285  7.81792243369   1.80748437781  4.69191607151  0
1459998406.65  1.03480916583     10.608979438   0.84576597085   6.23231314247   3.38463451096   2.43840226567  8.45016145648  5.8366862784   7.85738019263   1.87428921282  4.6724647807   10.8767194513
1459998408.63  1.14246260846     10.5782177207  1.01385964172   5.8766443239    3.35160425998   2.39304291449  8.53982204076  5.8437476225   7.85953874189   1.8149275296   4.65712468108  0
1459998410.65  1.13196667382     10.5083914211  0.987833833942  6.06563370865   3.38257295375   2.43784730639  8.21530406233  5.79006462882  7.79127517022   1.78821361504  4.70661430309  10.6243975283
1459998412.65  1.20587298299     10.506382478   0.968913227814  5.89603620962   3.41997984542   2.51316584056  8.2148060767   5.82395935791  7.72812237129   1.82311123305  4.71278335604  10.7344074418
1459998414.63  1.19490780063     10.5159983111  1.00047417743   5.9943035135    3.36789348721   2.41226277217  7.80209715361  5.80046045063  7.81270595726   1.874792694    4.65631691513  0
1459998416.65  0.935364925486    10.4888564721  0.703025982751  6.11016819779   1.29489462858   2.42496495444  8.4100248647   5.77473899683  7.83320043084   1.89306181844  4.59152564635  10.8323855401
1459998418.63  1.24341315617     10.5263192644  1.05619888669   5.95960785001   3.35157588013   2.40803750516  8.55012293282  5.87310348149  7.7593053702    1.87706783182  4.59592853138  0
1459998403.44  0.940715494381    10.5816886745  0.759308807493  6.16033156008   3.36748178936   2.44628520523  8.79726619177  5.87050730822  7.84130292761   1.86245916465  4.55271969137  10.9669469615
1459998405.42  1.01298831098     10.5988754411  0.87309413772   6.20878522798   3.34687491497   2.50421509016  8.49491615361  5.85844962494  7.78675387941   1.79212096564  4.70679894057  0
1459998407.42  0.889854419732    10.4887435101  0.756359810606  6.14323842878   3.39222278327   2.43914337327  8.47894678545  5.85492561129  7.69670565558   1.82026625184  4.62523648411  0
1459998409.42  1.37476996271     10.4878992796  1.15217281419   0               3.36945639551   2.44504159734  0              5.84928939586  7.79178615824   1.8978139528   4.58578325835  0
1459998411.42  1.24236670808     10.5642831598  1.039574995     5.84221613058   3.41082714847   2.45611504663  8.39632813843  5.87276171134  7.84781233847   1.82943334924  4.57581056643  0
1459998413.44  1.03352777696     10.535057179   0.873355408134  6.059528203     3.38965740129   2.39227315036  8.46232847288  5.8231799376   7.82407230076   1.84718133407  4.80027970103  11.1728611725
1459998415.42  1.21641593294     10.5526109658  1.04363103189   5.85827502153   3.31116925374   2.44540867337  8.37186815022  5.81580198918  7.81677305379   1.86118688429  4.63643865103  0
1459998417.42  1.06547780451     10.482671994   0.871534723064  5.93792758569   3.29597466128   2.47833530675  8.20531350426  5.8896495869   7.78864563887   1.81622419045  5.03165900989  0
1459998419.42  1.13981780361     10.5705803279  0.974338859138  6.03246811055   3.40020954579   2.45522250752  8.4025025086   5.81945252694  7.85278217679   1.80183017672  4.61930900736  0
1459998421.44  1.21738760975     10.5323969246  1.05538725923   5.87828453487   3.37707351987   2.44749155988  8.45675532175  5.80697829535  7.75853592227   1.80297303652  4.66728030315  10.8172480838
1459998423.42  1.16862021929     10.5660395181  0.991094582697  5.90287662538   3.33288568261   2.44405683796  8.42772151034  5.85154886222  7.83697504799   1.84528166374  4.67389656157  0
1459998425.44  1.05286416971     10.5720347514  0.909964035108  6.19373019391   3.40845536478   2.39688989164  8.36289068492  5.79379337917  7.89943761862   1.81448404355  4.6835975223   10.7755533473
1459998427.42  1.45082738509     10.4751040132  1.28858075572   5.56016238985   3.37066021986   2.46592545019  8.42649743329  5.82687282446  7.85113904629   1.8407198234   4.58081339334  0
1459998429.44  1.14844922878     10.5710230664  0.991828119431  6.0415199946    3.37914868976   2.38531311941  8.39447295295  5.84700865922  7.84469009283   1.84644464244  4.59787103227  11.0013081871
1459998431.42  1.19378093583     10.5616290598  0.965963441847  6.03331019391   3.37899625962   2.44445065831  8.30242964188  5.85286682044  7.84435206137   1.88897397128  4.59818574471  0
1459998433.42  1.09773280454     10.561390856   0.878769791383  6.03483483895   3.37769593666   2.50054007023  8.44980633269  5.8495692683   7.80065715978   1.85183807591  4.72236379993  0
1459998435.44  1.22780928491     10.544369917   0.98779147472   5.894065658     3.33790256153   2.48845416703  8.25341179921  5.78607340232  7.89003638274   1.88558167969  4.67813356926  10.7113239148
1459998420.21  1.09974940703     10.5976247212  0.816990713715  6.16595093964   3.3966987849    2.49276295815  8.37106800345  5.98225662469  7.86690846746   1.9016009805   4.7032703349   0
1459998422.21  1.04413343774     10.5394967758  0.921150878533  5.92295844102   3.34029171673   2.4021970743   8.52338568133  5.79178642449  7.85802483068   1.80809589686  4.1768308654   0
1459998424.23  1.07819120337     10.5523644715  0.912933039649  6.0971138922    3.42685726186   2.37928988626  8.42847868897  5.83311239519  7.84677153702   1.8408466383   4.6811452464   11.5033910539
1459998426.21  1.36012991256     10.4914962764  1.19224444176   5.19735342076   0               2.43669679066  8.73396271079  5.78730432373  7.86643432878   1.82522831736  4.57236725917  0
1459998428.21  1.0072404592      10.5743646704  0.915027257631  6.19685568434   3.3194325874    2.45546909317  8.43847924302  5.82136140546  7.77078049688   1.77567900159  4.73654761568  0
1459998430.23  1.08680526203     10.6063193257  0.896006757012  6.15463757543   3.37327336433   2.42349583141  8.40977509893  5.87522498198  0               1.8547915066   4.66526780284  11.2884423648
1459998432.21  1.08108938834     10.5480309427  0.906889896621  5.97453004892   3.43662787615   2.43026227331  8.46147017943  5.90080898216  7.82857738064   1.78679036679  4.76610061191  0
1459998434.21  0.645662080281    10.5164706878  0.575737414717  6.53828995193   3.35568209511   2.40872357542  8.50655008997  5.8313721341   7.86504133535   1.92352193488  4.66131119958  0
1459998436.21  1.23232734455     10.4977376239  0.973644725118  5.91020670024   0               2.46628275886  8.53970745193  5.86887412093  7.78903166215   1.85863308487  4.68499678322  0
1459998438.21  1.26771759268     10.5405560441  1.02999815551   5.94132369798   3.33069330028   2.48635560547  8.58409253339  5.78757180892  7.85345273612   1.90569110426  4.58983526911  0
1459998440.23  1.16653966265     10.5582550371  0.993370574787  6.00354175213   3.30688414393   2.46712712433  9.48461946691  5.83568215031  7.85542350824   1.83056722682  4.69288130107  0
1459998442.21  1.18774899261     10.5338505929  0.977059464861  6.04694942674   3.383693874     2.43548269766  8.67080930316  5.80371818703  7.82865812866   1.87611298603  4.62233880481  0
1459998444.23  1.18264620927     10.5107691004  0.947184190276  5.95700875617   3.39856231856   2.43275509759  8.73705839875  5.82703188159  7.85894684909   1.87430924315  4.72983223442  11.0207372012
1459998446.21  1.16754291779     10.5227073961  1.00706792947   5.77788018771   3.37167152707   2.42840425635  8.44107454496  5.81786917765  7.8160023236    1.8081100509   4.74969779733  0
1459998448.21  0.652505167814    10.536113084   0.676352941489  6.49456282566   3.33573909277   2.44943070034  8.51622810103  5.84793490731  7.80100334474   1.75380486599  4.74053461616  0
1459998450.23  1.30755114939     10.5184329987  1.10337290565   6.23669183391   3.2481349086    2.45214526512  8.10439421108  5.79757784176  0               1.91709584096  4.66650814343  11.356973512
1459998452.21  1.03551281006     10.5988199284  0.869307186315  0               3.36038396724   2.45103781112  8.56115211559  5.85773651757  7.85249662921   1.84131523243  4.71268429442  0
1459998454.23  1.07305998642     10.5801829196  0.931977618019  6.07602401775   3.28950205468   2.45474130528  8.48784371204  5.75365484573  7.86816347827   1.84954302426  4.69826192815  10.7078816797
1459998456.21  1.14862183757     10.4859805929  0.97864329895   6.00761644846   3.41775359621   2.398251534    8.5916183503   5.83072498901  7.72861719072   1.82434040295  4.71683397028  0
1459998458.23  1.10280328151     10.5797084862  0.997663770052  6.01838640749   3.39173172961   2.28757511219  8.84218467348  5.88497515313  7.86758242907   1.80820918368  4.70932305053  10.9304846219
1459998460.21  1.1509296416      10.4961965771  1.02997270066   5.98424436728   3.40329037215   2.42929444549  8.70696846238  5.82105345072  7.72805742574   1.75061552163  4.70825717849  0
1459998462.23  1.18276283284     10.5148712501  0.954545035983  6.02518055414   3.35915037112   2.43179069871  8.26434288113  5.84071326895  7.84932023029   1.90113415986  4.67064383148  10.5227815916
1459998464.21  0.536804627233    10.4955279443  0.540184904901  6.55118706971   3.37821539757   2.49025117167  8.65634606397  5.83970065564  7.69883068606   1.86303599707  4.68979877435  0
1459998466.21  0.714618731759    10.5818138812  0.60578749985   6.3667600896    3.3389300834    2.47283664732  8.69597967804  5.70068136876  7.79660479923   1.88476935477  4.71515732183  0
1459998468.21  0.542768839149    10.5082378743  0.53876475502   6.53641982329   3.42459732979   2.46560938611  8.66706494305  5.80155101045  7.84247666663   1.85261498799  4.71650695574  0
1459998470.23  0.320816327267    10.5063465242  0.514921327266  6.80560925362   3.36635077143   2.44968530531  8.74938546608  5.81393489536  7.8516540121    1.81990798772  4.68698977405  10.7201609989
1459998455.01  1.24395915331     10.5505620531  1.03995698703   6.01067972835   3.41074681522   2.40394059547  8.64809432476  5.30812702744  7.77220751251   1.85912439763  4.54040246395  0
1459998457.03  1.19607500443     10.5790662255  1.07667458508   6.0392407009    3.36741385432   2.39333849813  7.80307307294  5.90463075734  7.86202263124   1.78357092781  4.56376136881  11.2619052656
1459998459.01  1.16144259819     10.5694643202  0.954225412261  5.95985728561   3.38137984118   2.44148992384  8.40631124528  5.88638572432  7.85642040041   1.85108504349  4.66282308843  0
1459998461.01  1.21366473685     10.5409780302  1.04689960561   5.99825890105   3.32954504152   2.43823841829  9.32898660366  5.79749565466  7.81927440213   1.85146602651  4.6051388348   0
1459998463.03  1.08722963813     10.55992492    0.909865660265  6.14643148246   3.31956130034   2.44704363678  5.1378289977   5.79423715468  7.88088834344   1.86382593753  4.71916581624  10.6885712986
1459998465.01  1.00824346965     10.6050813085  0.833612848972  6.30820635556   3.34508207694   2.47095386765  0              5.86316433174  7.86106728048   1.85502615166  4.70627400065  0
1459998467.01  1.15788225682     10.5716306175  0.99419530637   6.01242429768   3.32981458145   2.4455547056   8.40894007518  5.82748959884  7.78756403162   1.85226342299  4.60596038736  0
1459998469.01  1.04034244161     10.5719598659  0.896893703457  5.51079271025   3.42835124532   2.42964188684  8.51715572375  5.83953392103  7.85687829756   1.78353021447  4.71509950955  0
1459998471.03  1.11517902261     10.5481253062  0.956028289691  6.00003923011   3.2607051373    2.35563470007  8.35858873241  5.88802577381  7.79172053228   1.91140099387  4.75963051978  11.4285636397
1459998473.01  1.1957564071      10.5350233146  1.15074626821   5.94952229226   3.32652482192   2.39054899905  8.57947626631  5.87283850221  7.74827421143   1.72734642653  4.62917821157  0
1459998475.03  1.08875288874     10.5653302519  0.918179245897  5.96878415269   3.3151016379    2.42375363641  8.53480038504  5.80582900869  7.82525966843   1.8816114038   4.73279476371  11.3138855935
1459998477.01  1.03313706675     10.5800244832  0.89098661122   6.23641083547   3.31529607786   2.4304560149   0              5.84635582455  7.81961528892   1.84547887624  4.71675419158  0
1459998479.03  1.07001710064     10.5884646249  0.934512383663  6.00164170099   3.40663675553   2.32941041718  8.41998740227  5.88864027338  7.82634557427   1.8217546773   4.74551800808  10.9904193641
1459998481.01  1.43687322618     10.4649871155  1.25336627615   5.52005559022   3.42834911285   2.41816517557  7.35175761861  5.9106743659   7.88015467047   1.82180015275  4.6444723562   0
1459998483.01  1.2145068404      10.54604851    1.05198101045   5.86484226938   3.42632098428   2.43970099875  8.37773600148  5.82942855964  7.83706342227   1.7881190015   4.59879282935  0
1459998485.03  1.14416022195     10.5106453891  0.985628231434  5.89207300437   3.35735307168   2.41102579083  8.30429188968  5.78053095631  7.78177568643   1.83023148889  4.77352996516  10.733427896
1459998487.01  1.08062642305     10.6526118812  0.908840536446  6.22001552319   3.27988079425   2.43301193534  8.92405473517  5.75044536008  7.86620273814   1.85790330522  4.65170741209  0
