Format Version,1.1,Take Name,Take 2016-04-06 08.04.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.04.07.496 PM,Total Frames,8788,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10292,Marker_10292,Marker_10292,Marker_10302,Marker_10302,Marker_10302,Marker_10299,Marker_10299,Marker_10299,Marker_10303,Marker_10303,Marker_10303,Marker_10304,Marker_10304,Marker_10304
,,"8392B20CF49E35702834","8392B20CF49E35702834","8392B20CF49E35702834","8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283B","8392B20CF49E3570283B","8392B20CF49E3570283B","8392B20CF49E3570283F","8392B20CF49E3570283F","8392B20CF49E3570283F","8392B20CF49E35702840","8392B20CF49E35702840","8392B20CF49E35702840"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2.462299,1.417389,3.491440,,,,,,,,,,,,
1,0.008333,-2.462164,1.417241,3.491462,,,,,,,,,,,,
2,0.016667,-2.462205,1.417386,3.491513,,,,,,,,,,,,
3,0.025000,-2.462208,1.417384,3.491511,,,,,,,,,,,,
4,0.033333,-2.462093,1.417331,3.491619,,,,,,,,,,,,
5,0.041667,-2.462234,1.417304,3.491512,,,,,,,,,,,,
6,0.050000,-2.462013,1.417252,3.491652,,,,,,,,,,,,
7,0.058333,-2.462130,1.417374,3.491571,,,,,,,,,,,,
8,0.066667,-2.462143,1.417343,3.491530,,,,,,,,,,,,
9,0.075000,-2.462284,1.417386,3.491396,,,,,,,,,,,,
10,0.083333,-2.462287,1.417404,3.491453,,,,,,,,,,,,
11,0.091667,-2.462216,1.417296,3.491466,,,,,,,,,,,,
12,0.100000,-2.462111,1.417272,3.491598,,,,,,,,,,,,
13,0.108333,-2.462137,1.417244,3.491582,,,,,,,,,,,,
14,0.116667,-2.462127,1.417206,3.491594,,,,,,,,,,,,
15,0.125000,-2.462130,1.417241,3.491568,,,,,,,,,,,,
16,0.133333,-2.462208,1.417402,3.491492,,,,,,,,,,,,
17,0.141667,-2.462029,1.417291,3.491621,,,,,,,,,,,,
18,0.150000,-2.462007,1.417229,3.491712,,,,,,,,,,,,
19,0.158333,-2.462143,1.417313,3.491550,,,,,,,,,,,,
20,0.166667,-2.462193,1.417376,3.491495,,,,,,,,,,,,
21,0.175000,-2.462211,1.417381,3.491465,,,,,,,,,,,,
22,0.183333,-2.462070,1.417311,3.491572,,,,,,,,,,,,
23,0.191667,-2.462096,1.417275,3.491495,,,,,,,,,,,,
24,0.200000,-2.462331,1.417415,3.491453,,,,,,,,,,,,
25,0.208333,-2.461992,1.417166,3.491741,,,,,,,,,,,,
26,0.216667,-2.462032,1.417214,3.491674,,,,,,,,,,,,
27,0.225000,-2.462028,1.417085,3.491606,,,,,,,,,,,,
28,0.233333,-2.462127,1.417218,3.491566,,,,,,,,,,,,
29,0.241667,-2.462064,1.417297,3.491622,,,,,,,,,,,,
30,0.250000,-2.462104,1.417125,3.491576,,,,,,,,,,,,
31,0.258333,-2.462140,1.417243,3.491545,,,,,,,,,,,,
32,0.266667,-2.462163,1.417256,3.491609,,,,,,,,,,,,
33,0.275000,-2.462164,1.417254,3.491502,,,,,,,,,,,,
34,0.283333,-2.462020,1.417243,3.491684,,,,,,,,,,,,
35,0.291667,-2.462103,1.417230,3.491581,,,,,,,,,,,,
36,0.300000,-2.461968,1.417167,3.491860,,,,,,,,,,,,
37,0.308333,-2.462120,1.417305,3.491576,,,,,,,,,,,,
38,0.316667,-2.462176,1.417253,3.491566,,,,,,,,,,,,
39,0.325000,-2.462052,1.417131,3.491680,,,,,,,,,,,,
40,0.333333,-2.462070,1.417153,3.491645,,,,,,,,,,,,
41,0.341667,-2.462173,1.417233,3.491632,,,,,,,,,,,,
42,0.350000,-2.462079,1.417119,3.491649,,,,,,,,,,,,
43,0.358333,-2.462027,1.417150,3.491698,,,,,,,,,,,,
44,0.366667,-2.462081,1.417188,3.491580,,,,,,,,,,,,
45,0.375000,-2.462092,1.417153,3.491636,,,,,,,,,,,,
46,0.383333,-2.462242,1.417481,3.491455,,,,,,,,,,,,
47,0.391667,-2.461983,1.417198,3.491700,,,,,,,,,,,,
48,0.400000,-2.461986,1.417190,3.491647,,,,,,,,,,,,
49,0.408333,-2.462016,1.417281,3.491590,,,,,,,,,,,,
50,0.416667,-2.462157,1.417321,3.491493,,,,,,,,,,,,
51,0.425000,-2.462084,1.417255,3.491615,,,,,,,,,,,,
52,0.433333,-2.462101,1.417244,3.491688,,,,,,,,,,,,
53,0.441667,-2.462064,1.417322,3.491630,,,,,,,,,,,,
54,0.450000,-2.462052,1.417320,3.491549,,,,,,,,,,,,
55,0.458333,-2.461936,1.417244,3.491749,,,,,,,,,,,,
56,0.466667,-2.462221,1.417304,3.491505,,,,,,,,,,,,
57,0.475000,-2.462066,1.417305,3.491597,,,,,,,,,,,,
58,0.483333,-2.462108,1.417188,3.491642,,,,,,,,,,,,
59,0.491667,-2.462078,1.417324,3.491651,,,,,,,,,,,,
60,0.500000,-2.462126,1.417257,3.491627,,,,,,,,,,,,
61,0.508333,-2.462061,1.417151,3.491619,,,,,,,,,,,,
62,0.516667,-2.462052,1.417202,3.491704,,,,,,,,,,,,
63,0.525000,-2.461958,1.417191,3.491746,,,,,,,,,,,,
64,0.533333,-2.462061,1.417247,3.491647,,,,,,,,,,,,
65,0.541667,-2.462098,1.417322,3.491638,,,,,,,,,,,,
66,0.550000,-2.462109,1.417225,3.491574,,,,,,,,,,,,
67,0.558333,-2.462033,1.417163,3.491680,,,,,,,,,,,,
68,0.566667,-2.462088,1.417346,3.491568,,,,,,,,,,,,
69,0.575000,-2.462077,1.417238,3.491599,,,,,,,,,,,,
70,0.583333,-2.462019,1.417209,3.491632,,,,,,,,,,,,
71,0.591667,-2.462077,1.417318,3.491666,,,,,,,,,,,,
72,0.600000,-2.462113,1.417277,3.491489,,,,,,,,,,,,
73,0.608333,-2.462055,1.417311,3.491597,,,,,,,,,,,,
74,0.616667,-2.462158,1.417277,3.491568,,,,,,,,,,,,
75,0.625000,-2.462125,1.417250,3.491617,,,,,,,,,,,,
76,0.633333,-2.462111,1.417253,3.491628,,,,,,,,,,,,
77,0.641667,-2.462135,1.417272,3.491538,,,,,,,,,,,,
78,0.650000,-2.462143,1.417276,3.491521,,,,,,,,,,,,
79,0.658333,-2.462020,1.417299,3.491754,,,,,,,,,,,,
80,0.666667,-2.462129,1.417302,3.491520,,,,,,,,,,,,
81,0.675000,-2.462070,1.417309,3.491640,,,,,,,,,,,,
82,0.683333,-2.462188,1.417384,3.491482,,,,,,,,,,,,
83,0.691667,-2.462060,1.417330,3.491600,,,,,,,,,,,,
84,0.700000,-2.462069,1.417258,3.491519,,,,,,,,,,,,
85,0.708333,-2.462150,1.417257,3.491571,,,,,,,,,,,,
86,0.716667,-2.462031,1.417162,3.491610,,,,,,,,,,,,
87,0.725000,-2.462140,1.417220,3.491629,,,,,,,,,,,,
88,0.733333,-2.462154,1.417284,3.491502,,,,,,,,,,,,
89,0.741667,-2.462040,1.417196,3.491661,,,,,,,,,,,,
90,0.750000,-2.462222,1.417187,3.491488,,,,,,,,,,,,
91,0.758333,-2.461988,1.417091,3.491657,,,,,,,,,,,,
92,0.766667,-2.462164,1.417341,3.491494,,,,,,,,,,,,
93,0.775000,-2.462127,1.417157,3.491598,,,,,,,,,,,,
94,0.783333,-2.462130,1.417282,3.491643,,,,,,,,,,,,
95,0.791667,-2.462108,1.417207,3.491580,,,,,,,,,,,,
96,0.800000,-2.461974,1.417122,3.491755,,,,,,,,,,,,
97,0.808333,-2.462163,1.417308,3.491539,,,,,,,,,,,,
98,0.816667,-2.462211,1.417376,3.491527,,,,,,,,,,,,
99,0.825000,-2.462181,1.417323,3.491503,,,,,,,,,,,,
100,0.833333,-2.462089,1.417234,3.491571,,,,,,,,,,,,
101,0.841667,-2.462150,1.417252,3.491554,,,,,,,,,,,,
102,0.850000,-2.462113,1.417296,3.491588,,,,,,,,,,,,
103,0.858333,-2.462100,1.417232,3.491597,,,,,,,,,,,,
104,0.866667,-2.462181,1.417301,3.491486,,,,,,,,,,,,
105,0.875000,-2.462158,1.417302,3.491508,,,,,,,,,,,,
106,0.883333,-2.462206,1.417367,3.491475,,,,,,,,,,,,
107,0.891667,-2.462057,1.417194,3.491686,,,,,,,,,,,,
108,0.900000,-2.462170,1.417246,3.491539,,,,,,,,,,,,
109,0.908333,-2.462281,1.417437,3.491465,,,,,,,,,,,,
110,0.916667,-2.462324,1.417419,3.491491,,,,,,,,,,,,
111,0.925000,-2.462414,1.417402,3.491351,,,,,,,,,,,,
112,0.933333,-2.462209,1.417308,3.491519,,,,,,,,,,,,
113,0.941667,-2.461992,1.417189,3.491754,,,,,,,,,,,,
114,0.950000,-2.462108,1.417217,3.491583,,,,,,,,,,,,
115,0.958333,-2.461947,1.417142,3.491737,,,,,,,,,,,,
116,0.966667,-2.462010,1.417173,3.491729,,,,,,,,,,,,
117,0.975000,-2.462004,1.417071,3.491750,,,,,,,,,,,,
118,0.983333,-2.462304,1.417341,3.491387,,,,,,,,,,,,
119,0.991667,-2.462260,1.417352,3.491493,,,,,,,,,,,,
120,1.000000,-2.462195,1.417334,3.491455,,,,,,,,,,,,
121,1.008333,-2.462111,1.417351,3.491493,,,,,,,,,,,,
122,1.016667,-2.462207,1.417355,3.491466,,,,,,,,,,,,
123,1.025000,-2.462076,1.417219,3.491610,,,,,,,,,,,,
124,1.033333,-2.462188,1.417326,3.491554,,,,,,,,,,,,
125,1.041667,-2.462056,1.417198,3.491650,,,,,,,,,,,,
126,1.050000,-2.462141,1.417257,3.491587,,,,,,,,,,,,
127,1.058333,-2.462107,1.417300,3.491565,,,,,,,,,,,,
128,1.066667,-2.462170,1.417171,3.491541,,,,,,,,,,,,
129,1.075000,-2.462095,1.417295,3.491524,,,,,,,,,,,,
130,1.083333,-2.461990,1.417185,3.491695,,,,,,,,,,,,
131,1.091667,-2.462226,1.417316,3.491476,,,,,,,,,,,,
132,1.100000,-2.462093,1.417276,3.491542,,,,,,,,,,,,
133,1.108333,-2.462227,1.417358,3.491473,,,,,,,,,,,,
134,1.116667,-2.462186,1.417332,3.491531,,,,,,,,,,,,
135,1.125000,-2.462314,1.417422,3.491445,,,,,,,,,,,,
136,1.133333,-2.462346,1.417275,3.491492,,,,,,,,,,,,
137,1.141667,-2.462251,1.417437,3.491570,,,,,,,,,,,,
138,1.150000,-2.462298,1.417414,3.491425,,,,,,,,,,,,
139,1.158333,-2.462243,1.417348,3.491575,,,,,,,,,,,,
140,1.166667,-2.462194,1.417263,3.491573,,,,,,,,,,,,
141,1.175000,-2.462268,1.417291,3.491551,,,,,,,,,,,,
142,1.183333,-2.462146,1.417125,3.491610,,,,,,,,,,,,
143,1.191667,-2.462078,1.417264,3.491606,,,,,,,,,,,,
144,1.200000,-2.461880,1.417123,3.491708,,,,,,,,,,,,
145,1.208333,-2.462035,1.417279,3.491568,,,,,,,,,,,,
146,1.216667,-2.462261,1.417284,3.491470,,,,,,,,,,,,
147,1.225000,-2.462147,1.417221,3.491627,,,,,,,,,,,,
148,1.233333,-2.462090,1.417186,3.491588,,,,,,,,,,,,
149,1.241667,-2.462125,1.417309,3.491524,,,,,,,,,,,,
150,1.250000,-2.462081,1.417315,3.491571,,,,,,,,,,,,
151,1.258333,-2.462192,1.417268,3.491516,,,,,,,,,,,,
152,1.266667,-2.462163,1.417191,3.491555,,,,,,,,,,,,
153,1.275000,-2.462038,1.417176,3.491587,,,,,,,,,,,,
154,1.283333,-2.462210,1.417266,3.491463,,,,,,,,,,,,
155,1.291667,-2.462197,1.417290,3.491521,,,,,,,,,,,,
156,1.300000,-2.462252,1.417276,3.491517,,,,,,,,,,,,
157,1.308333,-2.462166,1.417297,3.491486,,,,,,,,,,,,
158,1.316667,-2.462278,1.417429,3.491582,,,,,,,,,,,,
159,1.325000,-2.462085,1.417257,3.491664,,,,,,,,,,,,
160,1.333333,-2.462096,1.417218,3.491609,,,,,,,,,,,,
161,1.341667,-2.462109,1.417345,3.491511,,,,,,,,,,,,
162,1.350000,-2.461999,1.417271,3.491632,,,,,,,,,,,,
163,1.358333,-2.462069,1.417260,3.491545,,,,,,,,,,,,
164,1.366667,-2.462181,1.417283,3.491561,,,,,,,,,,,,
165,1.375000,-2.462051,1.417262,3.491691,,,,,,,,,,,,
166,1.383333,-2.462224,1.417209,3.491507,,,,,,,,,,,,
167,1.391667,-2.462252,1.417282,3.491498,,,,,,,,,,,,
168,1.400000,-2.462099,1.417370,3.491570,,,,,,,,,,,,
