1459998210.69	2.80203	9.42814	1.54839	2.73483	9.47597	1.46846	0.11486
1459998210.77	2.64311	9.48777	1.30718	2.73479	9.47598	1.46849	0.18592
1459998210.85	2.64730	9.52978	1.22360	2.73483	9.47592	1.46849	0.26558
1459998210.93	2.77595	9.44560	1.36711	2.73480	9.47596	1.46855	0.11359
1459998211.01	2.77159	9.47564	1.39024	2.73492	9.47598	1.46837	0.08630
1459998211.09	2.84167	9.43733	1.38418	2.73485	9.47600	1.46844	0.14144
1459998211.17	2.83851	9.41278	1.39937	2.73481	9.47592	1.46849	0.13971
1459998211.25	2.67475	9.49897	1.20804	2.73482	9.47605	1.46841	0.26819
1459998211.33	2.89198	9.47990	1.42647	2.73477	9.47600	1.46846	0.16276
1459998211.41	2.74603	9.44600	1.24860	2.73474	9.47604	1.46840	0.22214
1459998211.49	2.84175	9.47141	1.48302	2.73471	9.47599	1.46849	0.10812
1459998211.61	2.83630	9.46204	1.41716	2.73472	9.47599	1.46847	0.11466
1459998211.69	2.79859	9.38589	1.42496	2.73477	9.47604	1.46843	0.11870
1459998211.77	2.72339	9.48154	1.42129	2.73479	9.47594	1.46843	0.04882
1459998211.85	2.74352	9.46003	1.39426	2.73480	9.47597	1.46850	0.07643
1459998211.93	2.73777	9.49313	1.31749	2.73476	9.47591	1.46855	0.15206
1459998212.01	2.81275	9.43456	1.41656	2.73479	9.47596	1.46851	0.10242
1459998212.09	2.70625	9.53033	1.39074	2.73482	9.47596	1.46848	0.09908
1459998212.17	2.75307	9.48578	1.33448	2.73482	9.47602	1.46841	0.13553
1459998212.25	2.82293	9.53576	1.41394	2.73484	9.47604	1.46845	0.11958
1459998212.33	2.71164	9.49013	1.33535	2.73489	9.47607	1.46838	0.13578
1459998212.41	2.73930	9.50424	1.36297	2.73488	9.47605	1.46840	0.10922
1459998212.49	2.69744	9.45409	1.28248	2.73479	9.47608	1.46852	0.19102
1459998212.61	2.77233	9.53216	1.34953	2.73485	9.47607	1.46848	0.13674
1459998212.69	2.73291	9.45807	1.34748	2.73475	9.47600	1.46857	0.12243
