8.57 X 5.43 X X 11.63 X X 7.63 X X X X X 5.34 X X X 
X X 5.45 X X X X X X 8.62 X X X X 5.36 X X X 
X 4.39 5.45 X X X X X 7.69 X X X X X 5.36 X X X 
8.54 X 5.46 X X 11.55 X X X 8.59 X X X X 5.32 X X X 
8.63 4.37 5.43 X X X X X 7.77 8.61 X X X X 5.34 X X X 
X 4.37 5.47 X X X X X 7.67 8.57 X X X X 5.32 X X X 
X X 5.48 X X X X X 7.77 X X X 8.51 X 5.38 X X X 
X 4.36 5.43 X X X X X X 8.62 X X X X 5.33 X X X 
X 4.36 5.47 X X 11.55 X X X 8.58 X X X X 5.35 X X X 
X 4.40 5.48 X X 11.63 X X X 8.56 X X X X 5.36 X X X 
8.53 X 5.44 X X 11.56 X X 7.69 8.69 X X X X 5.28 X X X 
X X 5.42 X X X X X 7.67 X X X X X 5.35 X 8.63 X 
X 4.35 5.45 X X X X X 7.76 8.51 X X X X 5.32 X X X 
X X 5.41 X X X X X 7.70 X X X X X 5.35 X X X 
X 4.28 5.41 X X 11.60 X X 7.67 X X X X X 5.33 X X X 
X 4.33 5.41 X X X X X 7.66 X X X 8.53 X 5.30 X X X 
X 4.34 5.46 X X X X X 7.62 X X X X X 5.34 X X X 
X 4.30 5.41 X X X X X 7.67 X X X X X 5.31 X X X 
X 4.32 5.44 X X X X X X X X X X X 5.32 X X X 
X 4.36 5.37 X X 11.57 X X X X X X X X 5.35 X X X 
X 4.37 5.41 X X X X X 7.70 X X X X X 5.39 X X X 
X 4.30 5.40 X X X X X X X X X X X 5.32 X X X 
X 4.36 5.46 X X 11.63 X X 7.67 X X X X X 5.26 X 8.55 X 
X 4.37 5.42 X X 11.56 X X 7.60 X X X X X 5.35 X X X 
X 4.38 5.41 X X 11.54 X X X X X X X X 5.34 X X X 
X 4.40 5.42 X X X X X X X X X X X 5.35 X X X 
X X 5.44 X X X X X 7.72 8.65 X X X X 5.27 X X X 
X X 5.45 X X 11.59 X X 7.67 8.46 X X X X 5.31 X X X 
X X 5.41 X X 11.54 X X 7.64 X X X X X 5.33 X X X 
