X 5.15 5.98 X X X X X X 8.27 X X 8.75 X 6.12 X 9.18 X 
X 5.17 6.04 X X X X X 7.70 X X X 8.73 X 6.14 X X X 
9.42 5.13 X X X 10.86 X X 7.74 X X X X X 6.13 X 9.12 X 
9.63 5.15 6.00 X X X X X 7.71 X X X 8.77 X 6.11 X X X 
9.60 5.15 X X X X X X X X X X 8.76 X 6.07 X X X 
9.21 5.17 X X X 10.94 X X X X X X X X 6.16 X 9.03 X 
X 5.16 X X X X X X X 8.23 X X X X 6.12 X X X 
X 5.18 6.06 X X X X X 7.75 8.23 X X 8.79 X 6.12 X 9.07 X 
X 5.19 6.02 X X X X X X X X X X X 6.15 X 9.18 X 
X 5.20 5.98 X X X X X X X X X X X 6.11 X 9.02 X 
X 5.17 6.04 X X X X X 7.76 X X X X X 6.12 X 9.12 X 
9.11 5.16 5.93 X X X X X X 8.27 X X X X 6.14 X 9.07 X 
X 5.17 6.01 X X X X X X X X X X X 6.14 X 9.05 X 
X 5.20 X X X X X X X X X X 8.78 X 6.13 X 9.06 X 
X 5.17 6.06 X X 10.90 X X X 8.20 X X X X 6.13 X 9.07 X 
9.24 5.14 X X X X X X X X X X X X 6.13 X 9.05 X 
X 5.14 6.03 X X X X X 7.75 X X X 8.72 X 6.11 X 9.02 X 
X 5.15 6.05 X X 10.89 X X 7.73 X X X X X 6.12 X 9.10 X 
8.96 5.16 6.06 X X X X X 7.71 X X X X X 6.06 X X X 
9.55 5.14 X X X X X X X 8.30 X X X X 6.11 X X X 
9.01 5.16 X X X X X X X X X X X X 6.12 X 9.07 X 
X 5.17 6.04 X X X X X X X X X X X 6.14 X 9.09 X 
8.94 5.22 6.06 X X X X X X X X X 8.75 X 6.14 X 9.07 X 
X 5.17 6.02 X X X X X 7.70 X X X X X 6.11 X X X 
X X X X X X X X X X X X 8.72 X X X X X 
X 5.17 6.02 X X X X X X X X X X X 6.13 X 9.06 X 
X 5.14 6.07 X X 10.85 X X X X X X 8.80 X 6.14 X X X 
X 5.17 X X X X X X X X X X X X X X X X 
X 5.13 6.00 X X 10.89 X X X 8.25 X X 8.73 X 6.16 X 9.08 X 
X 5.15 6.04 X X X X X X X X X X X 6.16 X 9.05 X 
X X X X X X X X X X X X X X X X X X 
X 5.18 X X X X X X X 8.20 X X X X X X X X 
9.05 5.18 6.05 X X X X X X X X X X X 6.15 X 8.96 X 
X 5.15 6.09 X X X X X X X X X X X 6.05 X X X 
8.97 5.14 6.05 X X X X X X - X X X X - X X X 
X 5.15 6.06 X X X X X X 8.26 X X X X 6.17 X 8.96 X 
9.01 5.19 6.07 X X X X X 7.74 X X X X X 6.13 X 9.02 X 
X 5.17 6.06 X X 10.93 X X 7.74 X X X X X 6.17 X X X 
X 5.17 6.05 X X X X X 7.74 X X X X X 6.05 X X X 
8.99 5.15 6.02 X X X X X X X X X X X 6.15 X 9.11 X 
X 5.17 6.07 X X X X X X X X X 8.75 X X X X X 
X 5.15 6.03 X X X X X X 8.11 X X X X - X X X 
9.04 5.16 X X X X X X X X X X X X 6.13 X X X 
X 5.15 X X X X X X X X X X X X 6.16 X 9.01 X 
X X 6.04 X X X X X X 8.28 X X X X 6.12 X 9.02 X 
X 5.16 6.02 X X X X X X X X X X X X X X X 
X 5.16 6.07 X X X X X X X X X X X - X X X 
9.02 5.19 6.06 X X X X X X 8.23 X X X X 6.16 X X X 
X 5.18 6.05 X X X X X X X X X X X 6.06 X X X 
X 5.13 6.04 X X X X X X 8.17 X X 8.76 X 6.13 X 8.98 X 
9.10 5.17 6.07 X X X X X X 8.16 X X X X 6.10 X X X 
9.07 5.17 6.08 X X X X X X X X X X X 6.16 X X X 
X 5.13 6.05 X X X X X X X X X X X 6.16 X X X 
9.08 5.14 6.05 X X 10.85 X X 7.74 X X X X X 6.15 X X X 
X 5.15 6.08 X X X X X X 8.16 X X 8.71 X 6.14 X X X 
X X 6.04 X X X X X - X X X X X 6.16 X X X 
X X X X X X X X X 8.14 X X X X 6.14 X X X 
X 5.19 6.03 X X X X X X 8.26 X X X X 6.14 X X X 
X 5.19 6.09 X X 10.86 X X X X X X X X 6.14 X X X 
X 5.20 6.09 X X 10.81 X X X 8.15 X X X X 6.15 X X X 
X 5.20 6.09 X X X X X X 8.22 X X X X 6.17 X X X 
X 5.13 6.10 X X X X X 7.76 8.23 X X X X 6.14 X X X 
X X 6.07 X X 10.85 X X X X X X X X 6.13 X X X 
X
