X 3.56 X X X 12.32 X X 7.67 X X X X X 4.57 X X X 
X 3.53 X X X X X X 7.72 X X X X X 4.56 X X X 
X 3.55 X X X 12.29 X X X X X X X X X X X X 
X 3.54 X X X 12.21 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 3.61 X X X 12.33 X X X X X X X X 4.56 X X X 
X 3.54 X X X X X X 7.70 X X X X X 4.56 X 8.11 X 
X 3.54 X X X X X X X X X X X X X X X X 
X 3.57 X X X X X X 7.72 X X X X X 4.51 X X X 
X 3.53 X X X 12.32 X X X X X X 8.45 X 4.58 X X X 
8.29 X 4.86 X X X X X 7.74 X X X 8.45 X 4.57 X X X 
X 3.54 X X X X X X X X X X X X X X X X 
8.15 X 4.84 X X X X X X X X X X X X X X X 
X 3.52 X X X X X X X X X X X X X X X X 
X 3.57 X X X 12.27 X X 7.74 X X X X X X X X X 
8.07 X 4.86 X X 12.26 X X X X X X X X X X X X 
8.21 X 4.82 X X X X X 7.72 X X X 8.45 X 4.61 X X X 
X X X X X X X X X X X X X X X X X X 
X 3.48 X X X X X X 7.73 X X X X X 4.54 X X X 
X 3.49 X X X X X X X X X X X X X X X X 
8.16 X 4.81 X X 12.30 X X 7.65 X X X X X 4.58 X X X 
8.07 X 4.87 X X X X X 7.64 X X X X X 4.56 X X X 
8.11 X 4.88 X X 12.27 X X 7.72 X X X X X 4.55 X X X 
X - X X X - X X - X X X X X - X X X 
X 3.47 X X X 12.27 X X 7.29 X X X X X 4.54 X X X 
X 3.49 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 3.48 X X X X X X 7.71 X X X X X X X X X 
X 3.50 X X X 12.22 X X 7.76 X X X X X 4.58 X X X 
X 3.47 X X X 12.30 X X 7.66 X X X X X X X X X 
X 3.46 X X X X X X 7.71 X X X X X 4.58 X X X 
X X X X X X X X 7.61 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 3.50 X X X 12.25 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X 9.09 X X X X X X X X 
X 3.56 X X X X X X 7.24 X X X X X X X X X 
X 3.52 X X X 12.28 X X 7.73 X X X X X 4.58 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X 7.63 X X X 8.47 X X X X X 
X X X X X 12.20 X X 7.41 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X 12.23 X X 7.70 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X 12.23 X X 7.72 X X X X X X X X X 
X X X X X 12.30 X X X 9.08 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X 12.30 X X 7.68 X X X 8.49 X X X X X 
X X X X X 12.30 X X 7.75 X X X 8.57 X X X X X 
X X X X X 12.29 X X 7.22 X X X X X X X X X 
X X X X X 12.28 X X 7.71 X X X X X X X X X 
X X X X X 12.26 X X 7.73 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
- X 4.82 X X X X X 8.01 X X X X X X X X X 
8.02 X 4.80 X X X X X 7.68 X X X X X X X X X 
X X - X X X X X 7.20 X X X X X X X X X 
X X 4.83 X X X X X 7.70 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.13 X 4.84 X X X X X 7.50 X X X X X X X X X 
X X 4.84 X X X X X 7.19 X X X X X X X X X 
8.16 X 4.82 X X X X X 8.02 X X X X X X X X X 
8.09 X X X X X X X X X X X X X X X X X 
X X 4.80 X X X X X 7.68 X X X X X X X X X 
8.18 X 4.87 X X X X X 7.70 X X X X X X X X X 
8.21 X 4.82 X X X X X 7.74 X X X X X X X X X 
8.14 X 4.80 X X X X X 7.70 X X X X X 4.56 X X X 
8.11 X 4.81 X X X X X X X X X X X X X X X 
8.22 X 4.82 X X X X X 7.71 X X X X X 4.61 X X X 
X X X X X X X X X X X X X X X X X X 
X 3.58 X X X X X X X X X X X X 4.57 X X X 
X 3.55 X X X X X X X X X X X X X X X X 
X 3.56 X X X X X X 7.66 X X X X X 4.60 X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 3.58 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.10 X X X X X X X 7.66 X X X X X 4.57 X 8.03 X 
8.22 X X X X X X X X X X X X X X X X X 
X 3.62 X X X X X X 7.67 X X X X X 4.59 X X X 
X 3.58 X X X X X X X X X X X X 4.60 X X X 
X - X X X - X X - X X X X X - X X X 
X 3.54 X X X 12.17 X X 7.67 X X X 8.47 X 4.59 X X X 
8.12 X 4.93 X X X X X 7.64 X X X 8.49 X 4.57 X X X 
X X X X X X X X X X X X X X X X X X 
X 3.56 X X X 12.21 X X 7.63 X X X 8.49 X 4.55 X 8.14 X 
X 3.52 X X X 12.20 X X 7.66 X X X 8.46 X 4.55 X X X 
8.25 X X X X 12.26 X X X X X X 8.45 X 4.60 X X X 
X 3.45 X X X X X X X 9.04 X X X X X X X X 
X 3.51 X X X 12.27 X X 7.63 X X X X X 4.56 X X X 
X 3.51 X X X 12.29 X X 7.63 X X X 8.48 X 4.56 X 8.21 X 
X 3.51 X X X 12.27 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 3.53 X X X X 9.88 X 7.67 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 3.51 X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X 8.50 X X X X X 
X X X X X X X X X X X X X X X X X X 
X 3.52 X X X X X X X X X X X X X X X X 
X 3.50 X X X 12.27 X X 7.63 X X X X X X X X X 
X 3.50 X X X 12.23 X X 7.56 X X X X X 4.58 X X X 
X 3.50 X X X X X X X X X X X X X X X X 
X 3.52 X X X 12.26 X X X 9.05 X X X X 4.52 X X X 
X X X X X X X X X X X X X X X X X X 
X 3.52 X X X X X X X X X X X X X X X X 
X 3.52 X X X 12.30 X X X X X X X X 4.60 X X X 
X 3.50 X X X 12.22 X X X X X X X X 4.56 X 8.20 X 
X 3.52 X X X X X X 7.66 X X X X X 4.59 X X X 
X 3.51 X X X 12.24 X X 7.69 X X X X X 4.59 X X X 
X 3.55 X X X X X X X X X X X X 4.57 X X X 
8.16 X X X X 12.22 X X 7.67 X X X 8.47 X 4.60 X X X 
X 3.51 X X X X X X 7.68 X X X X X X X X X 
X 3.56 X X X 12.25 X X 7.64 X X X X X 4.61 X X X 
8.22 X 4.87 X X 12.24 X X 7.63 X X X 8.48 X 4.60 X X X 
8.12 X 4.87 X X X X X X X X X X X X X X X 
X 3.60 X X X X X X X X X X X X X X X X 
X 3.57 X X X X X X X X X X X X X X X X 
X 3.55 X X X 12.25 X X 7.64 X X X X X X X X X 
8.15 X 4.88 X X X X X X 9.16 X X X X X X X X 
X 3.55 X X X X X X X X X X X X X X X X 
8.22 X 4.76 X X X X X X 9.09 X X 8.50 X 4.58 X X X 
8.21 X 4.83 X X X X X 7.73 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X 9.08 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X
