X X 6.19 X X X X X 2.46 2.48 X X X X X X X X 
- 11.06 6.74 X X X X X 2.20 2.24 X X 15.88 X 9.61 X 6.86 X 
X 11.08 6.77 X X 7.17 X X 2.16 2.20 X X 15.95 X 9.70 X 6.89 X 
X X X X X X X X X 2.18 X X X X X X X X 
- 11.18 6.62 X X 7.07 X X 2.16 2.26 X X - X 9.52 X 6.94 X 
- 11.15 6.60 X X 7.83 X X 2.16 2.23 X X 15.99 X 9.51 X 6.90 X 
X 11.16 6.65 X X 7.84 X X 2.16 2.24 X X 15.94 X 9.64 X 6.94 X 
16.14 11.13 6.67 X X 7.11 X X 2.17 2.19 X X 15.99 X 9.45 X 6.84 X 
X 11.14 6.64 X X 6.83 X X 2.15 2.22 X X 15.93 X 9.52 X 6.93 X 
X 11.09 6.67 X X 7.41 X X 2.19 2.20 X X 16.01 X 9.55 X 6.89 X 
- 11.18 6.68 X X 6.72 X X 2.14 2.18 X X 16.01 X 9.50 X 6.86 X 
X 11.17 6.69 X X 7.02 X X 2.14 2.24 X X 16.02 X 9.46 X 6.93 X 
X 11.16 6.64 X X 7.65 X X 2.18 2.25 X X 15.90 X 9.48 X 6.81 X 
X 11.12 6.63 X X 6.92 X X 2.16 2.25 X X 15.90 X 9.53 X 6.92 X 
X 11.16 6.62 X X 6.97 X X 2.16 2.22 X X 15.96 X 9.56 X 6.96 X 
X 11.12 6.64 X X 6.72 X X 2.17 2.26 X X 15.99 X 9.56 X 6.87 X 
X 11.16 6.56 X X 7.58 7.37 X 2.21 2.21 X X 15.92 X 9.45 X 6.90 X 
- 11.14 6.59 X X 6.80 7.29 X 2.21 2.22 X X 15.91 X 9.47 X 6.81 X 
- 11.16 6.70 X X 7.46 7.30 X 2.18 2.27 X X 15.93 X 9.49 X 7.04 X 
17.20 11.16 6.60 X X 7.55 X X 2.16 2.21 X X 15.99 X 9.48 X 6.87 X 
X 11.18 6.68 X X 6.93 X X 2.19 2.18 X X 15.90 X 9
