11.02 6.91 5.91 X X 9.03 X X 6.16 6.14 X X 10.70 X 7.00 X 8.50 X 
11.10 6.91 5.97 X X 9.01 X X 6.14 6.23 X X 10.76 X 6.94 X11.87 7.42 5.64 X X 8.50 X X 5.27 5.32 X X 11.54 X 7.12 X 7.91 X 
11.82 7.44 5.70 X X 8.45 X X 5.28 5.37 X X 11.53 X 7.07 X 7.90 X 
11.79 7.23 5.79 X X 8.45 X X 5.24 5.32 X X 11.55 X 7.08 X 7.89 X 
11.84 7.42 5.80 X X 8.46 X X 5.26 5.36 X X 11.52 X 7.00 X 7.89 X 
11.84 7.38 5.66 X X 8.52 X X 5.26 5.34 X X 11.51 X 7.05 X 7.93 X 
11.89 7.37 5.75 X X 8.50 X X 5.29 5.37 X X 11.51 X 7.14 X 7.89 X 
11.82 7.37 5.83 X X 8.49 X X 5.27 5.31 X X 11.57 X 7.09 X 7.90 X 
11.84 7.44 5.67 X X 8.51 X X 5.26 5.34 X X 11.50 X 7.08 X 7.94 X 
11.78 7.53 5.83 X X 8.45 X X 5.28 5.35 X X 11.54 X 7.05 X 7.99 X 
11.81 7.40 5.71 X X 8.47 X X 5.27 5.36 X X 11.51 X 7.03 X 7.87 X 
11.84 7.53 5.68 X X 8.47 X X 5.26 5.35 X X 11.54 X 7.11 X 7.84 X 
11.88 7.55 5.71 X X 8.45 X X 5.31 5.35 X X 11.52 X 7.17 X 7.85 X 
11.94 7.52 5.79 X X 8.46 X X 5.26 5.37 X X 11.54 X 7.14 X 7.90 X 
11.94 7.52 5.78 X X 8.44 X X 5.31 5.37 X X 11.50 X 7.11 X 7.92 X 
11.84 7.46 5.70 X X 8.45 X X 5.30 5.36 X X 11.56 X 7.09 X 7.87 X 
11.84 7.48 5.68 X X 8.41 X X 5.34 5.39 X X 11.53 X 7.15 X 7.88 X 
X 7.49 X X X 8.45 X X 5.28 5.28 X X 11.52 X 7.02 X 7.89 X 
X 7.41 X X X 8.45 X X 5.32 5.39 X X 11.53 X - X 7.90 X 
X 7.40 X X X 8.46 X X 5.34 5.31 X X 11.58 X 7.05 X 7.90 X 
X 7.43 X X X 8.47 X X 5.32 5.35 X X 11.56 X 6.95 X 7.94 X 
X 7.46 X X X 8.49 X X 5.38 5.40 X X 11.56 X 7.18 X 7.87 X 
X 7.43 X X X 8.50 X X 5.44 5.34 X X 11.58 X 7.09 X 7.85 X 
X 7.44 X X X 8.44 X X 4.80 5.32 X X 11.62 X 7.10 X 7.90 X 
X 7.49 X X X 8.47 X X 5.37 5.35 X X 11.55 X 7.23 X 7.91 X 
X 7.45 X X X 8.38 X X 5.36 5.30 X X 11.59 X 7.05 X 7.92 X 
X 7.44 X X X 8.44 X X 5.32 5.40 X X 11.50 X 7.15 X 7.86 X 
X 7.40 X X X 8.38 X X 5.24 5.39 X X 11.58 X 7.15 X 7.93 X 
X 7.35 X X X 8.41 X X 5.29 5.41 X X X X 7.12 X 7.93 X 
X 7.45 X X X 8.44 X X 5.36 5.41 X X 11.61 X 7.09 X 7.89 X 
X 7.33 X X X 8.45 X X 5.33 5.37 X X 11.50 X 7.11 X 7.92 X 
X 7.34 X X X 8.42 X X 5.24 5.37 X X 11.56 X 7.07 X 7.88 X 
X 7.38 X X X 8.45 X X 5.26 5.34 X X 11.46 X 7.07 X 7.92 X 
X 7.41 X X X 8.42 X X 5.31 5.31 X X 11.57 X 7.13 X 7.90 X 
X 7.44 X X X 8.37 X X 5.26 5.41 X X 11.50 X 7.14 X 7.92 X 
X 7.38 X X X 8.45 X X 5.22 5.32 X X 11.53 X 7.12 X 7.93 X 
X 7.45 X X X 8.44 X X 5.24 5.36 X X 11.54 X 7.05 X 7.94 X 
X 7.43 X X X 8.44 X X 5.29 5.38 X X 11.60 X 7.20 X 7.92 X 
X 7.44 X X X 8.44 X X 5.25 5.39 X X 11.55 X 7.06 X 7.88 X 
X 7.42 X X X 8.39 X X 5.26 5.40 X X 11.56 X 7.07 X 7.91 X 
11.88 7.46 5.59 X X 8.46 X X 5.27 5.36 X X 11.49 X 7.10 X 7.90 X 
11.81 7.49 5.56 X X 8.42 X X 5.31 5.30 X X 11.58 X 7.09 X 7.94 X 
11.75 7.42 5.88 X X 8.44 X X 5.31 5.43 X X X X 7.11 X 7.92 X 
X 7.49 5.53 X X 7.88 X X 5.29 5.32 X X 11.58 X 7.07 X 7.92 X 
