Format Version,1.1,Take Name,Take 2016-04-06 08.06.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.06.07.168 PM,Total Frames,2810,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E"
,,Position,Position,Position
Frame,Time,X,Y,Z
129,1.075000,-3.410477,1.415241,3.989384
130,1.083333,-3.410577,1.415368,3.989507
131,1.091667,-3.410557,1.415494,3.989565
132,1.100000,-3.410529,1.415267,3.989417
133,1.108333,-3.410542,1.415300,3.989437
134,1.116667,-3.410585,1.415384,3.989547
135,1.125000,-3.410542,1.415348,3.989490
136,1.133333,-3.410596,1.415311,3.989429
137,1.141667,-3.410588,1.415257,3.989458
138,1.150000,-3.410504,1.415349,3.989472
139,1.158333,-3.410625,1.415333,3.989502
140,1.166667,-3.410568,1.415257,3.989451
141,1.175000,-3.410600,1.415302,3.989487
142,1.183333,-3.410544,1.415267,3.989436
143,1.191667,-3.410606,1.415179,3.989393
144,1.200000,-3.410540,1.415255,3.989450
145,1.208333,-3.410495,1.415423,3.989533
146,1.216667,-3.410546,1.415277,3.989475
147,1.225000,-3.410631,1.415382,3.989557
148,1.233333,-3.410538,1.415475,3.989564
149,1.241667,-3.410547,1.415381,3.989487
150,1.250000,-3.410650,1.415340,3.989500
151,1.258333,-3.410514,1.415391,3.989508
152,1.266667,-3.410531,1.415272,3.989484
153,1.275000,-3.410512,1.415317,3.989430
154,1.283333,-3.410541,1.415367,3.989510
155,1.291667,-3.410555,1.415341,3.989489
156,1.300000,-3.410597,1.415416,3.989534
157,1.308333,-3.410620,1.415285,3.989443
158,1.316667,-3.410573,1.415357,3.989521
159,1.325000,-3.410590,1.415320,3.989481
160,1.333333,-3.410620,1.415303,3.989484
161,1.341667,-3.410536,1.415387,3.989532
162,1.350000,-3.410527,1.415400,3.989501
163,1.358333,-3.410501,1.415372,3.989484
164,1.366667,-3.410546,1.415264,3.989411
165,1.375000,-3.410601,1.415240,3.989395
166,1.383333,-3.410521,1.415364,3.989471
167,1.391667,-3.410440,1.415243,3.989384
168,1.400000,-3.410507,1.415272,3.989383
169,1.408333,-3.410444,1.415361,3.989478
170,1.416667,-3.410508,1.415385,3.989498
171,1.425000,-3.410493,1.415426,3.989506
172,1.433333,-3.410604,1.415288,3.989473
173,1.441667,-3.410490,1.415401,3.989538
174,1.450000,-3.410470,1.415428,3.989558
175,1.458333,-3.410523,1.415409,3.989513
176,1.466667,-3.410502,1.415385,3.989516
177,1.475000,-3.410548,1.415285,3.989444
178,1.483333,-3.410573,1.415261,3.989454
179,1.491667,-3.410559,1.415411,3.989520
180,1.500000,-3.410540,1.415421,3.989552
181,1.508333,-3.410599,1.415346,3.989470
182,1.516667,-3.410590,1.415301,3.989471
183,1.525000,-3.410581,1.415447,3.989564
184,1.533333,-3.410508,1.415431,3.989560
185,1.541667,-3.410604,1.415298,3.989425
186,1.550000,-3.410565,1.415419,3.989545
187,1.558333,-3.410558,1.415367,3.989505
188,1.566667,-3.410479,1.415432,3.989577
189,1.575000,-3.410542,1.415379,3.989527
190,1.583333,-3.410618,1.415376,3.989503
191,1.591667,-3.410505,1.415422,3.989614
192,1.600000,-3.410557,1.415405,3.989532
193,1.608333,-3.410571,1.415411,3.989464
194,1.616667,-3.410576,1.415404,3.989501
195,1.625000,-3.410571,1.415237,3.989407
196,1.633333,-3.410557,1.415377,3.989486
197,1.641667,-3.410601,1.415357,3.989521
198,1.650000,-3.410661,1.415465,3.989556
199,1.658333,-3.410519,1.415420,3.989531
200,1.666667,-3.410603,1.415361,3.989521
201,1.675000,-3.410509,1.415393,3.989508
202,1.683333,-3.410512,1.415417,3.989534
203,1.691667,-3.410461,1.415413,3.989499
204,1.700000,-3.410441,1.415357,3.989441
205,1.708333,-3.410516,1.415406,3.989556
206,1.716667,-3.410529,1.415370,3.989461
207,1.725000,-3.410517,1.415439,3.989555
208,1.733333,-3.410545,1.415358,3.989474
209,1.741667,-3.410579,1.415182,3.989393
210,1.750000,-3.410513,1.415263,3.989439
211,1.758333,-3.410604,1.415223,3.989385
212,1.766667,-3.410561,1.415269,3.989390
213,1.775000,-3.410591,1.415339,3.989479
214,1.783333,-3.410599,1.415297,3.989442
215,1.791667,-3.410596,1.415209,3.989409
216,1.800000,-3.410584,1.415359,3.989477
217,1.808333,-3.410593,1.415448,3.989569
218,1.816667,-3.410601,1.415256,3.989465
219,1.825000,-3.410545,1.415334,3.989531
220,1.833333,-3.410587,1.415395,3.989488
221,1.841667,-3.410562,1.415376,3.989538
222,1.850000,-3.410501,1.415372,3.989540
223,1.858333,-3.410549,1.415306,3.989465
224,1.866667,-3.410505,1.415309,3.989484
225,1.875000,-3.410530,1.415211,3.989351
226,1.883333,-3.410523,1.415218,3.989377
227,1.891667,-3.410507,1.415355,3.989437
228,1.900000,-3.410533,1.415244,3.989400
229,1.908333,-3.410614,1.415186,3.989370
230,1.916667,-3.410561,1.415119,3.989302
231,1.925000,-3.410575,1.415277,3.989432
232,1.933333,-3.410546,1.415401,3.989528
233,1.941667,-3.410615,1.415303,3.989501
234,1.950000,-3.410648,1.415276,3.989449
235,1.958333,-3.410608,1.415211,3.989420
236,1.966667,-3.410574,1.415251,3.989394
237,1.975000,-3.410564,1.415261,3.989445
238,1.983333,-3.410543,1.415259,3.989419
239,1.991667,-3.410564,1.415224,3.989420
240,2.000000,-3.410572,1.415375,3.989538
241,2.008333,-3.410519,1.415438,3.989488
242,2.016667,-3.410549,1.415295,3.989424
243,2.025000,-3.410571,1.415326,3.989435
244,2.033333,-3.410510,1.415253,3.989420
245,2.041667,-3.410551,1.415330,3.989450
246,2.050000,-3.410550,1.415334,3.989468
247,2.058333,-3.410635,1.415190,3.989385
248,2.066667,-3.410598,1.415272,3.989441
249,2.075000,-3.410641,1.415130,3.989349
250,2.083333,-3.410648,1.415255,3.989414
251,2.091667,-3.410728,1.415121,3.989362
252,2.100000,-3.410668,1.415062,3.989291
253,2.108333,-3.410605,1.415213,3.989399
254,2.116667,-3.410696,1.415175,3.989380
255,2.125000,-3.410729,1.415148,3.989418
256,2.133333,-3.410653,1.415259,3.989450
257,2.141667,-3.410586,1.415336,3.989480
258,2.150000,-3.410604,1.415331,3.989505
259,2.158333,-3.410502,1.415303,3.989427
260,2.166667,-3.410583,1.415290,3.989466
261,2.175000,-3.410550,1.415322,3.989461
262,2.183333,-3.410479,1.415388,3.989500
263,2.191667,-3.410601,1.415377,3.989527
264,2.200000,-3.410514,1.415369,3.989472
265,2.208333,-3.410573,1.415257,3.989440
266,2.216667,-3.410512,1.415358,3.989526
267,2.225000,-3.410583,1.415170,3.989387
268,2.233333,-3.410479,1.415344,3.989440
269,2.241667,-3.410521,1.415340,3.989447
270,2.250000,-3.410599,1.415269,3.989426
271,2.258333,-3.410488,1.415418,3.989507
272,2.266667,-3.410522,1.415312,3.989451
273,2.275000,-3.410559,1.415483,3.989570
274,2.283333,-3.410589,1.415326,3.989474
275,2.291667,-3.410632,1.415271,3.989417
276,2.300000,-3.410596,1.415231,3.989422
277,2.308333,-3.410595,1.415279,3.989424
278,2.316667,-3.410533,1.415267,3.989426
279,2.325000,-3.410556,1.415349,3.989470
280,2.333333,-3.410505,1.415416,3.989534
281,2.341667,-3.410529,1.415289,3.989450
282,2.350000,-3.410554,1.415351,3.989522
283,2.358333,-3.410548,1.415370,3.989481
284,2.366667,-3.410468,1.415413,3.989540
285,2.375000,-3.410579,1.415364,3.989489
286,2.383333,-3.410523,1.415398,3.989568
287,2.391667,-3.410612,1.415345,3.989447
288,2.400000,-3.410523,1.415329,3.989465
289,2.408333,-3.410444,1.415375,3.989516
290,2.416667,-3.410499,1.415286,3.989426
291,2.425000,-3.410400,1.415470,3.989597
292,2.433333,-3.410475,1.415362,3.989536
293,2.441667,-3.410491,1.415482,3.989532
294,2.450000,-3.410448,1.415378,3.989466
295,2.458333,-3.410503,1.415353,3.989479
296,2.466667,-3.410511,1.415326,3.989478
297,2.475000,-3.410497,1.415327,3.989436
