Format Version,1.1,Take Name,Take 2016-04-06 08.07.39 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.07.39.119 PM,Total Frames,4607,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-2.708309,1.417721,3.682974
1,0.008333,-2.708379,1.417621,3.682673
2,0.016667,-2.708466,1.417644,3.682312
3,0.025000,-2.708663,1.417555,3.682140
4,0.033333,-2.708909,1.417664,3.681928
5,0.041667,-2.709024,1.417669,3.681728
6,0.050000,-2.709161,1.417661,3.681374
7,0.058333,-2.709401,1.417688,3.681145
8,0.066667,-2.709583,1.417541,3.680820
9,0.075000,-2.709793,1.417408,3.680531
10,0.083333,-2.709967,1.417529,3.680429
11,0.091667,-2.710086,1.417442,3.680220
12,0.100000,-2.710277,1.417545,3.680215
13,0.108333,-2.710355,1.417603,3.680089
14,0.116667,-2.710467,1.417619,3.679987
15,0.125000,-2.710689,1.417504,3.679925
16,0.133333,-2.710807,1.417405,3.679736
17,0.141667,-2.710952,1.417371,3.679641
18,0.150000,-2.711080,1.417280,3.679565
19,0.158333,-2.711244,1.417396,3.679637
20,0.166667,-2.711387,1.417459,3.679607
21,0.175000,-2.711458,1.417536,3.679598
22,0.183333,-2.711578,1.417342,3.679391
23,0.191667,-2.711765,1.417175,3.679219
24,0.200000,-2.711815,1.417260,3.679141
25,0.208333,-2.711808,1.417392,3.679174
26,0.216667,-2.711779,1.417140,3.678905
27,0.225000,-2.711781,1.417354,3.679050
28,0.233333,-2.711815,1.417380,3.678970
29,0.241667,-2.711885,1.417387,3.678886
30,0.250000,-2.711914,1.417342,3.678838
31,0.258333,-2.711739,1.417357,3.678788
32,0.266667,-2.711756,1.417323,3.678679
33,0.275000,-2.711896,1.417315,3.678722
34,0.283333,-2.711796,1.417371,3.678775
35,0.291667,-2.711827,1.417394,3.678747
36,0.300000,-2.711925,1.417302,3.678795
37,0.308333,-2.711851,1.417287,3.678842
38,0.316667,-2.711805,1.417342,3.678915
39,0.325000,-2.711706,1.417396,3.679016
40,0.333333,-2.711683,1.417425,3.679076
41,0.341667,-2.711713,1.417485,3.679200
42,0.350000,-2.711662,1.417466,3.679282
43,0.358333,-2.711616,1.417429,3.679245
44,0.366667,-2.711491,1.417445,3.679336
