Format Version,1.1,Take Name,Take 2016-04-06 08.07.39 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.07.39.119 PM,Total Frames,4607,Rotation Type,Quaternion

,,Marker,Marker,Marker
45,0.375000,-2.711416,1.417319,3.679306
46,0.383333,-2.711295,1.417425,3.679419
47,0.391667,-2.711168,1.417420,3.679475
48,0.400000,-2.711072,1.417452,3.679577
49,0.408333,-2.710976,1.417491,3.679691
50,0.416667,-2.710845,1.417337,3.679625
51,0.425000,-2.710665,1.417370,3.679772
52,0.433333,-2.710457,1.417505,3.679959
53,0.441667,-2.710298,1.417483,3.680004
54,0.450000,-2.710193,1.417402,3.680098
55,0.458333,-2.710110,1.417405,3.680254
56,0.466667,-2.709944,1.417443,3.680464
57,0.475000,-2.709733,1.417405,3.680601
58,0.483333,-2.709577,1.417471,3.680884
59,0.491667,-2.709345,1.417504,3.681097
60,0.500000,-2.709080,1.417490,3.681297
61,0.508333,-2.708878,1.417568,3.681589
62,0.516667,-2.708740,1.417630,3.681860
63,0.525000,-2.708460,1.417619,3.682110
64,0.533333,-2.708388,1.417571,3.682364
65,0.541667,-2.708311,1.417678,3.682601
66,0.550000,-2.708223,1.417557,3.682825
67,0.558333,-2.708157,1.417639,3.683125
68,0.566667,-2.708057,1.417737,3.683519
69,0.575000,-2.707939,1.417788,3.683748
70,0.583333,-2.707814,1.417666,3.683891
71,0.591667,-2.707857,1.417654,3.684037
72,0.600000,-2.707746,1.417735,3.684306
73,0.608333,-2.707598,1.417807,3.684489
74,0.616667,-2.707542,1.417783,3.684706
75,0.625000,-2.707407,1.417876,3.684891
76,0.633333,-2.707221,1.417740,3.684915
77,0.641667,-2.707120,1.417673,3.685071
78,0.650000,-2.707047,1.417806,3.685311
79,0.658333,-2.706944,1.417758,3.685486
80,0.666667,-2.706795,1.417676,3.685531
81,0.675000,-2.706712,1.417740,3.685726
82,0.683333,-2.706550,1.417745,3.685819
83,0.691667,-2.706450,1.417750,3.686014
84,0.700000,-2.706417,1.417640,3.686178
85,0.708333,-2.706314,1.417684,3.686373
86,0.716667,-2.706305,1.417789,3.686556
87,0.725000,-2.706221,1.417662,3.686674
88,0.733333,-2.706156,1.417621,3.686868
89,0.741667,-2.706039,1.417669,3.687041
90,0.750000,-2.705993,1.417733,3.687265
91,0.758333,-2.705883,1.417631,3.687360
92,0.766667,-2.705777,1.417732,3.687612
93,0.775000,-2.705665,1.417704,3.687751
94,0.783333,-2.705427,1.417754,3.687877
95,0.791667,-2.705364,1.417756,3.688034
96,0.800000,-2.705241,1.417821,3.688221
97,0.808333,-2.705073,1.417866,3.688393
98,0.816667,-2.705021,1.417827,3.688465
99,0.825000,-2.704915,1.417849,3.688585
100,0.833333,-2.704881,1.417759,3.688672
101,0.841667,-2.704818,1.417779,3.688777
102,0.850000,-2.704749,1.417782,3.688985
103,0.858333,-2.704653,1.417735,3.689096
104,0.866667,-2.704669,1.417800,3.689324
105,0.875000,-2.704566,1.417784,3.689482
106,0.883333,-2.704594,1.417702,3.689558
107,0.891667,-2.704545,1.417823,3.689848
108,0.900000,-2.704503,1.417699,3.689876
109,0.908333,-2.704418,1.417742,3.690012
110,0.916667,-2.704241,1.417791,3.690146
111,0.925000,-2.704245,1.417791,3.690282
112,0.933333,-2.704180,1.417796,3.690409
113,0.941667,-2.704076,1.417730,3.690409
114,0.950000,-2.703949,1.417769,3.690558
115,0.958333,-2.703810,1.417841,3.690703
116,0.966667,-2.703807,1.417722,3.690744
117,0.975000,-2.703730,1.417639,3.690788
118,0.983333,-2.703601,1.417796,3.691008
119,0.991667,-2.703568,1.417750,3.691145
120,1.000000,-2.703550,1.417716,3.691169
121,1.008333,-2.703490,1.417701,3.691330
122,1.016667,-2.703454,1.417702,3.691427
123,1.025000,-2.703315,1.417737,3.691617
124,1.033333,-2.703406,1.417768,3.691774
125,1.041667,-2.703369,1.417767,3.691874
126,1.050000,-2.703254,1.417727,3.691852
127,1.058333,-2.703203,1.417778,3.692055
128,1.066667,-2.703112,1.417827,3.692200
129,1.075000,-2.703004,1.417734,3.692195
130,1.083333,-2.702970,1.417822,3.692393
131,1.091667,-2.702855,1.417843,3.692462
132,1.100000,-2.702739,1.417749,3.692492
133,1.108333,-2.702657,1.417852,3.692650
134,1.116667,-2.702610,1.417797,3.692741
135,1.125000,-2.702512,1.417816,3.692839
136,1.133333,-2.702505,1.417698,3.692881
137,1.141667,-2.702405,1.417760,3.693075
138,1.150000,-2.702314,1.417779,3.693179
139,1.158333,-2.702281,1.417792,3.693376
140,1.166667,-2.702188,1.417825,3.693486
141,1.175000,-2.702161,1.417738,3.693657
142,1.183333,-2.702137,1.417851,3.693796
143,1.191667,-2.701998,1.417952,3.694031
144,1.200000,-2.701925,1.418000,3.694122
145,1.208333,-2.701951,1.417864,3.694241
146,1.216667,-2.701791,1.418031,3.694377
147,1.225000,-2.701840,1.417860,3.694450
148,1.233333,-2.701747,1.417853,3.694536
149,1.241667,-2.701651,1.417956,3.694701
150,1.250000,-2.701541,1.418039,3.694801
151,1.258333,-2.701423,1.417900,3.694829
152,1.266667,-2.701405,1.417934,3.694974
153,1.275000,-2.700128,1.415974,3.695110
154,1.283333,-2.700108,1.415879,3.695214
155,1.291667,-2.699947,1.415960,3.695299
156,1.300000,-2.699923,1.416056,3.695435
157,1.308333,-2.699936,1.416032,3.695708
158,1.316667,-2.701034,1.418031,3.695962
159,1.325000,-2.699800,1.416195,3.696055
160,1.333333,-2.699794,1.416064,3.696130
161,1.341667,-2.699651,1.416021,3.696254
162,1.350000,-2.699535,1.415840,3.696342
163,1.358333,-2.699426,1.416024,3.696554
164,1.366667,-2.699357,1.415882,3.696618
165,1.375000,-2.699273,1.415925,3.696883
166,1.383333,-2.699147,1.415994,3.697000
167,1.391667,-2.699033,1.416070,3.697255
168,1.400000,-2.698860,1.415949,3.697274
169,1.408333,-2.698758,1.415972,3.697556
170,1.416667,-2.698620,1.415940,3.697562
171,1.425000,-2.698453,1.415931,3.697751
172,1.433333,-2.698436,1.416094,3.698041
173,1.441667,-2.698305,1.415983,3.698111
174,1.450000,-2.698299,1.416045,3.698212
175,1.458333,-2.698227,1.416210,3.698480
176,1.466667,-2.698153,1.416102,3.698586
177,1.475000,-2.698089,1.416120,3.698679
178,1.483333,-2.698020,1.416120,3.698796
179,1.491667,-2.697839,1.416031,3.698807
180,1.500000,-2.697701,1.416000,3.698940
181,1.508333,-2.697654,1.415897,3.698941
182,1.516667,-2.697548,1.415836,3.698962
183,1.525000,-2.697587,1.415790,3.699050
184,1.533333,-2.697383,1.415973,3.699088
185,1.541667,-2.697400,1.416087,3.699234
186,1.550000,-2.698463,1.417884,3.699170
187,1.558333,-2.698329,1.417931,3.699170
188,1.566667,-2.697331,1.416146,3.699234
189,1.575000,-2.697269,1.416074,3.699110
190,1.583333,-2.697381,1.416064,3.699212
191,1.591667,-2.697357,1.416039,3.699142
192,1.600000,-2.697432,1.416134,3.699212
193,1.608333,-2.697518,1.416169,3.699131
194,1.616667,-2.697626,1.416097,3.698999
195,1.625000,-2.697701,1.416181,3.699060
196,1.633333,-2.697908,1.416170,3.698977
197,1.641667,-2.698031,1.416104,3.698779
198,1.650000,-2.698060,1.416342,3.698791
199,1.658333,-2.698127,1.416260,3.698648
200,1.666667,-2.698316,1.416122,3.698506
201,1.675000,-2.698235,1.416140,3.698349
202,1.683333,-2.698436,1.416114,3.698211
203,1.691667,-2.698459,1.416131,3.698080
204,1.700000,-2.698538,1.416177,3.698014
205,1.708333,-2.698582,1.416123,3.697865
206,1.716667,-2.698640,1.416072,3.697711
207,1.725000,-2.698849,1.416065,3.697524
208,1.733333,-2.698960,1.416060,3.697516
209,1.741667,-2.699065,1.415996,3.697206
210,1.750000,-2.699124,1.415944,3.697142
211,1.758333,-2.699197,1.416145,3.697078
212,1.766667,-2.699265,1.416111,3.696914
213,1.775000,-2.699349,1.416010,3.696690
214,1.783333,-2.699441,1.416034,3.696630
215,1.791667,-2.699529,1.416047,3.696505
216,1.800000,-2.699587,1.415964,3.696424
217,1.808333,-2.699601,1.416036,3.696275
218,1.816667,-2.699668,1.416129,3.696207
219,1.825000,-2.699665,1.415987,3.695979
220,1.833333,-2.699847,1.416117,3.696032
221,1.841667,-2.699748,1.416087,3.695843
222,1.850000,-2.699879,1.416132,3.695767
223,1.858333,-2.699866,1.416019,3.695548
224,1.866667,-2.699848,1.415983,3.695383
225,1.875000,-2.699838,1.415887,3.695277
226,1.883333,-2.699922,1.415932,3.695237
227,1.891667,-2.699973,1.415971,3.695230
228,1.900000,-2.701264,1.417895,3.695147
229,1.908333,-2.701317,1.417832,3.695069
230,1.916667,-2.701334,1.417924,3.695082
231,1.925000,-2.701416,1.417945,3.695011
232,1.933333,-2.701365,1.417799,3.694920
233,1.941667,-2.701478,1.417965,3.694877
234,1.950000,-2.701481,1.417959,3.694843
235,1.958333,-2.701587,1.417950,3.694809
236,1.966667,-2.701618,1.417970,3.694765
237,1.975000,-2.701621,1.418003,3.694773
238,1.983333,-2.701628,1.417886,3.694602
239,1.991667,-2.701666,1.418044,3.694673
240,2.000000,-2.701750,1.417996,3.694603
241,2.008333,-2.701658,1.417941,3.694545
242,2.016667,-2.701707,1.417934,3.694500
243,2.025000,-2.701726,1.417943,3.694484
244,2.033333,-2.701661,1.417890,3.694472
245,2.041667,-2.701743,1.417951,3.694468
246,2.050000,-2.701756,1.417982,3.694466
247,2.058333,-2.701741,1.417948,3.694428
248,2.066667,-2.701797,1.417895,3.694403
249,2.075000,-2.701787,1.417963,3.694441
250,2.083333,-2.701831,1.417980,3.694402
251,2.091667,-2.701875,1.417906,3.694396
252,2.100000,-2.701888,1.417889,3.694326
253,2.108333,-2.701844,1.417734,3.694246
254,2.116667,-2.701826,1.417960,3.694351
255,2.125000,-2.701789,1.417911,3.694371
256,2.133333,-2.701826,1.417972,3.694462
257,2.141667,-2.701855,1.417827,3.694302
258,2.150000,-2.701815,1.417874,3.694343
259,2.158333,-2.701735,1.417789,3.694363
260,2.166667,-2.701744,1.417973,3.694466
261,2.175000,-2.701730,1.417922,3.694438
262,2.183333,-2.701676,1.418062,3.694609
263,2.191667,-2.701754,1.417944,3.694563
264,2.200000,-2.701635,1.417943,3.694579
265,2.208333,-2.701665,1.417897,3.694612
266,2.216667,-2.701663,1.418007,3.694696
267,2.225000,-2.701658,1.417967,3.694719
268,2.233333,-2.701621,1.417947,3.694748
269,2.241667,-2.701541,1.418028,3.694860
270,2.250000,-2.701568,1.418143,3.694917
271,2.258333,-2.701527,1.417999,3.694901
272,2.266667,-2.700279,1.416003,3.694845
273,2.275000,-2.700305,1.415969,3.694963
274,2.283333,-2.700246,1.416040,3.695200
275,2.291667,-2.701340,1.417926,3.695127
276,2.300000,-2.701280,1.417899,3.695174
277,2.308333,-2.700055,1.415938,3.695171
278,2.316667,-2.701290,1.417926,3.695284
279,2.325000,-2.701227,1.418022,3.695560
280,2.333333,-2.699852,1.416202,3.695549
281,2.341667,-2.701131,1.418135,3.695728
282,2.350000,-2.701026,1.418013,3.695855
283,2.358333,-2.699796,1.416036,3.695772
284,2.366667,-2.699817,1.416130,3.695885
285,2.375000,-2.699687,1.416142,3.696016
286,2.383333,-2.699662,1.416092,3.696066
287,2.391667,-2.699659,1.416087,3.696312
288,2.400000,-2.699568,1.416189,3.696348
289,2.408333,-2.699455,1.415959,3.696357
290,2.416667,-2.699327,1.415938,3.696478
291,2.425000,-2.699265,1.415861,3.696600
292,2.433333,-2.699176,1.415944,3.696814
293,2.441667,-2.699110,1.415957,3.696938
294,2.450000,-2.699021,1.415974,3.697031
295,2.458333,-2.698926,1.416033,3.697201
296,2.466667,-2.698937,1.416046,3.697449
297,2.475000,-2.698810,1.415992,3.697501
298,2.483333,-2.698769,1.415812,3.697608
299,2.491667,-2.698733,1.415754,3.697673
300,2.500000,-2.698601,1.415905,3.697960
301,2.508333,-2.698482,1.415894,3.698006
302,2.516667,-2.698430,1.416146,3.698267
303,2.525000,-2.698282,1.416247,3.698343
304,2.533333,-2.698276,1.416133,3.698445
305,2.541667,-2.698226,1.416134,3.698622
306,2.550000,-2.698177,1.416177,3.698740
307,2.558333,-2.697957,1.415957,3.698648
308,2.566667,-2.697878,1.416004,3.698792
309,2.575000,-2.697774,1.416204,3.699038
310,2.583333,-2.697587,1.416064,3.698917
311,2.591667,-2.697705,1.416290,3.699095
312,2.600000,-2.697618,1.416257,3.699185
313,2.608333,-2.697595,1.416122,3.699121
314,2.616667,-2.697520,1.416100,3.699206
315,2.625000,-2.697569,1.416108,3.699172
316,2.633333,-2.697453,1.416146,3.699180
317,2.641667,-2.697603,1.416056,3.699125
318,2.650000,-2.697516,1.416072,3.699140
319,2.658333,-2.697630,1.416258,3.699244
320,2.666667,-2.697505,1.416222,3.699160
321,2.675000,-2.697636,1.416086,3.699007
322,2.683333,-2.697610,1.416076,3.698970
323,2.691667,-2.697842,1.416123,3.699038
324,2.700000,-2.697831,1.416103,3.698929
325,2.708333,-2.697988,1.416183,3.698834
326,2.716667,-2.697946,1.416067,3.698627
327,2.725000,-2.698023,1.416101,3.698542
328,2.733333,-2.698208,1.416142,3.698565
329,2.741667,-2.698368,1.416166,3.698508
330,2.750000,-2.698340,1.416205,3.698398
331,2.758333,-2.698451,1.416141,3.698296
332,2.766667,-2.698555,1.416118,3.698257
333,2.775000,-2.698629,1.416195,3.698236
334,2.783333,-2.698635,1.416166,3.698099
335,2.791667,-2.698756,1.416192,3.698081
336,2.800000,-2.698705,1.416107,3.697959
337,2.808333,-2.698783,1.416067,3.697725
338,2.816667,-2.698857,1.416164,3.697742
339,2.825000,-2.698939,1.416226,3.697679
340,2.833333,-2.699008,1.416034,3.697552
341,2.841667,-2.698885,1.416006,3.697366
342,2.850000,-2.698969,1.415898,3.697289
343,2.858333,-2.698994,1.415777,3.696984
344,2.866667,-2.699059,1.415961,3.697082
345,2.875000,-2.699256,1.415962,3.697091
346,2.883333,-2.699207,1.415961,3.696943
347,2.891667,-2.699118,1.415969,3.696838
348,2.900000,-2.699212,1.415979,3.696799
349,2.908333,-2.699179,1.415978,3.696824
350,2.916667,-2.699178,1.415939,3.696718
351,2.925000,-2.699257,1.416046,3.696815
352,2.933333,-2.699344,1.416048,3.696764
353,2.941667,-2.699299,1.415970,3.696747
354,2.950000,-2.699386,1.416028,3.696828
355,2.958333,-2.699386,1.416098,3.696827
356,2.966667,-2.699344,1.416052,3.696718
357,2.975000,-2.699300,1.416074,3.696774
358,2.983333,-2.699388,1.416109,3.696775
359,2.991667,-2.699359,1.415994,3.696738
360,3.000000,-2.699356,1.416054,3.696832
361,3.008333,-2.699311,1.416016,3.696812
362,3.016667,-2.699369,1.416216,3.697004
363,3.025000,-2.699202,1.416164,3.696963
364,3.033333,-2.699264,1.416145,3.696948
365,3.041667,-2.699140,1.415970,3.696887
366,3.050000,-2.699127,1.416073,3.697052
367,3.058333,-2.699084,1.416037,3.697096
368,3.066667,-2.699063,1.416110,3.697198
369,3.075000,-2.699128,1.416186,3.697336
370,3.083333,-2.698941,1.416105,3.697290
371,3.091667,-2.698933,1.416001,3.697314
372,3.100000,-2.698857,1.415949,3.697400
373,3.108333,-2.698859,1.416162,3.697662
374,3.116667,-2.698833,1.416115,3.697725
375,3.125000,-2.698823,1.416161,3.697803
376,3.133333,-2.698679,1.416043,3.697781
377,3.141667,-2.698547,1.415964,3.697827
378,3.150000,-2.698634,1.416050,3.698018
379,3.158333,-2.698613,1.416086,3.698050
380,3.166667,-2.698491,1.416158,3.698125
381,3.175000,-2.698278,1.415964,3.698007
382,3.183333,-2.698348,1.416173,3.698237
383,3.191667,-2.698191,1.416024,3.698283
384,3.200000,-2.698246,1.416273,3.698500
385,3.208333,-2.698173,1.416260,3.698554
386,3.216667,-2.698201,1.416343,3.698635
387,3.225000,-2.698112,1.416181,3.698683
388,3.233333,-2.698042,1.416236,3.698757
389,3.241667,-2.698016,1.416167,3.698724
390,3.250000,-2.697936,1.416401,3.698864
391,3.258333,-2.697985,1.416241,3.698840
392,3.266667,-2.697932,1.416258,3.698851
393,3.275000,-2.697890,1.416256,3.698833
394,3.283333,-2.697868,1.416216,3.698840
395,3.291667,-2.697726,1.416191,3.698824
396,3.300000,-2.697869,1.416151,3.698807
397,3.308333,-2.697858,1.416126,3.698785
398,3.316667,-2.697938,1.416116,3.698803
399,3.325000,-2.697904,1.416184,3.698665
400,3.333333,-2.697987,1.416228,3.698680
401,3.341667,-2.698042,1.416216,3.698662
402,3.350000,-2.698225,1.416212,3.698591
403,3.358333,-2.698218,1.416245,3.698519
404,3.366667,-2.698258,1.416240,3.698504
405,3.375000,-2.698354,1.416233,3.698388
406,3.383333,-2.698445,1.416311,3.698408
407,3.391667,-2.698594,1.416243,3.698396
408,3.400000,-2.698533,1.416319,3.698284
409,3.408333,-2.698561,1.416276,3.698243
410,3.416667,-2.698599,1.416162,3.698012
411,3.425000,-2.698686,1.416185,3.698049
412,3.433333,-2.698714,1.416131,3.697932
413,3.441667,-2.698686,1.416137,3.697820
414,3.450000,-2.698735,1.416118,3.697756
415,3.458333,-2.698797,1.416231,3.697715
416,3.466667,-2.698856,1.416138,3.697703
417,3.475000,-2.698915,1.416153,3.697559
418,3.483333,-2.698863,1.416000,3.697367
419,3.491667,-2.698932,1.416126,3.697430
420,3.500000,-2.699064,1.416233,3.697422
421,3.508333,-2.699045,1.416040,3.697325
422,3.516667,-2.699124,1.416186,3.697271
423,3.525000,-2.699164,1.416156,3.697275
424,3.533333,-2.699159,1.416050,3.697031
425,3.541667,-2.699284,1.416069,3.697156
426,3.550000,-2.699205,1.416086,3.696947
427,3.558333,-2.699275,1.416183,3.697062
428,3.566667,-2.699246,1.416085,3.696938
429,3.575000,-2.699268,1.416034,3.696890
430,3.583333,-2.699294,1.416156,3.696930
431,3.591667,-2.699258,1.416070,3.696729
432,3.600000,-2.699384,1.416025,3.696833
433,3.608333,-2.699325,1.416049,3.696767
434,3.616667,-2.699320,1.416252,3.696849
435,3.625000,-2.699444,1.416228,3.696795
436,3.633333,-2.699405,1.416192,3.696750
437,3.641667,-2.699492,1.416234,3.696741
438,3.650000,-2.699429,1.416079,3.696675
439,3.658333,-2.699307,1.416139,3.696612
440,3.666667,-2.699417,1.416071,3.696666
441,3.675000,-2.699519,1.416109,3.696672
442,3.683333,-2.699474,1.415960,3.696495
443,3.691667,-2.699436,1.416228,3.696707
444,3.700000,-2.699486,1.416128,3.696569
445,3.708333,-2.699465,1.416137,3.696537
446,3.716667,-2.699500,1.416382,3.696703
447,3.725000,-2.699369,1.416153,3.696548
448,3.733333,-2.699381,1.415990,3.696454
449,3.741667,-2.699404,1.416191,3.696616
450,3.750000,-2.699415,1.416053,3.696596
451,3.758333,-2.699428,1.416034,3.696593
452,3.766667,-2.699465,1.416035,3.696508
453,3.775000,-2.699433,1.416146,3.696623
454,3.783333,-2.699391,1.416146,3.696509
455,3.791667,-2.699411,1.415965,3.696572
456,3.800000,-2.699445,1.416003,3.696582
457,3.808333,-2.699416,1.416083,3.696634
458,3.816667,-2.699441,1.416185,3.696659
459,3.825000,-2.699451,1.416094,3.696715
460,3.833333,-2.699408,1.416031,3.696645
461,3.841667,-2.699447,1.416009,3.696688
462,3.850000,-2.699364,1.416065,3.696696
463,3.858333,-2.699447,1.416111,3.696712
464,3.866667,-2.699388,1.416093,3.696744
465,3.875000,-2.699331,1.416054,3.696719
466,3.883333,-2.699309,1.416009,3.696715
467,3.891667,-2.699318,1.416165,3.696844
468,3.900000,-2.699287,1.416063,3.696900
469,3.908333,-2.699197,1.416079,3.696913
470,3.916667,-2.699227,1.416163,3.696937
471,3.925000,-2.699242,1.416044,3.696979
472,3.933333,-2.699211,1.416033,3.696948
473,3.941667,-2.699189,1.416066,3.697044
474,3.950000,-2.699100,1.415990,3.696963
475,3.958333,-2.699189,1.416099,3.697212
476,3.966667,-2.699079,1.416084,3.697240
477,3.975000,-2.699150,1.415969,3.697193
478,3.983333,-2.699140,1.416277,3.697394
479,3.991667,-2.699132,1.416166,3.697381
480,4.000000,-2.699007,1.416149,3.697414
481,4.008333,-2.699033,1.416118,3.697334
482,4.016667,-2.698900,1.416045,3.697383
483,4.025000,-2.698943,1.416272,3.697538
484,4.033333,-2.698815,1.416004,3.697492
485,4.041667,-2.698812,1.416043,3.697495
486,4.050000,-2.698737,1.415954,3.697516
487,4.058333,-2.698737,1.416250,3.697724
488,4.066667,-2.698712,1.416082,3.697656
489,4.075000,-2.698699,1.416165,3.697840
490,4.083333,-2.698756,1.416124,3.697860
491,4.091667,-2.698734,1.416127,3.697902
492,4.100000,-2.698676,1.416102,3.697903
493,4.108333,-2.698665,1.416198,3.698001
494,4.116667,-2.698673,1.416040,3.698012
495,4.125000,-2.698584,1.416122,3.698076
496,4.133333,-2.698579,1.416209,3.698095
497,4.141667,-2.698558,1.416248,3.698263
498,4.150000,-2.698350,1.416029,3.697962
499,4.158333,-2.698354,1.416198,3.698187
500,4.166667,-2.698336,1.416142,3.698187
501,4.175000,-2.698382,1.416167,3.698219
502,4.183333,-2.698466,1.416258,3.698344
503,4.191667,-2.698363,1.416241,3.698300
504,4.200000,-2.698483,1.416165,3.698323
505,4.208333,-2.698460,1.416040,3.698286
506,4.216667,-2.698323,1.416164,3.698279
507,4.225000,-2.698311,1.416145,3.698191
508,4.233333,-2.698370,1.416033,3.698184
509,4.241667,-2.698412,1.416060,3.698197
510,4.250000,-2.698496,1.416031,3.698231
511,4.258333,-2.698450,1.416151,3.698233
512,4.266667,-2.698459,1.415954,3.698165
513,4.275000,-2.698409,1.416026,3.698180
514,4.283333,-2.698522,1.416129,3.698224
515,4.291667,-2.698495,1.416226,3.698239
516,4.300000,-2.698486,1.416120,3.698172
517,4.308333,-2.698457,1.415992,3.697982
518,4.316667,-2.698514,1.416201,3.698127
519,4.325000,-2.698628,1.416193,3.698137
520,4.333333,-2.698539,1.416090,3.698030
521,4.341667,-2.698675,1.416078,3.698062
522,4.350000,-2.698694,1.416089,3.697971
523,4.358333,-2.698716,1.415978,3.697870
524,4.366667,-2.698727,1.415990,3.697839
525,4.375000,-2.698714,1.416146,3.697827
526,4.383333,-2.698768,1.416164,3.697894
527,4.391667,-2.698709,1.416189,3.697758
528,4.400000,-2.698889,1.416248,3.697937
529,4.408333,-2.698828,1.416219,3.697842
530,4.416667,-2.698832,1.416171,3.697736
531,4.425000,-2.698837,1.416080,3.697648
532,4.433333,-2.698966,1.415983,3.697664
533,4.441667,-2.698824,1.416024,3.697612
534,4.450000,-2.698878,1.416217,3.697658
535,4.458333,-2.698980,1.416224,3.697723
536,4.466667,-2.698872,1.416146,3.697527
537,4.475000,-2.698919,1.416037,3.697485
538,4.483333,-2.698828,1.415963,3.697374
539,4.491667,-2.698945,1.416134,3.697532
540,4.500000,-2.698999,1.416267,3.697611
541,4.508333,-2.698847,1.416067,3.697455
542,4.516667,-2.698956,1.416161,3.697498
543,4.525000,-2.698968,1.416319,3.697554
544,4.533333,-2.699044,1.416014,3.697443
545,4.541667,-2.699074,1.416147,3.697508
546,4.550000,-2.698933,1.416169,3.697441
547,4.558333,-2.698954,1.416031,3.697377
548,4.566667,-2.699009,1.416091,3.697381
549,4.575000,-2.698905,1.416062,3.697334
550,4.583333,-2.698923,1.416093,3.697387
551,4.591667,-2.698986,1.415965,3.697337
552,4.600000,-2.699075,1.416165,3.697441
553,4.608333,-2.698955,1.416075,3.697379
554,4.616667,-2.698998,1.416017,3.697322
555,4.625000,-2.699016,1.416132,3.697361
556,4.633333,-2.698965,1.416161,3.697439
557,4.641667,-2.698997,1.416085,3.697415
558,4.650000,-2.698973,1.416104,3.697363
559,4.658333,-2.699019,1.416079,3.697289
560,4.666667,-2.698992,1.416076,3.697372
561,4.675000,-2.698944,1.416135,3.697374
562,4.683333,-2.699060,1.416154,3.697514
563,4.691667,-2.699044,1.416024,3.697403
564,4.700000,-2.698958,1.416193,3.697450
565,4.708333,-2.698946,1.415997,3.697423
566,4.716667,-2.699003,1.416132,3.697464
567,4.725000,-2.698869,1.415852,3.697228
568,4.733333,-2.698837,1.415692,3.697105
569,4.741667,-2.698922,1.415874,3.697350
570,4.750000,-2.698934,1.415936,3.697294
571,4.758333,-2.698951,1.416192,3.697508
572,4.766667,-2.698834,1.415956,3.697328
573,4.775000,-2.698859,1.416090,3.697395
574,4.783333,-2.698978,1.416037,3.697445
575,4.791667,-2.698882,1.416096,3.697487
576,4.800000,-2.698931,1.416046,3.697445
577,4.808333,-2.698946,1.416411,3.697600
578,4.816667,-2.698961,1.416047,3.697489
579,4.825000,-2.699010,1.416168,3.697510
580,4.833333,-2.698932,1.415897,3.697413
581,4.841667,-2.698931,1.416092,3.697486
582,4.850000,-2.698924,1.416139,3.697464
583,4.858333,-2.698969,1.416226,3.697586
584,4.866667,-2.698949,1.416064,3.697487
585,4.875000,-2.698857,1.416180,3.697591
586,4.883333,-2.698940,1.416152,3.697545
587,4.891667,-2.698905,1.416240,3.697620
588,4.900000,-2.698922,1.416091,3.697567
589,4.908333,-2.698836,1.416168,3.697607
590,4.916667,-2.698897,1.416195,3.697615
591,4.925000,-2.698848,1.416139,3.697623
592,4.933333,-2.698909,1.416211,3.697631
