Format Version,1.1,Take Name,Take 2016-04-07 09.26.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.26.14.430 PM,Total Frames,11477,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10363,Marker_10363,Marker_10363,Marker_10368,Marker_10368,Marker_10368,Marker_10367,Marker_10367,Marker_10367,Marker_10371,Marker_10371,Marker_10371,Marker_10373,Marker_10373,Marker_10373
,,"8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702885","8392B20CF49E35702885","8392B20CF49E35702885"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
75,0.625000,0.082397,1.960008,-4.338415,,,,,,,,,,,,
76,0.633333,0.082160,1.960049,-4.338504,,,,,,,,,,,,
77,0.641667,0.082072,1.960107,-4.338335,,,,,,,,,,,,
78,0.650000,0.082396,1.960004,-4.338591,,,,,,,,,,,,
79,0.658333,0.082278,1.959985,-4.338533,,,,,,,,,,,,
80,0.666667,0.082331,1.959898,-4.338532,,,,,,,,,,,,
81,0.675000,0.084390,1.959690,-4.336053,,,,,,,,,,,,
82,0.683333,0.082235,1.960039,-4.338624,,,,,,,,,,,,
83,0.691667,0.082246,1.960003,-4.338801,,,,,,,,,,,,
84,0.700000,0.082339,1.959989,-4.338857,,,,,,,,,,,,
85,0.708333,0.082440,1.960002,-4.338940,,,,,,,,,,,,
86,0.716667,0.082389,1.960008,-4.339041,,,,,,,,,,,,
87,0.725000,0.082571,1.959955,-4.339105,,,,,,,,,,,,
88,0.733333,0.082599,1.959911,-4.339119,,,,,,,,,,,,
89,0.741667,0.082426,1.960074,-4.339079,,,,,,,,,,,,
90,0.750000,0.082710,1.959947,-4.339276,,,,,,,,,,,,
91,0.758333,0.082573,1.960001,-4.339272,,,,,,,,,,,,
92,0.766667,0.082736,1.959920,-4.339366,,,,,,,,,,,,
93,0.775000,0.084773,1.959757,-4.336540,,,,,,,,,,,,
94,0.783333,0.082728,1.959949,-4.339478,,,,,,,,,,,,
95,0.791667,0.082742,1.960031,-4.339560,,,,,,,,,,,,
96,0.800000,0.082828,1.960051,-4.339674,,,,,,,,,,,,
97,0.808333,0.082769,1.959917,-4.339832,,,,,,,,,,,,
98,0.816667,0.082900,1.959910,-4.339804,,,,,,,,,,,,
99,0.825000,0.082742,1.960020,-4.339793,,,,,,,,,,,,
100,0.833333,0.082907,1.959891,-4.339954,,,,,,,,,,,,
101,0.841667,0.082791,1.959831,-4.339943,,,,,,,,,,,,
102,0.850000,0.082714,1.959935,-4.339875,,,,,,,,,,,,
103,0.858333,0.082724,1.959904,-4.340059,,,,,,,,,,,,
104,0.866667,0.082709,1.959864,-4.340056,,,,,,,,,,,,
105,0.875000,0.084970,1.959610,-4.337452,,,,,,,,,,,,
106,0.883333,0.085041,1.959525,-4.337341,,,,,,,,,,,,
107,0.891667,0.082778,1.959862,-4.340286,,,,,,,,,,,,
108,0.900000,0.082876,1.959983,-4.340255,,,,,,,,,,,,
109,0.908333,0.082767,1.959874,-4.340391,,,,,,,,,,,,
110,0.916667,0.082829,1.959943,-4.340335,,,,,,,,,,,,
111,0.925000,0.082623,1.960011,-4.340509,,,,,,,,,,,,
112,0.933333,0.082454,1.959952,-4.340647,,,,,,,,,,,,
113,0.941667,0.082599,1.959920,-4.340652,,,,,,,,,,,,
114,0.950000,0.082432,1.959924,-4.340755,,,,,,,,,,,,
115,0.958333,0.082398,1.959844,-4.340996,,,,,,,,,,,,
116,0.966667,0.082249,1.959942,-4.341023,,,,,,,,,,,,
117,0.975000,0.082325,1.959834,-4.341285,,,,,,,,,,,,
118,0.983333,0.082306,1.959807,-4.341313,,,,,,,,,,,,
119,0.991667,0.082155,1.959827,-4.341514,,,,,,,,,,,,
120,1.000000,0.084375,1.959633,-4.338531,,,,,,,,,,,,
121,1.008333,0.082140,1.959914,-4.341784,,,,,,,,,,,,
122,1.016667,0.084546,1.959542,-4.338884,,,,,,,,,,,,
123,1.025000,0.084525,1.959632,-4.338967,,,,,,,,,,,,
124,1.033333,0.084390,1.959666,-4.338874,,,,,,,,,,,,
125,1.041667,0.081963,1.959891,-4.341978,,,,,,,,,,,,
126,1.050000,0.084300,1.959795,-4.338884,,,,,,,,,,,,
127,1.058333,0.084214,1.959779,-4.339015,,,,,,,,,,,,
128,1.066667,0.084234,1.959626,-4.338943,,,,,,,,,,,,
129,1.075000,0.084142,1.959772,-4.339002,,,,,,,,,,,,
130,1.083333,0.084250,1.959607,-4.339056,,,,,,,,,,,,
131,1.091667,0.084184,1.959598,-4.339225,,,,,,,,,,,,
132,1.100000,0.084151,1.959781,-4.339240,,,,,,,,,,,,
133,1.108333,0.084138,1.959650,-4.339483,,,,,,,,,,,,
134,1.116667,0.084187,1.959682,-4.339191,,,,,,,,,,,,
135,1.125000,0.084174,1.959788,-4.339343,,,,,,,,,,,,
136,1.133333,0.084285,1.959676,-4.339398,,,,,,,,,,,,
137,1.141667,0.084280,1.959751,-4.339412,,,,,,,,,,,,
138,1.150000,0.084265,1.959814,-4.339319,,,,,,,,,,,,
139,1.158333,0.084416,1.959766,-4.339327,,,,,,,,,,,,
140,1.166667,0.084362,1.959728,-4.339360,,,,,,,,,,,,
