Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
93,0.775000,-3.611672,1.945209,-3.662961,,,,,,
94,0.783333,-3.611588,1.945158,-3.663554,,,,,,
95,0.791667,-3.611501,1.945260,-3.663744,,,,,,
96,0.800000,-3.611376,1.945150,-3.663965,,,,,,
97,0.808333,-3.611278,1.945194,-3.664287,,,,,,
98,0.816667,-3.611015,1.944958,-3.664844,,,,,,
99,0.825000,-3.610849,1.945062,-3.664937,,,,,,
100,0.833333,-3.610693,1.945047,-3.665386,,,,,,
101,0.841667,-3.610258,1.945014,-3.665597,,,,,,
102,0.850000,-3.609990,1.945154,-3.665665,,,,,,
103,0.858333,-3.609645,1.945165,-3.666013,,,,,,
104,0.866667,-3.609191,1.945170,-3.666024,,,,,,
105,0.875000,-3.608500,1.945189,-3.666240,,,,,,
106,0.883333,-3.612250,1.945908,-3.669935,,,,,,
107,0.891667,-3.611843,1.945927,-3.669996,,,,,,
108,0.900000,-3.611590,1.946001,-3.670082,,,,,,
109,0.908333,-3.611248,1.945835,-3.670145,,,,,,
110,0.916667,-3.611135,1.946059,-3.670124,,,,,,
111,0.925000,-3.606014,1.945445,-3.665907,,,,,,
112,0.933333,-3.605806,1.945406,-3.665889,,,,,,
113,0.941667,-3.605571,1.945282,-3.665950,,,,,,
114,0.950000,-3.605490,1.945417,-3.665831,,,,,,
115,0.958333,-3.605456,1.945449,-3.665981,,,,,,
116,0.966667,-3.605126,1.945412,-3.665880,,,,,,
117,0.975000,-3.605108,1.945430,-3.666003,,,,,,
118,0.983333,-3.604931,1.945384,-3.665926,,,,,,
119,0.991667,-3.604814,1.945290,-3.666100,,,,,,
120,1.000000,-3.604703,1.945300,-3.665988,,,,,,
121,1.008333,-3.604757,1.945436,-3.666107,,,,,,
122,1.016667,-3.604677,1.945250,-3.666305,,,,,,
123,1.025000,-3.604707,1.945268,-3.666636,,,,,,
124,1.033333,-3.604722,1.945293,-3.666794,,,,,,
125,1.041667,-3.604738,1.945127,-3.666854,,,,,,
126,1.050000,-3.604687,1.945297,-3.666655,,,,,,
127,1.058333,-3.604812,1.945221,-3.666986,,,,,,
128,1.066667,-3.604782,1.945288,-3.666927,,,,,,
129,1.075000,-3.604885,1.945206,-3.666975,,,,,,
130,1.083333,-3.604948,1.945364,-3.666857,,,,,,
131,1.091667,-3.605157,1.945366,-3.667110,,,,,,
132,1.100000,-3.605244,1.945384,-3.667100,,,,,,
133,1.108333,-3.605392,1.945216,-3.667288,,,,,,
134,1.116667,-3.605390,1.945323,-3.667231,,,,,,
135,1.125000,-3.605747,1.945417,-3.667274,,,,,,
136,1.133333,-3.605715,1.945331,-3.667443,,,,,,
137,1.141667,-3.610972,1.946010,-3.671982,,,,,,
138,1.150000,-3.606033,1.945409,-3.667736,,,,,,
139,1.158333,-3.611184,1.946064,-3.672267,,,,,,
140,1.166667,-3.611275,1.946048,-3.672331,,,,,,
141,1.175000,-3.611284,1.945966,-3.672545,,,,,,
142,1.183333,-3.611492,1.946205,-3.672596,,,,,,
143,1.191667,-3.611444,1.945936,-3.672703,,,,,,
144,1.200000,-3.611537,1.946045,-3.672846,,,,,,
145,1.208333,-3.611634,1.946202,-3.672947,,,,,,
146,1.216667,-3.611574,1.946000,-3.673072,,,,,,
147,1.225000,-3.611763,1.946130,-3.673279,,,,,,
148,1.233333,-3.611879,1.946147,-3.673468,,,,,,
149,1.241667,-3.611650,1.945925,-3.673825,,,,,,
