Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
1198,9.983333,-2.712235,2.149634,-3.200784,,,,,,
1199,9.991667,-2.711518,2.149998,-3.197543,,,,,,
1200,10.000000,-2.710584,2.149830,-3.194362,,,,,,
1201,10.008333,-2.709940,2.150104,-3.191571,,,,,,
1202,10.016667,-2.710034,2.150674,-3.189160,,,,,,
1203,10.025000,-2.708894,2.150251,-3.186296,,,,,,
1204,10.033333,-2.708522,2.150400,-3.183943,,,,,,
1205,10.041667,-2.708241,2.150456,-3.181608,,,,,,
1206,10.050000,-2.707623,2.150647,-3.179006,,,,,,
1207,10.058333,-2.707124,2.150718,-3.176910,,,,,,
1208,10.066667,-2.705970,2.150286,-3.174234,,,,,,
1209,10.075000,-2.705496,2.150209,-3.172246,,,,,,
1210,10.083333,-2.705260,2.150517,-3.170452,,,,,,
1211,10.091667,-2.704156,2.150294,-3.168342,,,,,,
1212,10.100000,-2.703830,2.150666,-3.166622,,,,,,
1213,10.108333,-2.703891,2.151193,-3.165314,,,,,,
1214,10.116667,-2.703371,2.151332,-3.163533,,,,,,
1215,10.125000,-2.703171,2.151790,-3.161953,,,,,,
1216,10.133333,-2.702524,2.151779,-3.160211,,,,,,
1217,10.141667,-2.701999,2.152005,-3.158354,,,,,,
1218,10.150000,-2.702063,2.152743,-3.157080,,,,,,
1219,10.158333,-2.701879,2.153199,-3.155684,,,,,,
1220,10.166667,-2.700923,2.152936,-3.153996,,,,,,
1221,10.175000,-2.701289,2.153827,-3.152961,,,,,,
1222,10.183333,-2.700438,2.153604,-3.151494,,,,,,
1223,10.191667,-2.700089,2.153889,-3.150520,,,,,,
1224,10.200000,-2.699794,2.154094,-3.149652,,,,,,
1225,10.208333,-2.699379,2.154305,-3.148809,,,,,,
1226,10.216667,-2.698792,2.154396,-3.148186,,,,,,
1227,10.225000,-2.697744,2.154204,-3.147411,,,,,,
1228,10.233333,-2.696849,2.154260,-3.147019,,,,,,
1229,10.241667,-2.696444,2.154635,-3.147070,,,,,,
1230,10.250000,-2.695058,2.154444,-3.146836,,,,,,
1231,10.258333,-2.694079,2.154431,-3.146718,,,,,,
1232,10.266667,-2.692640,2.154392,-3.146641,,,,,,
1233,10.275000,-2.690910,2.154026,-3.146389,,,,,,
1234,10.283333,-2.689303,2.153943,-3.146728,,,,,,
1235,10.291667,-2.688434,2.154044,-3.147429,,,,,,
1236,10.300000,-2.687513,2.153941,-3.147968,,,,,,
1237,10.308333,-2.686315,2.153736,-3.148597,,,,,,
1238,10.316667,-2.685385,2.153717,-3.149477,,,,,,
1239,10.325000,-2.684026,2.153630,-3.150280,,,,,,
1240,10.333333,-2.681932,2.153100,-3.151226,,,,,,
1241,10.341667,-2.680175,2.152864,-3.152039,,,,,,
1242,10.350000,-2.678210,2.152561,-3.152568,,,,,,
1243,10.358333,-2.676510,2.152606,-3.153330,,,,,,
1244,10.366667,-2.673499,2.151898,-3.153534,,,,,,
1245,10.375000,-2.671338,2.152091,-3.154250,,,,,,
1246,10.383333,-2.669900,2.152413,-3.154895,,,,,,
1247,10.391667,-2.667621,2.152285,-3.155274,,,,,,
1248,10.400000,-2.665611,2.152356,-3.155921,,,,,,
1249,10.408333,-2.662816,2.151779,-3.156366,,,,,,
1250,10.416667,-2.661177,2.151907,-3.157009,,,,,,
1251,10.425000,-2.659544,2.151920,-3.157572,,,,,,
1252,10.433333,-2.657587,2.151691,-3.158042,,,,,,
1253,10.441667,-2.655433,2.151653,-3.158326,,,,,,
1254,10.450000,-2.653300,2.151519,-3.158633,,,,,,
1255,10.458333,-2.651634,2.151647,-3.158912,,,,,,
1256,10.466667,-2.649921,2.151805,-3.158980,,,,,,
1257,10.475000,-2.647607,2.151563,-3.158790,,,,,,
1258,10.483333,-2.644602,2.151091,-3.158581,,,,,,
1259,10.491667,-2.642250,2.150807,-3.158242,,,,,,
1260,10.500000,-2.640495,2.151458,-3.158034,,,,,,
1261,10.508333,-2.637612,2.151170,-3.157788,,,,,,
1262,10.516667,-2.634758,2.151021,-3.157390,,,,,,
1263,10.525000,-2.632027,2.150702,-3.156962,,,,,,
1264,10.533333,-2.629604,2.150589,-3.155952,,,,,,
1265,10.541667,-2.627250,2.151019,-3.155900,,,,,,
1266,10.550000,-2.624373,2.150811,-3.155407,,,,,,
1267,10.558333,-2.621958,2.150999,-3.154781,,,,,,
1268,10.566667,-2.619063,2.150660,-3.153831,,,,,,
1269,10.575000,-2.616988,2.150946,-3.153466,,,,,,
1270,10.583333,-2.613864,2.150934,-3.152978,,,,,,
1271,10.591667,-2.611189,2.151047,-3.152225,,,,,,
1272,10.600000,-2.609089,2.151545,-3.151596,,,,,,
1273,10.608333,-2.605460,2.150920,-3.150360,,,,,,
1274,10.616667,-2.602831,2.151509,-3.150129,,,,,,
1275,10.625000,-2.599867,2.151611,-3.149539,,,,,,
1276,10.633333,-2.596992,2.151794,-3.148462,,,,,,
1277,10.641667,-2.594085,2.151776,-3.147370,,,,,,
1278,10.650000,-2.591507,2.152393,-3.147139,,,,,,
1279,10.658333,-2.588298,2.152338,-3.146295,,,,,,
1280,10.666667,-2.585849,2.152740,-3.145627,,,,,,
1281,10.675000,-2.582515,2.152688,-3.144551,,,,,,
1282,10.683333,-2.579078,2.152613,-3.143942,,,,,,
1283,10.691667,-2.576436,2.153098,-3.143302,,,,,,
1284,10.700000,-2.572906,2.152888,-3.142402,,,,,,
1285,10.708333,-2.569519,2.153086,-3.141976,,,,,,
1286,10.716667,-2.566328,2.153154,-3.141169,,,,,,
1287,10.725000,-2.562531,2.153113,-3.140257,,,,,,
1288,10.733333,-2.558277,2.152734,-3.139700,,,,,,
1289,10.741667,-2.555107,2.153265,-3.139202,,,,,,
1290,10.750000,-2.551432,2.153469,-3.138492,,,,,,
1291,10.758333,-2.547297,2.153523,-3.137911,,,,,,
1292,10.766667,-2.543745,2.153826,-3.137155,,,,,,
1293,10.775000,-2.539182,2.153591,-3.136540,,,,,,
1294,10.783333,-2.534809,2.153464,-3.135878,,,,,,
1295,10.791667,-2.531013,2.153468,-3.135086,,,,,,
1296,10.800000,-2.526436,2.153666,-3.134598,,,,,,
1297,10.808333,-2.522132,2.153189,-3.133820,,,,,,
1298,10.816667,-2.517923,2.153308,-3.133090,,,,,,
1299,10.825000,-2.513149,2.153178,-3.132512,,,,,,
1300,10.833333,-2.508805,2.153105,-3.131566,,,,,,
1301,10.841667,-2.504071,2.153192,-3.131109,,,,,,
1302,10.850000,-2.499773,2.153389,-3.130373,,,,,,
1303,10.858333,-2.494631,2.153087,-3.129846,,,,,,
1304,10.866667,-2.490194,2.153220,-3.129130,,,,,,
1305,10.875000,-2.484694,2.153115,-3.128536,,,,,,
1306,10.883333,-2.479646,2.152715,-3.127379,,,,,,
1307,10.891667,-2.474658,2.152943,-3.127251,,,,,,
1308,10.900000,-2.469158,2.152418,-3.126072,,,,,,
1309,10.908333,-2.463467,2.152013,-3.125614,,,,,,
1310,10.916667,-2.458906,2.152202,-3.124969,,,,,,
1311,10.925000,-2.453321,2.152128,-3.124456,,,,,,
1312,10.933333,-2.448400,2.152257,-3.123780,,,,,,
1313,10.941667,-2.441770,2.151320,-3.122748,,,,,,
1314,10.950000,-2.437806,2.152107,-3.122569,,,,,,
1315,10.958333,-2.431006,2.150994,-3.121449,,,,,,
1316,10.966667,-2.426230,2.151618,-3.120762,,,,,,
1317,10.975000,-2.420089,2.151037,-3.120001,,,,,,
1318,10.983333,-2.414781,2.151432,-3.119412,,,,,,
1319,10.991667,-2.409293,2.151476,-3.118682,,,,,,
1320,11.000000,-2.402996,2.151284,-3.118122,,,,,,
1321,11.008333,-2.397122,2.150895,-3.117178,,,,,,
1322,11.016667,-2.391040,2.151154,-3.116858,,,,,,
1323,11.025000,-2.385327,2.151181,-3.115994,,,,,,
1324,11.033333,-2.378535,2.150658,-3.115377,,,,,,
1325,11.041667,-2.371594,2.150011,-3.114653,,,,,,
1326,11.050000,-2.366706,2.151119,-3.114408,,,,,,
1327,11.058333,-2.359893,2.151017,-3.113953,,,,,,
1328,11.066667,-2.352366,2.150481,-3.112981,,,,,,
1329,11.075000,-2.346714,2.151140,-3.112351,,,,,,
1330,11.083333,-2.339458,2.151231,-3.111909,,,,,,
1331,11.091667,-2.332787,2.151640,-3.111451,,,,,,
1332,11.100000,-2.326562,2.151844,-3.110742,,,,,,
1333,11.108333,-2.319157,2.151661,-3.110135,,,,,,
1334,11.116667,-2.312859,2.152202,-3.109675,,,,,,
1335,11.125000,-2.306864,2.152807,-3.109291,,,,,,
1336,11.133333,-2.299404,2.152895,-3.109073,,,,,,
1337,11.141667,-2.292887,2.153219,-3.108576,,,,,,
1338,11.150000,-2.286349,2.153677,-3.107806,,,,,,
1339,11.158333,-2.278668,2.153477,-3.106970,,,,,,
1340,11.166667,-2.271567,2.153843,-3.106555,,,,,,
1341,11.175000,-2.264838,2.154615,-3.105854,,,,,,
1342,11.183333,-2.257740,2.154900,-3.105227,,,,,,
1343,11.191667,-2.249694,2.154435,-3.104234,,,,,,
1344,11.200000,-2.242956,2.155165,-3.103834,,,,,,
1345,11.208333,-2.236379,2.156074,-3.103167,,,,,,
1346,11.216667,-2.228281,2.155897,-3.102071,,,,,,
1347,11.225000,-2.220476,2.155886,-3.101128,,,,,,
1348,11.233333,-2.213755,2.156585,-3.100485,,,,,,
1349,11.241667,-2.206364,2.156687,-3.099530,,,,,,
1350,11.250000,-2.198297,2.156489,-3.098324,,,,,,
1351,11.258333,-2.190455,2.156509,-3.097181,,,,,,
1352,11.266667,-2.184493,2.157213,-3.096741,,,,,,
1353,11.275000,-2.177149,2.157742,-3.095666,,,,,,
1354,11.283333,-2.168414,2.157009,-3.094377,,,,,,
1355,11.291667,-2.161947,2.157801,-3.093905,,,,,,
1356,11.300000,-2.155345,2.158620,-3.093175,,,,,,
1357,11.308333,-2.147083,2.158033,-3.091439,,,,,,
1358,11.316667,-2.138274,2.157431,-3.090261,,,,,,
1359,11.325000,-2.130565,2.157248,-3.089668,,,,,,
1360,11.333333,-2.124830,2.158431,-3.088311,,,,,,
1361,11.341667,-2.116830,2.158280,-3.087336,,,,,,
1362,11.350000,-2.107434,2.157531,-3.086136,,,,,,
1363,11.358333,-2.101937,2.158693,-3.085399,,,,,,
1364,11.366667,-2.094208,2.158782,-3.084121,,,,,,
1365,11.375000,-2.086665,2.158701,-3.083456,,,,,,
1366,11.383333,-2.076878,2.157486,-3.082357,,,,,,
1367,11.391667,-2.069212,2.157677,-3.079831,,,,,,
1368,11.400000,-2.062266,2.157728,-3.079017,,,,,,
1369,11.408333,-2.055431,2.158175,-3.079140,,,,,,
1370,11.416667,-2.046297,2.157580,-3.076180,,,,,,
1371,11.425000,-2.038534,2.157444,-3.075031,,,,,,
1372,11.433333,-2.031954,2.157640,-3.075375,,,,,,
1373,11.441667,-2.023321,2.157161,-3.072505,,,,,,
1374,11.450000,-2.015171,2.156947,-3.070309,,,,,,
1375,11.458333,-2.007548,2.156683,-3.070781,,,,,,
1376,11.466667,-1.999836,2.156735,-3.068681,,,,,,
1377,11.475000,-1.992241,2.156620,-3.067385,,,,,,
1378,11.483333,-1.984439,2.156176,-3.067361,,,,,,
1379,11.491667,-1.976640,2.156105,-3.067006,,,,,,
1380,11.500000,-1.968463,2.155839,-3.065585,,,,,,
1381,11.508333,-1.960885,2.155872,-3.064518,,,,,,
1382,11.516667,-1.953201,2.156147,-3.063424,,,,,,
1383,11.525000,-1.945335,2.156240,-3.062458,,,,,,
1384,11.533333,-1.937431,2.156311,-3.061715,,,,,,
1385,11.541667,-1.929827,2.156376,-3.061044,,,,,,
1386,11.550000,-1.922732,2.156871,-3.059652,,,,,,
1387,11.558333,-1.915503,2.157148,-3.059126,,,,,,
1388,11.566667,-1.908116,2.157334,-3.058797,,,,,,
1389,11.575000,-1.900735,2.157901,-3.057991,,,,,,
1390,11.583333,-1.893756,2.158369,-3.056939,,,,,,
1391,11.591667,-1.886258,2.158526,-3.056414,,,,,,
1392,11.600000,-1.878751,2.159038,-3.055863,,,,,,
1393,11.608333,-1.871429,2.159269,-3.055430,,,,,,
1394,11.616667,-1.864372,2.160038,-3.054457,,,,,,
1395,11.625000,-1.856731,2.160527,-3.053808,,,,,,
1396,11.633333,-1.849143,2.160861,-3.053188,,,,,,
1397,11.641667,-1.841481,2.161067,-3.053049,,,,,,
1398,11.650000,-1.834264,2.161733,-3.051981,,,,,,
1399,11.658333,-1.826864,2.162489,-3.050970,,,,,,
1400,11.666667,-1.819555,2.162821,-3.050894,,,,,,
1401,11.675000,-1.812084,2.162950,-3.050847,,,,,,
1402,11.683333,-1.804690,2.163518,-3.050315,,,,,,
1403,11.691667,-1.797770,2.164170,-3.049564,,,,,,
1404,11.700000,-1.790319,2.164583,-3.049371,,,,,,
1405,11.708333,-1.782651,2.164867,-3.048804,,,,,,
1406,11.716667,-1.774998,2.165134,-3.048738,,,,,,
1407,11.725000,-1.767782,2.165609,-3.048232,,,,,,
1408,11.733333,-1.760373,2.165699,-3.048050,,,,,,
1409,11.741667,-1.752518,2.165903,-3.048035,,,,,,
1410,11.750000,-1.744464,2.165860,-3.048149,,,,,,
1411,11.758333,-1.736387,2.165859,-3.048080,,,,,,
1412,11.766667,-1.728364,2.165964,-3.047921,,,,,,
1413,11.775000,-1.720517,2.165937,-3.047631,,,,,,
1414,11.783333,-1.712431,2.165895,-3.047579,,,,,,
1415,11.791667,-1.704367,2.165482,-3.047528,,,,,,
1416,11.800000,-1.696194,2.165148,-3.047403,,,,,,
1417,11.808333,-1.687897,2.164902,-3.047600,,,,,,
1418,11.816667,-1.679616,2.164384,-3.047698,,,,,,
1419,11.825000,-1.671561,2.164120,-3.047884,,,,,,
1420,11.833333,-1.663541,2.163759,-3.047551,,,,,,
1421,11.841667,-1.655600,2.163536,-3.047140,,,,,,
1422,11.850000,-1.647720,2.163037,-3.047492,,,,,,
1423,11.858333,-1.639651,2.162639,-3.047327,,,,,,
1424,11.866667,-1.631687,2.162171,-3.047446,,,,,,
1425,11.875000,-1.623685,2.161667,-3.047379,,,,,,
1426,11.883333,-1.615825,2.161488,-3.047255,,,,,,
1427,11.891667,-1.608003,2.161215,-3.047202,,,,,,
1428,11.900000,-1.600706,2.160824,-3.046870,,,,,,
1429,11.908333,-1.592998,2.160401,-3.047082,,,,,,
1430,11.916667,-1.585345,2.160150,-3.046925,,,,,,
1431,11.925000,-1.577526,2.159762,-3.046971,,,,,,
1432,11.933333,-1.569893,2.159452,-3.046977,,,,,,
1433,11.941667,-1.562463,2.159471,-3.046583,,,,,,
1434,11.950000,-1.555041,2.159719,-3.046245,,,,,,
1435,11.958333,-1.547596,2.159740,-3.046215,,,,,,
1436,11.966667,-1.540128,2.159759,-3.046446,,,,,,
1437,11.975000,-1.532907,2.159765,-3.046318,,,,,,
1438,11.983333,-1.526112,2.160002,-3.045830,,,,,,
1439,11.991667,-1.519021,2.160180,-3.045674,,,,,,
1440,12.000000,-1.511967,2.160429,-3.045668,,,,,,
1441,12.008333,-1.505071,2.160789,-3.045620,,,,,,
1442,12.016667,-1.498559,2.161023,-3.045545,,,,,,
1443,12.025000,-1.491501,2.161424,-3.045600,,,,,,
1444,12.033333,-1.484152,2.161454,-3.045628,,,,,,
1445,12.041667,-1.477017,2.161731,-3.045778,,,,,,
1446,12.050000,-1.469105,2.162328,-3.046265,,,,,,
1447,12.058333,-1.462794,2.162670,-3.045418,,,,,,
1448,12.066667,-1.455423,2.162847,-3.045401,,,,,,
1449,12.075000,-1.447176,2.162402,-3.044683,,,,,,
1450,12.083333,-1.440568,2.163191,-3.044686,,,,,,
1451,12.091667,-1.433649,2.163534,-3.044430,,,,,,
1452,12.100000,-1.426597,2.163886,-3.044317,,,,,,
1453,12.108333,-1.419963,2.164369,-3.045322,,,,,,
1454,12.116667,-1.412937,2.164394,-3.045586,,,,,,
1455,12.125000,-1.404642,2.164502,-3.044105,,,,,,
1456,12.133333,-1.397698,2.164737,-3.043792,,,,,,
1457,12.141667,-1.391876,2.164982,-3.043777,,,,,,
1458,12.150000,-1.383196,2.165438,-3.044860,,,,,,
1459,12.158333,-1.376542,2.165383,-3.044434,,,,,,
1460,12.166667,-1.369201,2.165644,-3.043975,,,,,,
1461,12.175000,-1.362117,2.165528,-3.044025,,,,,,
1462,12.183333,-1.354851,2.165798,-3.042755,,,,,,
1463,12.191667,-1.347791,2.165650,-3.042410,,,,,,
1464,12.200000,-1.340466,2.165676,-3.041843,,,,,,
1465,12.208333,-1.332962,2.165870,-3.041750,,,,,,
1466,12.216667,-1.325333,2.165577,-3.041490,,,,,,
1467,12.225000,-1.317699,2.165471,-3.041475,,,,,,
1468,12.233333,-1.310501,2.165445,-3.040332,,,,,,
1469,12.241667,-1.303318,2.165238,-3.039959,,,,,,
1470,12.250000,-1.295817,2.165132,-3.039691,,,,,,
1471,12.258333,-1.288594,2.165034,-3.039469,,,,,,
1472,12.266667,-1.281344,2.165035,-3.039183,,,,,,
1473,12.275000,-1.274974,2.164875,-3.038706,,,,,,
1474,12.283333,-1.268025,2.164958,-3.037827,,,,,,
1475,12.291667,-1.261037,2.164689,-3.037383,,,,,,
1476,12.300000,-1.253975,2.164546,-3.036908,,,,,,
1477,12.308333,-1.247614,2.164403,-3.036219,,,,,,
1478,12.316667,-1.240923,2.164380,-3.035928,,,,,,
1479,12.325000,-1.234191,2.163960,-3.035804,,,,,,
1480,12.333333,-1.227541,2.163971,-3.034806,,,,,,
1481,12.341667,-1.220621,2.163725,-3.034407,,,,,,
1482,12.350000,-1.213836,2.163483,-3.034564,,,,,,
1483,12.358333,-1.206974,2.162863,-3.034525,,,,,,
1484,12.366667,-1.200271,2.163206,-3.033518,,,,,,
1485,12.375000,-1.193763,2.163054,-3.033123,,,,,,
1486,12.383333,-1.187629,2.162790,-3.033110,,,,,,
1487,12.391667,-1.181772,2.162694,-3.031927,,,,,,
1488,12.400000,-1.175888,2.162757,-3.031219,,,,,,
1489,12.408333,-1.170411,2.162542,-3.031087,,,,,,
1490,12.416667,-1.164618,2.162323,-3.030545,,,,,,
1491,12.425000,-1.158690,2.162535,-3.030098,,,,,,
1492,12.433333,-1.153375,2.162277,-3.030125,,,,,,
1493,12.441667,-1.147363,2.162376,-3.029699,,,,,,
1494,12.450000,-1.141209,2.162283,-3.029531,,,,,,
1495,12.458333,-1.135806,2.162452,-3.028857,,,,,,
1496,12.466667,-1.129815,2.162617,-3.028249,,,,,,
1497,12.475000,-1.123673,2.162444,-3.027969,,,,,,
1498,12.483333,-1.118404,2.162811,-3.027381,,,,,,
1499,12.491667,-1.112647,2.162566,-3.026722,,,,,,
1500,12.500000,-1.106930,2.162660,-3.026451,,,,,,
1501,12.508333,-1.101700,2.162977,-3.026016,,,,,,
1502,12.516667,-1.095828,2.162933,-3.025697,,,,,,
1503,12.525000,-1.090539,2.163169,-3.025347,,,,,,
1504,12.533333,-1.085217,2.163164,-3.025256,,,,,,
1505,12.541667,-1.079549,2.163377,-3.024774,,,,,,
1506,12.550000,-1.074497,2.163343,-3.024705,,,,,,
1507,12.558333,-1.068976,2.163442,-3.024621,,,,,,
1508,12.566667,-1.064106,2.163815,-3.024166,,,,,,
1509,12.575000,-1.059109,2.163643,-3.024386,,,,,,
1510,12.583333,-1.054437,2.163944,-3.023789,,,,,,
1511,12.591667,-1.049458,2.163494,-3.024061,,,,,,
1512,12.600000,-1.044925,2.163907,-3.023420,,,,,,
1513,12.608333,-1.040172,2.163420,-3.023829,,,,,,
1514,12.616667,-1.035375,2.163667,-3.023501,,,,,,
1515,12.625000,-1.030966,2.163244,-3.023663,,,,,,
1516,12.633333,-1.025935,2.163255,-3.023404,,,,,,
1517,12.641667,-1.021631,2.162856,-3.023489,,,,,,
1518,12.650000,-1.016881,2.162826,-3.023309,,,,,,
1519,12.658333,-1.012836,2.162394,-3.023657,,,,,,
1520,12.666667,-1.008286,2.162499,-3.023046,,,,,,
1521,12.675000,-1.004144,2.161897,-3.023516,,,,,,
1522,12.683333,-1.000026,2.161923,-3.023403,,,,,,
1523,12.691667,-0.995662,2.161680,-3.023813,,,,,,
1524,12.700000,-0.992105,2.161795,-3.023438,,,,,,
1525,12.708333,-0.987979,2.161568,-3.023471,,,,,,
1526,12.716667,-0.984800,2.161645,-3.023515,,,,,,
1527,12.725000,-0.981113,2.161906,-3.022945,,,,,,
1528,12.733333,-0.977895,2.161706,-3.023576,,,,,,
1529,12.741667,-0.974979,2.161951,-3.023559,,,,,,
1530,12.750000,-0.971384,2.162351,-3.023322,,,,,,
1531,12.758333,-0.968502,2.162519,-3.023767,,,,,,
1532,12.766667,-0.965697,2.162763,-3.024040,,,,,,
1533,12.775000,-0.962243,2.163131,-3.023740,,,,,,
1534,12.783333,-0.959546,2.163409,-3.024106,,,,,,
1535,12.791667,-0.956890,2.163927,-3.024398,,,,,,
1536,12.800000,-0.953633,2.164104,-3.024476,,,,,,
1537,12.808333,-0.951075,2.164268,-3.024869,,,,,,
1538,12.816667,-0.948574,2.164725,-3.025157,,,,,,
1539,12.825000,-0.945561,2.165196,-3.025506,,,,,,
1540,12.833333,-0.942944,2.165112,-3.025896,,,,,,
1541,12.841667,-0.940444,2.165372,-3.026393,,,,,,
1542,12.850000,-0.937522,2.165648,-3.026754,,,,,,
1543,12.858333,-0.934672,2.165896,-3.027241,,,,,,
1544,12.866667,-0.932412,2.166121,-3.027825,,,,,,
1545,12.875000,-0.930147,2.166216,-3.028252,,,,,,
1546,12.883333,-0.927342,2.166175,-3.029368,,,,,,
1547,12.891667,-0.925020,2.166319,-3.029839,,,,,,
1548,12.900000,-0.922842,2.166584,-3.030787,,,,,,
1549,12.908333,-0.920206,2.166233,-3.032242,,,,,,
1550,12.916667,-0.917814,2.166085,-3.033293,,,,,,
1551,12.925000,-0.915410,2.166151,-3.033840,,,,,,
1552,12.933333,-0.913396,2.166329,-3.034985,,,,,,
1553,12.941667,-0.911193,2.166182,-3.036680,,,,,,
1554,12.950000,-0.909268,2.166061,-3.038113,,,,,,
1555,12.958333,-0.907143,2.165922,-3.039955,,,,,,
1556,12.966667,-0.905028,2.165941,-3.041109,,,,,,
1557,12.975000,-0.903101,2.165817,-3.042721,,,,,,
1558,12.983333,-0.901546,2.165549,-3.044819,,,,,,
1559,12.991667,-0.899825,2.165492,-3.046762,,,,,,
1560,13.000000,-0.898175,2.165226,-3.048932,,,,,,
1561,13.008333,-0.896715,2.165215,-3.051078,,,,,,
1562,13.016667,-0.895190,2.165275,-3.053027,,,,,,
1563,13.025000,-0.893611,2.165288,-3.055029,,,,,,
1564,13.033333,-0.892112,2.165152,-3.056990,,,,,,
1565,13.041667,-0.890590,2.164920,-3.059521,,,,,,
1566,13.050000,-0.889611,2.164834,-3.061639,,,,,,
1567,13.058333,-0.888611,2.164789,-3.063950,,,,,,
1568,13.066667,-0.887383,2.164757,-3.066622,,,,,,
1569,13.075000,-0.886197,2.164611,-3.069173,,,,,,
1570,13.083333,-0.885133,2.164417,-3.071963,,,,,,
1571,13.091667,-0.884146,2.164526,-3.074319,,,,,,
1572,13.100000,-0.883391,2.164378,-3.076901,,,,,,
1573,13.108333,-0.882460,2.164327,-3.079697,,,,,,
1574,13.116667,-0.881708,2.164207,-3.082189,,,,,,
1575,13.125000,-0.881083,2.164242,-3.084906,,,,,,
1576,13.133333,-0.880175,2.164480,-3.087663,,,,,,
1577,13.141667,-0.879587,2.164521,-3.090453,,,,,,
1578,13.150000,-0.878881,2.164596,-3.093615,,,,,,
1579,13.158333,-0.878202,2.164650,-3.096660,,,,,,
1580,13.166667,-0.877511,2.164526,-3.100139,,,,,,
1581,13.175000,-0.876841,2.164746,-3.103330,,,,,,
1582,13.183333,-0.876066,2.164604,-3.106854,,,,,,
1583,13.191667,-0.875571,2.164940,-3.110310,,,,,,
1584,13.200000,-0.875044,2.165087,-3.113702,,,,,,
1585,13.208333,-0.874302,2.165248,-3.117505,,,,,,
1586,13.216667,-0.873393,2.165060,-3.121466,,,,,,
1587,13.225000,-0.872525,2.165155,-3.125530,,,,,,
1588,13.233333,-0.872041,2.165202,-3.129812,,,,,,
1589,13.241667,-0.871275,2.165307,-3.133918,,,,,,
1590,13.250000,-0.870496,2.165212,-3.138532,,,,,,
1591,13.258333,-0.869762,2.165093,-3.143411,,,,,,
1592,13.266667,-0.870753,2.166102,-3.149759,,,,,,
1593,13.275000,-0.868657,2.165062,-3.152835,,,,,,
1594,13.283333,-0.868034,2.164858,-3.157903,,,,,,
1595,13.291667,-0.867185,2.164489,-3.162891,,,,,,
1596,13.300000,-0.866613,2.164420,-3.167928,,,,,,
1597,13.308333,-0.865889,2.164028,-3.173073,,,,,,
1598,13.316667,-0.865315,2.163676,-3.178016,,,,,,
1599,13.325000,-0.864580,2.163127,-3.183322,,,,,,
1600,13.333333,-0.863688,2.162432,-3.188923,,,,,,
1601,13.341667,-0.862747,2.161897,-3.194740,,,,,,
1602,13.350000,-0.862045,2.161302,-3.200144,,,,,,
1603,13.358333,-0.861392,2.160868,-3.205321,,,,,,
1604,13.366667,-0.862360,2.161283,-3.213033,,,,,,
1605,13.375000,-0.860359,2.159636,-3.216989,,,,,,
1606,13.383333,-0.859862,2.158929,-3.222949,,,,,,
1607,13.391667,-0.859265,2.158419,-3.228610,,,,,,
1608,13.400000,-0.858708,2.157623,-3.234406,,,,,,
1609,13.408333,-0.857991,2.156928,-3.240320,,,,,,
1610,13.416667,-0.857249,2.156149,-3.246215,,,,,,
1611,13.425000,-0.856690,2.155463,-3.251965,,,,,,
1612,13.433333,-0.856427,2.154889,-3.257874,,,,,,
1613,13.441667,-0.855924,2.154139,-3.264295,,,,,,
1614,13.450000,-0.855543,2.153356,-3.270643,,,,,,
1615,13.458333,-0.854854,2.152681,-3.276989,,,,,,
1616,13.466667,-0.854476,2.152290,-3.282824,,,,,,
1617,13.475000,-0.853630,2.151666,-3.289231,,,,,,
1618,13.483333,-0.852786,2.151039,-3.295566,,,,,,
1619,13.491667,-0.851945,2.150640,-3.301792,,,,,,
1620,13.500000,-0.851265,2.150064,-3.308194,,,,,,
1621,13.508333,-0.850482,2.149476,-3.314802,,,,,,
1622,13.516667,-0.851195,2.149897,-3.323430,,,,,,
1623,13.525000,-0.848857,2.148247,-3.328473,,,,,,
1624,13.533333,-0.848364,2.148041,-3.334696,,,,,,
1625,13.541667,-0.847507,2.147658,-3.341229,,,,,,
1626,13.550000,-0.846793,2.147399,-3.347749,,,,,,
1627,13.558333,-0.845851,2.147032,-3.354380,,,,,,
1628,13.566667,-0.845140,2.146806,-3.360295,,,,,,
1629,13.575000,-0.844377,2.146610,-3.367338,,,,,,
1630,13.583333,-0.843629,2.146282,-3.373953,,,,,,
1631,13.591667,-0.844707,2.147357,-3.383008,,,,,,
1632,13.600000,-0.842418,2.146384,-3.388024,,,,,,
1633,13.608333,-0.841448,2.146256,-3.395423,,,,,,
1634,13.616667,-0.840326,2.146268,-3.402299,,,,,,
1635,13.625000,-0.839318,2.146582,-3.409611,,,,,,
1636,13.633333,-0.837848,2.146553,-3.416911,,,,,,
