Format Version,1.1,Take Name,Take 2016-04-07 08.33.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.33.14.076 PM,Total Frames,3720,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10014,Marker_10014,Marker_10014,Marker_10015,Marker_10015,Marker_10015,Marker_10016,Marker_10016,Marker_10016,Marker_10017,Marker_10017,Marker_10017,Marker_10019,Marker_10019,Marker_10019
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702723","8392B20CF49E35702723","8392B20CF49E35702723"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
988,8.233333,-2.375642,1.580515,1.485936,,,,,,,,,,,,,,,
989,8.241667,-2.377749,1.589136,1.489832,,,,,,,,,,,,,,,
990,8.250000,-2.379923,1.597859,1.493883,,,,,,,,,,,,,,,
991,8.258333,-2.382069,1.606954,1.498059,,,,,,,,,,,,,,,
992,8.266667,-2.384027,1.616464,1.502749,,,,,,,,,,,,,,,
993,8.275000,-2.385988,1.626168,1.507616,,,,,,,,,,,,,,,
994,8.283333,-2.387875,1.635991,1.512510,,,,,,,,,,,,,,,
995,8.291667,-2.390012,1.646396,1.517848,,,,,,,,,,,,,,,
996,8.300000,-2.392279,1.656782,1.522870,,,,,,,,,,,,,,,
997,8.308333,-2.394573,1.667597,1.528507,,,,,,,,,,,,,,,
998,8.316667,-2.396900,1.678386,1.533985,,,,,,,,,,,,,,,
999,8.325000,-2.399627,1.689479,1.539623,,,,,,,,,,,,,,,
1000,8.333333,-2.402444,1.700747,1.545466,,,,,,,,,,,,,,,
1001,8.341667,-2.405133,1.712313,1.551334,,,,,,,,,,,,,,,
1002,8.350000,-2.407569,1.724092,1.557594,,,,,,,,,,,,,,,
1003,8.358333,-2.410474,1.735920,1.563740,,,,,,,,,,,,,,,
1004,8.366667,-2.413375,1.747835,1.570048,,,,,,,,,,,,,,,
1005,8.375000,-2.416269,1.759949,1.576648,,,,,,,,,,,,,,,
1006,8.383333,-2.419491,1.772413,1.583329,,,,,,,,,,,,,,,
1007,8.391667,-2.422557,1.784701,1.590194,,,,,,,,,,,,,,,
1008,8.400000,-2.425777,1.796964,1.597044,,,,,,,,,,,,,,,
1009,8.408333,-2.429147,1.809555,1.604294,,,,,,,,,,,,,,,
1010,8.416667,-2.432424,1.822411,1.611558,,,,,,,,,,,,,,,
1011,8.425000,-2.435564,1.834985,1.618995,,,,,,,,,,,,,,,
1012,8.433333,-2.438712,1.847926,1.626776,,,,,,,,,,,,,,,
1013,8.441667,-2.441589,1.860970,1.634816,,,,,,,,,,,,,,,
1014,8.450000,-2.444578,1.873736,1.642631,,,,,,,,,,,,,,,
1015,8.458333,-2.447463,1.886861,1.650991,,,,,,,,,,,,,,,
1016,8.466667,-2.450248,1.899836,1.659176,,,,,,,,,,,,,,,
1017,8.475000,-2.452673,1.913136,1.667718,,,,,,,,,,,,,,,
1018,8.483333,-2.454906,1.926055,1.676660,,,,,,,,,,,,,,,
1019,8.491667,-2.456833,1.939184,1.685270,,,,,,,,,,,,,,,
1020,8.500000,-2.458862,1.952164,1.694094,,,,,,,,,,,,,,,
1021,8.508333,-2.460726,1.965560,1.703564,,,,,,,,,,,,,,,
1022,8.516667,-2.462498,1.978516,1.712694,,,,,,,,,,,,,,,
1023,8.525000,-2.464250,1.991625,1.721822,,,,,,,,,,,,,,,
1024,8.533333,-2.466205,2.004614,1.731401,,,,,,,,,,,,,,,
1025,8.541667,-2.467584,2.017683,1.740905,,,,,,,,,,,,,,,
1026,8.550000,-2.468923,2.030871,1.750607,,,,,,,,,,,,,,,
1027,8.558333,-2.470181,2.043964,1.760422,,,,,,,,,,,,,,,
1028,8.566667,-2.471159,2.057156,1.770493,,,,,,,,,,,,,,,
1029,8.575000,-2.472158,2.070005,1.780334,,,,,,,,,,,,,,,
1030,8.583333,-2.473207,2.082919,1.790109,,,,,,,,,,,,,,,
1031,8.591667,-2.473995,2.095896,1.800294,,,,,,,,,,,,,,,
1032,8.600000,-2.474864,2.108701,1.810260,,,,,,,,,,,,,,,
1033,8.608333,-2.475472,2.121578,1.820341,,,,,,,,,,,,,,,
1034,8.616667,-2.475794,2.134386,1.830451,,,,,,,,,,,,,,,
1035,8.625000,-2.476355,2.146896,1.840340,,,,,,,,,,,,,,,
1036,8.633333,-2.476741,2.159609,1.850464,,,,,,,,,,,,,,,
1037,8.641667,-2.477196,2.172308,1.860460,,,,,,,,,,,,,,,
1038,8.650000,-2.477374,2.184549,1.870171,,,,,,,,,,,,,,,
1039,8.658333,-2.477248,2.196839,1.879850,,,,,,,,,,,,,,,
1040,8.666667,-2.477016,2.209015,1.889785,,,,,,,,,,,,,,,
1041,8.675000,-2.476617,2.221070,1.899565,,,,,,,,,,,,,,,
1042,8.683333,-2.476158,2.232997,1.909236,,,,,,,,,,,,,,,
1043,8.691667,-2.475555,2.244784,1.918876,,,,,,,,,,,,,,,
1044,8.700000,-2.475153,2.256424,1.928030,,,,,,,,,,,,,,,
1045,8.708333,-2.474643,2.267922,1.937242,,,,,,,,,,,,,,,
1046,8.716667,-2.474252,2.279070,1.946208,,,,,,,,,,,,,,,
1047,8.725000,-2.473712,2.290361,1.955236,,,,,,,,,,,,,,,
1048,8.733333,-2.472806,2.301689,1.964103,,,,,,,,,,,,,,,
1049,8.741667,-2.471581,2.312738,1.973040,,,,,,,,,,,,,,,
1050,8.750000,-2.470379,2.323594,1.981471,,,,,,,,,,,,,,,
1051,8.758333,-2.469336,2.334629,1.989796,,,,,,,,,,,,,,,
1052,8.766667,-2.468049,2.345536,1.998031,,,,,,,,,,,,,,,
1053,8.775000,-2.466695,2.356230,2.006229,,,,,,,,,,,,,,,
1054,8.783333,-2.465507,2.367161,2.014482,,,,,,,,,,,,,,,
1055,8.791667,-2.464167,2.378045,2.022570,,,,,,,,,,,,,,,
1056,8.800000,-2.462948,2.388979,2.030363,,,,,,,,,,,,,,,
1057,8.808333,-2.461760,2.400050,2.037801,,,,,,,,,,,,,,,
1058,8.816667,-2.460649,2.411344,2.045448,,,,,,,,,,,,,,,
1059,8.825000,-2.459179,2.422279,2.052982,,,,,,,,,,,,,,,
1060,8.833333,-2.457203,2.433381,2.060224,,,,,,,,,,,,,,,
1061,8.841667,-2.454926,2.444301,2.067298,,,,,,,,,,,,,,,
1062,8.850000,-2.453088,2.455410,2.074343,,,,,,,,,,,,,,,
1063,8.858333,-2.451146,2.466276,2.081184,,,,,,,,,,,,,,,
1064,8.866667,-2.449178,2.477094,2.087997,,,,,,,,,,,,,,,
1065,8.875000,-2.447313,2.488097,2.094566,,,,,,,,,,,,,,,
1066,8.883333,-2.445313,2.498649,2.101008,,,,,,,,,,,,,,,
1067,8.891667,-2.443442,2.509701,2.107220,,,,,,,,,,,,,,,
1068,8.900000,-2.441527,2.520330,2.113425,,,,,,,,,,,,,,,
1069,8.908333,-2.439600,2.530818,2.119710,,,,,,,,,,,,,,,
1070,8.916667,-2.437736,2.541072,2.125743,,,,,,,,,,,,,,,
1071,8.925000,-2.435842,2.551418,2.131854,,,,,,,,,,,,,,,
1072,8.933333,-2.434147,2.561402,2.138061,,,,,,,,,,,,,,,
1073,8.941667,-2.432730,2.571372,2.144344,,,,,,,,,,,,,,,
1074,8.950000,-2.431660,2.581271,2.150622,,,,,,,,,,,,,,,
1075,8.958333,-2.430816,2.590747,2.156805,,,,,,,,,,,,,,,
1076,8.966667,-2.429878,2.600099,2.163379,,,,,,,,,,,,,,,
1077,8.975000,-2.429326,2.609279,2.170016,,,,,,,,,,,,,,,
1078,8.983333,-2.428918,2.618264,2.176531,,,,,,,,,,,,,,,
1079,8.991667,-2.428563,2.626870,2.183617,,,,,,,,,,,,,,,
1080,9.000000,-2.428422,2.635193,2.190645,,,,,,,,,,,,,,,
1081,9.008333,-2.428464,2.643205,2.197616,,,,,,,,,,,,,,,
1082,9.016667,-2.428295,2.650748,2.204726,,,,,,,,,,,,,,,
1083,9.025000,-2.428441,2.658049,2.211792,,,,,,,,,,,,,,,
1084,9.033333,-2.428625,2.664714,2.219250,,,,,,,,,,,,,,,
1085,9.041667,-2.429341,2.671535,2.226171,,,,,,,,,,,,,,,
1086,9.050000,-2.429497,2.677479,2.233805,,,,,,,,,,,,,,,
1087,9.058333,-2.430147,2.682855,2.240928,,,,,,,,,,,,,,,
1088,9.066667,-2.430700,2.687944,2.248357,,,,,,,,,,,,,,,
1089,9.075000,-2.431232,2.692387,2.255745,,,,,,,,,,,,,,,
1090,9.083333,-2.431761,2.696360,2.263202,,,,,,,,,,,,,,,
1091,9.091667,-2.432104,2.699721,2.270661,,,,,,,,,,,,,,,
1092,9.100000,-2.432739,2.702125,2.277860,,,,,,,,,,,,,,,
1093,9.108333,-2.432912,2.704123,2.285297,,,,,,,,,,,,,,,
1094,9.116667,-2.432882,2.705189,2.292481,,,,,,,,,,,,,,,
1095,9.125000,-2.433008,2.705756,2.299651,,,,,,,,,,,,,,,
1096,9.133333,-2.432844,2.705375,2.306772,,,,,,,,,,,,,,,
1097,9.141667,-2.432633,2.704415,2.313904,,,,,,,,,,,,,,,
1098,9.150000,-2.432715,2.702573,2.320944,,,,,,,,,,,,,,,
1099,9.158333,-2.432330,2.700288,2.328625,,,,,,,,,,,,,,,
1100,9.166667,-2.431874,2.696991,2.336006,,,,,,,,,,,,,,,
1101,9.175000,-2.431591,2.693169,2.343482,,,,,,,,,,,,,,,
1102,9.183333,-2.430991,2.688483,2.351166,,,,,,,,,,,,,,,
1103,9.191667,-2.430337,2.683130,2.358899,,,,,,,,,,,,,,,
1104,9.200000,-2.429571,2.676697,2.366585,,,,,,,,,,,,,,,
1105,9.208333,-2.428521,2.669902,2.374173,,,,,,,,,,,,,,,
1106,9.216667,-2.427761,2.662160,2.381508,,,,,,,,,,,,,,,
1107,9.225000,-2.426433,2.653804,2.389642,,,,,,,,,,,,,,,
1108,9.233333,-2.425215,2.644951,2.397685,,,,,,,,,,,,,,,
1109,9.241667,-2.424126,2.635228,2.405850,,,,,,,,,,,,,,,
1110,9.250000,-2.422772,2.624940,2.413846,,,,,,,,,,,,,,,
1111,9.258333,-2.421408,2.613924,2.422288,,,,,,,,,,,,,,,
1112,9.266667,-2.419676,2.602544,2.430584,,,,,,,,,,,,,,,
1113,9.275000,-2.418375,2.590224,2.438964,,,,,,,,,,,,,,,
1114,9.283333,-2.416512,2.577308,2.447287,,,,,,,,,,,,,,,
1115,9.291667,-2.414958,2.563958,2.455857,,,,,,,,,,,,,,,
1116,9.300000,-2.412883,2.550129,2.464426,,,,,,,,,,,,,,,
1117,9.308333,-2.411175,2.535827,2.473129,,,,,,,,,,,,,,,
1118,9.316667,-2.409095,2.520968,2.482028,,,,,,,,,,,,,,,
1119,9.325000,-2.407389,2.505561,2.490893,,,,,,,,,,,,,,,
1120,9.333333,-2.404974,2.490038,2.500388,,,,,,,,,,,,,,,
1121,9.341667,-2.403139,2.473875,2.509338,,,,,,,,,,,,,,,
1122,9.350000,-2.400760,2.457745,2.518973,,,,,,,,,,,,,,,
1123,9.358333,-2.399105,2.441195,2.528539,,,,,,,,,,,,,,,
1124,9.366667,-2.397307,2.424583,2.538578,,,,,,,,,,,,,,,
1125,9.375000,-2.395570,2.407887,2.548694,,,,,,,,,,,,,,,
1126,9.383333,-2.394025,2.390716,2.558970,,,,,,,,,,,,,,,
1127,9.391667,-2.392023,2.373470,2.569553,,,,,,,,,,,,,,,
1128,9.400000,-2.390371,2.356142,2.580222,,,,,,,,,,,,,,,
1129,9.408333,-2.388525,2.338759,2.591345,,,,,,,,,,,,,,,
1130,9.416667,-2.386321,2.321323,2.602566,,,,,,,,,,,,,,,
1131,9.425000,-2.384737,2.303985,2.613952,,,,,,,,,,,,,,,
1132,9.433333,-2.382596,2.286794,2.625791,,,,,,,,,,,,,,,
1133,9.441667,-2.380342,2.269633,2.637541,,,,,,,,,,,,,,,
1134,9.450000,-2.378640,2.252790,2.649946,,,,,,,,,,,,,,,
1135,9.458333,-2.376581,2.235960,2.662652,,,,,,,,,,,,,,,
1136,9.466667,-2.374653,2.219462,2.675746,,,,,,,,,,,,,,,
1137,9.475000,-2.372919,2.202571,2.688679,,,,,,,,,,,,,,,
1138,9.483333,-2.371062,2.185952,2.702201,,,,,,,,,,,,,,,
1139,9.491667,-2.368643,2.169702,2.715960,,,,,,,,,,,,,,,
1140,9.500000,-2.366286,2.153471,2.730073,,,,,,,,,,,,,,,
1141,9.508333,-2.363777,2.137386,2.743951,,,,,,,,,,,,,,,
1142,9.516667,-2.361139,2.121634,2.758031,,,,,,,,,,,,,,,
1143,9.525000,-2.358632,2.105996,2.772327,,,,,,,,,,,,,,,
1144,9.533333,-2.355847,2.090988,2.787189,,,,,,,,,,,,,,,
1145,9.541667,-2.353238,2.076285,2.802040,,,,,,,,,,,,,,,
1146,9.550000,-2.350728,2.061701,2.817081,,,,,,,,,,,,,,,
1147,9.558333,-2.347884,2.047632,2.832454,,,,,,,,,,,,,,,
1148,9.566667,-2.345255,2.033992,2.847995,,,,,,,,,,,,,,,
1149,9.575000,-2.342289,2.020708,2.863799,,,,,,,,,,,,,,,
1150,9.583333,-2.339315,2.007692,2.879688,,,,,,,,,,,,,,,
1151,9.591667,-2.336494,1.995142,2.895769,,,,,,,,,,,,,,,
1152,9.600000,-2.333429,1.982743,2.911828,,,,,,,,,,,,,,,
1153,9.608333,-2.330759,1.970747,2.928168,,,,,,,,,,,,,,,
1154,9.616667,-2.327421,1.958963,2.944396,,,,,,,,,,,,,,,
1155,9.625000,-2.324553,1.947413,2.960809,,,,,,,,,,,,,,,
1156,9.633333,-2.321237,1.936083,2.977184,,,,,,,,,,,,,,,
1157,9.641667,-2.318057,1.925046,2.994000,,,,,,,,,,,,,,,
1158,9.650000,-2.314789,1.914200,3.010464,,,,,,,,,,,,,,,
1159,9.658333,-2.311568,1.903859,3.027629,,,,,,,,,,,,,,,
1160,9.666667,-2.307950,1.893524,3.044265,,,,,,,,,,,,,,,
1161,9.675000,-2.304784,1.882862,3.060738,,,,,,,,,,,,,,,
1162,9.683333,-2.300885,1.872966,3.077689,,,,,,,,,,,,,,,
1163,9.691667,-2.297382,1.863123,3.094240,,,,,,,,,,,,,,,
1164,9.700000,-2.293492,1.853185,3.110696,,,,,,,,,,,,,,,
1165,9.708333,-2.290192,1.843405,3.127022,,,,,,,,,,,,,,,
1166,9.716667,-2.286086,1.834087,3.143428,,,,,,,,,,,,,,,
1167,9.725000,-2.281878,1.824615,3.159440,,,,,,,,,,,,,,,
1168,9.733333,-2.278286,1.815288,3.175307,,,,,,,,,,,,,,,
1169,9.741667,-2.273909,1.806370,3.191224,,,,,,,,,,,,,,,
1170,9.750000,-2.269850,1.797307,3.206892,,,,,,,,,,,,,,,
1171,9.758333,-2.265535,1.788733,3.222707,,,,,,,,,,,,,,,
1172,9.766667,-2.261019,1.780061,3.238072,,,,,,,,,,,,,,,
1173,9.775000,-2.256312,1.772030,3.253274,,,,,,,,,,,,,,,
1174,9.783333,-2.251818,1.763577,3.268426,,,,,,,,,,,,,,,
1175,9.791667,-2.247146,1.755689,3.283207,,,,,,,,,,,,,,,
1176,9.800000,-2.242133,1.748110,3.298388,,,,,,,,,,,,,,,
1177,9.808333,-2.237022,1.740638,3.313410,,,,,,,,,,,,,,,
1178,9.816667,-2.231851,1.733171,3.327842,,,,,,,,,,,,,,,
1179,9.825000,-2.226375,1.726000,3.342562,,,,,,,,,,,,,,,
1180,9.833333,-2.220808,1.718830,3.356827,,,,,,,,,,,,,,,
1181,9.841667,-2.215161,1.712051,3.371449,,,,,,,,,,,,,,,
1182,9.850000,-2.209369,1.705159,3.385413,,,,,,,,,,,,,,,
1183,9.858333,-2.203376,1.698675,3.399434,,,,,,,,,,,,,,,
1184,9.866667,-2.197022,1.692191,3.413153,,,,,,,,,,,,,,,
1185,9.875000,-2.190586,1.686150,3.426604,,,,,,,,,,,,,,,
1186,9.883333,-2.183946,1.680486,3.439910,,,,,,,,,,,,,,,
1187,9.891667,-2.176995,1.674900,3.453273,,,,,,,,,,,,,,,
1188,9.900000,-2.170110,1.669623,3.466136,,,,,,,,,,,,,,,
1189,9.908333,-2.163061,1.664887,3.478797,,,,,,,,,,,,,,,
1190,9.916667,-2.155702,1.660230,3.491708,,,,,,,,,,,,,,,
1191,9.925000,-2.148030,1.655976,3.503799,,,,,,,,,,,,,,,
1192,9.933333,-2.140309,1.651692,3.516439,,,,,,,,,,,,,,,
1193,9.941667,-2.132766,1.647777,3.528315,,,,,,,,,,,,,,,
1194,9.950000,-2.124830,1.644236,3.540935,,,,,,,,,,,,,,,
1195,9.958333,-2.116395,1.640754,3.552822,,,,,,,,,,,,,,,
1196,9.966667,-2.108150,1.637890,3.564558,,,,,,,,,,,,,,,
1197,9.975000,-2.099537,1.635292,3.576539,,,,,,,,,,,,,,,
1198,9.983333,-2.090558,1.632781,3.588121,,,,,,,,,,,,,,,
1199,9.991667,-2.081663,1.630479,3.599718,,,,,,,,,,,,,,,
1200,10.000000,-2.072118,1.628523,3.610805,,,,,,,,,,,,,,,
1201,10.008333,-2.062710,1.626883,3.621900,,,,,,,,,,,,,,,
1202,10.016667,-2.052736,1.625645,3.632840,,,,,,,,,,,,,,,
1203,10.025000,-2.042948,1.624400,3.643637,,,,,,,,,,,,,,,
1204,10.033333,-2.032603,1.623752,3.654415,,,,,,,,,,,,,,,
1205,10.041667,-2.022366,1.623394,3.665179,,,,,,,,,,,,,,,
1206,10.050000,-2.012732,1.622622,3.674099,,,,,,,,,,,,,,,
1207,10.058333,-2.001000,1.623040,3.685714,,,,,,,,,,,,,,,
1208,10.066667,-1.990442,1.623407,3.693959,,,,,,,,,,,,,,,
1209,10.075000,-1.978946,1.624061,3.703381,,,,,,,,,,,,,,,
1210,10.083333,-1.967157,1.625315,3.712708,,,,,,,,,,,,,,,
1211,10.091667,-1.954796,1.626001,3.722589,,,,,,,,,,,,,,,
1212,10.100000,-1.942361,1.627708,3.730827,,,,,,,,,,,,,,,
1213,10.108333,-1.930434,1.629504,3.737384,,,,,,,,,,,,,,,
1214,10.116667,-1.917711,1.632017,3.744874,,,,,,,,,,,,,,,
1215,10.125000,-1.904729,1.634423,3.751642,,,,,,,,,,,,,,,
1216,10.133333,-1.890739,1.637914,3.758906,,,,,,,,,,,,,,,
1217,10.141667,-1.876481,1.641092,3.766530,,,,,,,,,,,,,,,
1218,10.150000,-1.862842,1.644987,3.771034,,,,,,,,,,,,,,,
1219,10.158333,-1.848685,1.649245,3.776609,,,,,,,,,,,,,,,
1220,10.166667,-1.833905,1.653774,3.781868,,,,,,,,,,,,,,,
1221,10.175000,-1.818545,1.658974,3.787155,,,,,,,,,,,,,,,
1222,10.183333,-1.803550,1.663926,3.791594,,,,,,,,,,,,,,,
1223,10.191667,-1.787620,1.669766,3.796167,,,,,,,,,,,,,,,
1224,10.200000,-1.771725,1.675939,3.800210,,,,,,,,,,,,,,,
1225,10.208333,-1.755138,1.682344,3.803758,,,,,,,,,,,,,,,
1226,10.216667,-1.737612,1.689368,3.808706,,,,,,,,,,,,,,,
1227,10.225000,-1.721215,1.696480,3.810559,,,,,,,,,,,,,,,
1228,10.233333,-1.704054,1.703991,3.813545,,,,,,,,,,,,,,,
1229,10.241667,-1.687031,1.711554,3.815954,,,,,,,,,,,,,,,
1230,10.250000,-1.668805,1.720085,3.818743,,,,,,,,,,,,,,,
1231,10.258333,-1.650021,1.729014,3.822300,,,,,,,,,,,,,,,
1232,10.266667,-1.632924,1.737794,3.822548,,,,,,,,,,,,,,,
1233,10.275000,-1.614733,1.747471,3.824368,,,,,,,,,,,,,,,
1234,10.283333,-1.596750,1.756954,3.825635,,,,,,,,,,,,,,,
1235,10.291667,-1.577250,1.767417,3.828201,,,,,,,,,,,,,,,
1236,10.300000,-1.559936,1.777353,3.827660,,,,,,,,,,,,,,,
1237,10.308333,-1.541619,1.787702,3.828258,,,,,,,,,,,,,,,
1238,10.316667,-1.521576,1.799439,3.830804,,,,,,,,,,,,,,,
1239,10.325000,-1.502941,1.810647,3.831179,,,,,,,,,,,,,,,
1240,10.333333,-1.484099,1.822139,3.831872,,,,,,,,,,,,,,,
1241,10.341667,-1.465453,1.833711,3.832163,,,,,,,,,,,,,,,
1242,10.350000,-1.447081,1.845537,3.832373,,,,,,,,,,,,,,,
1243,10.358333,-1.428444,1.857734,3.832337,,,,,,,,,,,,,,,
1244,10.366667,-1.409909,1.869863,3.832055,,,,,,,,,,,,,,,
1245,10.375000,-1.391438,1.882389,3.831745,,,,,,,,,,,,,,,
1246,10.383333,-1.372905,1.895136,3.831275,,,,,,,,,,,,,,,
1247,10.391667,-1.354580,1.907591,3.830655,,,,,,,,,,,,,,,
1248,10.400000,-1.336370,1.920278,3.830078,,,,,,,,,,,,,,,
1249,10.408333,-1.318265,1.933252,3.829183,,,,,,,,,,,,,,,
1250,10.416667,-1.300596,1.946447,3.828471,,,,,,,,,,,,,,,
1251,10.425000,-1.283005,1.959680,3.827280,,,,,,,,,,,,,,,
1252,10.433333,-1.265460,1.973198,3.826169,,,,,,,,,,,,,,,
1253,10.441667,-1.248347,1.986342,3.824779,,,,,,,,,,,,,,,
1254,10.450000,-1.231463,1.999775,3.823510,,,,,,,,,,,,,,,
1255,10.458333,-1.214912,2.013397,3.822028,,,,,,,,,,,,,,,
1256,10.466667,-1.198768,2.027284,3.819866,,,,,,,,,,,,,,,
1257,10.475000,-1.183307,2.041380,3.817129,,,,,,,,,,,,,,,
1258,10.483333,-1.168557,2.055918,3.814552,,,,,,,,,,,,,,,
1259,10.491667,-1.153959,2.070337,3.811556,,,,,,,,,,,,,,,
1260,10.500000,-1.140125,2.085238,3.808649,,,,,,,,,,,,,,,
1261,10.508333,-1.126652,2.100327,3.805488,,,,,,,,,,,,,,,
1262,10.516667,-1.113833,2.116001,3.802148,,,,,,,,,,,,,,,
1263,10.525000,-1.101147,2.131732,3.798878,,,,,,,,,,,,,,,
1264,10.533333,-1.089136,2.148124,3.795336,,,,,,,,,,,,,,,
1265,10.541667,-1.077676,2.164751,3.791725,,,,,,,,,,,,,,,
1266,10.550000,-1.066798,2.181870,3.787884,,,,,,,,,,,,,,,
1267,10.558333,-1.056268,2.199054,3.783609,,,,,,,,,,,,,,,
1268,10.566667,-1.046320,2.216248,3.779088,,,,,,,,,,,,,,,
1269,10.575000,-1.036823,2.233706,3.774616,,,,,,,,,,,,,,,
1270,10.583333,-1.027676,2.250984,3.769767,,,,,,,,,,,,,,,
1271,10.591667,-1.018946,2.268099,3.764813,,,,,,,,,,,,,,,
1272,10.600000,-1.010740,2.285404,3.759663,,,,,,,,,,,,,,,
1273,10.608333,-1.002914,2.302879,3.754586,,,,,,,,,,,,,,,
1274,10.616667,-0.995282,2.319918,3.749172,,,,,,,,,,,,,,,
1275,10.625000,-0.987939,2.337139,3.743576,,,,,,,,,,,,,,,
1276,10.633333,-0.980553,2.354176,3.738006,,,,,,,,,,,,,,,
1277,10.641667,-0.973986,2.371126,3.732611,,,,,,,,,,,,,,,
1278,10.650000,-0.967082,2.387702,3.726934,,,,,,,,,,,,,,,
1279,10.658333,-0.960517,2.404437,3.721616,,,,,,,,,,,,,,,
1280,10.666667,-0.954021,2.420632,3.715868,,,,,,,,,,,,,,,
1281,10.675000,-0.947613,2.436749,3.710491,,,,,,,,,,,,,,,
1282,10.683333,-0.940891,2.452629,3.704922,,,,,,,,,,,,,,,
1283,10.691667,-0.934294,2.468724,3.699472,,,,,,,,,,,,,,,
1284,10.700000,-0.927658,2.484102,3.693892,,,,,,,,,,,,,,,
1285,10.708333,-0.921053,2.499566,3.688610,,,,,,,,,,,,,,,
1286,10.716667,-0.913954,2.514898,3.683731,,,,,,,,,,,,,,,
1287,10.725000,-0.906711,2.529947,3.679113,,,,,,,,,,,,,,,
1288,10.733333,-0.899276,2.544757,3.674620,,,,,,,,,,,,,,,
1289,10.741667,-0.892056,2.559265,3.670325,,,,,,,,,,,,,,,
1290,10.750000,-0.884368,2.573245,3.665809,,,,,,,,,,,,,,,
1291,10.758333,-0.876252,2.587092,3.661682,,,,,,,,,,,,,,,
1292,10.766667,-0.868630,2.600329,3.657418,,,,,,,,,,,,,,,
1293,10.775000,-0.860779,2.613099,3.653328,,,,,,,,,,,,,,,
1294,10.783333,-0.852788,2.625533,3.649247,,,,,,,,,,,,,,,
1295,10.791667,-0.844669,2.637469,3.645122,,,,,,,,,,,,,,,
1296,10.800000,-0.836627,2.648791,3.640834,,,,,,,,,,,,,,,
1297,10.808333,-0.828675,2.659550,3.636924,,,,,,,,,,,,,,,
1298,10.816667,-0.820884,2.669662,3.632829,,,,,,,,,,,,,,,
1299,10.825000,-0.813042,2.679041,3.628500,,,,,,,,,,,,,,,
1300,10.833333,-0.805192,2.688060,3.624407,,,,,,,,,,,,,,,
1301,10.841667,-0.797122,2.696324,3.619992,,,,,,,,,,,,,,,
1302,10.850000,-0.789546,2.703964,3.616009,,,,,,,,,,,,,,,
1303,10.858333,-0.781645,2.710964,3.611552,,,,,,,,,,,,,,,
1304,10.866667,-0.773702,2.717130,3.607067,,,,,,,,,,,,,,,
1305,10.875000,-0.765866,2.723160,3.602840,,,,,,,,,,,,,,,
1306,10.883333,-0.758344,2.727889,3.598207,,,,,,,,,,,,,,,
1307,10.891667,-0.750602,2.732019,3.593465,,,,,,,,,,,,,,,
1308,10.900000,-0.742691,2.735395,3.588785,,,,,,,,,,,,,,,
1309,10.908333,-0.734922,2.738151,3.584131,,,,,,,,,,,,,,,
1310,10.916667,-0.727341,2.739902,3.579207,,,,,,,,,,,,,,,
1311,10.925000,-0.719808,2.740814,3.574287,,,,,,,,,,,,,,,
1312,10.933333,-0.712152,2.741022,3.569325,,,,,,,,,,,,,,,
1313,10.941667,-0.704340,2.740433,3.564316,,,,,,,,,,,,,,,
1314,10.950000,-0.696935,2.738772,3.558853,,,,,,,,,,,,,,,
1315,10.958333,-0.689449,2.736576,3.553637,,,,,,,,,,,,,,,
1316,10.966667,-0.682143,2.733383,3.548255,,,,,,,,,,,,,,,
1317,10.975000,-0.674516,2.729298,3.542696,,,,,,,,,,,,,,,
1318,10.983333,-0.667267,2.724473,3.537036,,,,,,,,,,,,,,,
1319,10.991667,-0.659829,2.718714,3.531108,,,,,,,,,,,,,,,
1320,11.000000,-0.652330,2.712105,3.524876,,,,,,,,,,,,,,,
1321,11.008333,-0.645223,2.704798,3.518887,,,,,,,,,,,,,,,
1322,11.016667,-0.637945,2.696569,3.512651,,,,,,,,,,,,,,,
1323,11.025000,-0.630702,2.687674,3.506228,,,,,,,,,,,,,,,
1324,11.033333,-0.623121,2.678002,3.499464,,,,,,,,,,,,,,,
1325,11.041667,-0.615522,2.667645,3.492683,,,,,,,,,,,,,,,
1326,11.050000,-0.607833,2.656283,3.485602,,,,,,,,,,,,,,,
1327,11.058333,-0.599965,2.644814,3.478539,,,,,,,,,,,,,,,
1328,11.066667,-0.591883,2.633047,3.471256,,,,,,,,,,,,,,,
1329,11.075000,-0.583358,2.620727,3.463762,,,,,,,,,,,,,,,
