Format Version,1.1,Take Name,Take 2016-04-07 08.33.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.33.14.076 PM,Total Frames,3720,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10014,Marker_10014,Marker_10014,Marker_10015,Marker_10015,Marker_10015,Marker_10016,Marker_10016,Marker_10016,Marker_10017,Marker_10017,Marker_10017,Marker_10019,Marker_10019,Marker_10019
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702723","8392B20CF49E35702723","8392B20CF49E35702723"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
67,0.558333,-2.310258,1.423735,1.461250,,,,,,,,,,,,,,,
68,0.566667,-2.310269,1.423746,1.461284,,,,,,,,,,,,,,,
69,0.575000,-2.310314,1.423840,1.461343,,,,,,,,,,,,,,,
70,0.583333,-2.310249,1.423773,1.461321,,,,,,,,,,,,,,,
71,0.591667,-2.310283,1.423774,1.461303,,,,,,,,,,,,,,,
72,0.600000,-2.310245,1.423802,1.461352,,,,,,,,,,,,,,,
73,0.608333,-2.310234,1.423831,1.461277,,,,,,,,,,,,,,,
74,0.616667,-2.310243,1.423775,1.461341,,,,,,,,,,,,,,,
75,0.625000,-2.310231,1.423736,1.461237,,,,,,,,,,,,,,,
76,0.633333,-2.310287,1.423698,1.461220,,,,,,,,,,,,,,,
77,0.641667,-2.310242,1.423684,1.461227,,,,,,,,,,,,,,,
78,0.650000,-2.310313,1.423780,1.461285,,,,,,,,,,,,,,,
79,0.658333,-2.310247,1.423754,1.461264,,,,,,,,,,,,,,,
80,0.666667,-2.310209,1.423807,1.461259,,,,,,,,,,,,,,,
81,0.675000,-2.310202,1.423736,1.461281,,,,,,,,,,,,,,,
82,0.683333,-2.310307,1.423817,1.461249,,,,,,,,,,,,,,,
83,0.691667,-2.310250,1.423860,1.461333,,,,,,,,,,,,,,,
84,0.700000,-2.310228,1.423814,1.461348,,,,,,,,,,,,,,,
85,0.708333,-2.310208,1.423762,1.461286,,,,,,,,,,,,,,,
86,0.716667,-2.310213,1.423816,1.461368,,,,,,,,,,,,,,,
87,0.725000,-2.310206,1.423799,1.461359,,,,,,,,,,,,,,,
88,0.733333,-2.310265,1.423839,1.461266,,,,,,,,,,,,,,,
89,0.741667,-2.310228,1.423853,1.461316,,,,,,,,,,,,,,,
90,0.750000,-2.310249,1.423815,1.461344,,,,,,,,,,,,,,,
91,0.758333,-2.310192,1.423759,1.461326,,,,,,,,,,,,,,,
92,0.766667,-2.310203,1.423725,1.461314,,,,,,,,,,,,,,,
93,0.775000,-2.310233,1.423728,1.461282,,,,,,,,,,,,,,,
94,0.783333,-2.310214,1.423693,1.461237,,,,,,,,,,,,,,,
95,0.791667,-2.310240,1.423750,1.461328,,,,,,,,,,,,,,,
