Format Version,1.1,Take Name,first_flight,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2015-05-31 10.06.53.423 PM,Total Frames,7763,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10882,Marker_10882,Marker_10882,Marker_10948,Marker_10948,Marker_10948,Marker_10996,Marker_10996,Marker_10996,Marker_10998,Marker_10998,Marker_10998,Marker_11000,Marker_11000,Marker_11000,Marker_11001,Marker_11001,Marker_11001,Marker_11002,Marker_11002,Marker_11002,Marker_11004,Marker_11004,Marker_11004,Marker_11005,Marker_11005,Marker_11005,Marker_11006,Marker_11006,Marker_11006,Marker_11007,Marker_11007,Marker_11007,Marker_11009,Marker_11009,Marker_11009,Marker_10997,Marker_10997,Marker_10997,Marker_11010,Marker_11010,Marker_11010,Marker_10886,Marker_10886,Marker_10886,Marker_11012,Marker_11012,Marker_11012,Marker_11011,Marker_11011,Marker_11011,Marker_11013,Marker_11013,Marker_11013,Marker_11015,Marker_11015,Marker_11015,Marker_11023,Marker_11023,Marker_11023,Marker_11026,Marker_11026,Marker_11026,Marker_11027,Marker_11027,Marker_11027,Marker_11028,Marker_11028,Marker_11028,Marker_11014,Marker_11014,Marker_11014,Marker_11029,Marker_11029,Marker_11029,Marker_11016,Marker_11016,Marker_11016,Marker_11030,Marker_11030,Marker_11030,Marker_11031,Marker_11031,Marker_11031,Marker_11032,Marker_11032,Marker_11032,Marker_10623,Marker_10623,Marker_10623,Marker_11033,Marker_11033,Marker_11033,Marker_11034,Marker_11034,Marker_11034,Marker_11035,Marker_11035,Marker_11035,Marker_11039,Marker_11039,Marker_11039,Marker_11037,Marker_11037,Marker_11037,Marker_11036,Marker_11036,Marker_11036,Marker_11040,Marker_11040,Marker_11040,Marker_11041,Marker_11041,Marker_11041,Marker_11042,Marker_11042,Marker_11042,Marker_11045,Marker_11045,Marker_11045,Marker_11047,Marker_11047,Marker_11047,Marker_11052,Marker_11052,Marker_11052,Marker_11051,Marker_11051,Marker_11051,Marker_11055,Marker_11055,Marker_11055,Marker_11057,Marker_11057,Marker_11057,Marker_11064,Marker_11064,Marker_11064,Marker_11065,Marker_11065,Marker_11065,Marker_11066,Marker_11066,Marker_11066
,,"8392B20CF49E35702A82","8392B20CF49E35702A82","8392B20CF49E35702A82","8392B20CF49E35702AC4","8392B20CF49E35702AC4","8392B20CF49E35702AC4","8392B20CF49E35702AF4","8392B20CF49E35702AF4","8392B20CF49E35702AF4","8392B20CF49E35702AF6","8392B20CF49E35702AF6","8392B20CF49E35702AF6","8392B20CF49E35702AF8","8392B20CF49E35702AF8","8392B20CF49E35702AF8","8392B20CF49E35702AF9","8392B20CF49E35702AF9","8392B20CF49E35702AF9","8392B20CF49E35702AFA","8392B20CF49E35702AFA","8392B20CF49E35702AFA","8392B20CF49E35702AFC","8392B20CF49E35702AFC","8392B20CF49E35702AFC","8392B20CF49E35702AFD","8392B20CF49E35702AFD","8392B20CF49E35702AFD","8392B20CF49E35702AFE","8392B20CF49E35702AFE","8392B20CF49E35702AFE","8392B20CF49E35702AFF","8392B20CF49E35702AFF","8392B20CF49E35702AFF","8392B20CF49E35702B01","8392B20CF49E35702B01","8392B20CF49E35702B01","8392B20CF49E35702AF5","8392B20CF49E35702AF5","8392B20CF49E35702AF5","8392B20CF49E35702B02","8392B20CF49E35702B02","8392B20CF49E35702B02","8392B20CF49E35702A86","8392B20CF49E35702A86","8392B20CF49E35702A86","8392B20CF49E35702B04","8392B20CF49E35702B04","8392B20CF49E35702B04","8392B20CF49E35702B03","8392B20CF49E35702B03","8392B20CF49E35702B03","8392B20CF49E35702B05","8392B20CF49E35702B05","8392B20CF49E35702B05","8392B20CF49E35702B07","8392B20CF49E35702B07","8392B20CF49E35702B07","8392B20CF49E35702B0F","8392B20CF49E35702B0F","8392B20CF49E35702B0F","8392B20CF49E35702B12","8392B20CF49E35702B12","8392B20CF49E35702B12","8392B20CF49E35702B13","8392B20CF49E35702B13","8392B20CF49E35702B13","8392B20CF49E35702B14","8392B20CF49E35702B14","8392B20CF49E35702B14","8392B20CF49E35702B06","8392B20CF49E35702B06","8392B20CF49E35702B06","8392B20CF49E35702B15","8392B20CF49E35702B15","8392B20CF49E35702B15","8392B20CF49E35702B08","8392B20CF49E35702B08","8392B20CF49E35702B08","8392B20CF49E35702B16","8392B20CF49E35702B16","8392B20CF49E35702B16","8392B20CF49E35702B17","8392B20CF49E35702B17","8392B20CF49E35702B17","8392B20CF49E35702B18","8392B20CF49E35702B18","8392B20CF49E35702B18","8392B20CF49E3570297F","8392B20CF49E3570297F","8392B20CF49E3570297F","8392B20CF49E35702B19","8392B20CF49E35702B19","8392B20CF49E35702B19","8392B20CF49E35702B1A","8392B20CF49E35702B1A","8392B20CF49E35702B1A","8392B20CF49E35702B1B","8392B20CF49E35702B1B","8392B20CF49E35702B1B","8392B20CF49E35702B1F","8392B20CF49E35702B1F","8392B20CF49E35702B1F","8392B20CF49E35702B1D","8392B20CF49E35702B1D","8392B20CF49E35702B1D","8392B20CF49E35702B1C","8392B20CF49E35702B1C","8392B20CF49E35702B1C","8392B20CF49E35702B20","8392B20CF49E35702B20","8392B20CF49E35702B20","8392B20CF49E35702B21","8392B20CF49E35702B21","8392B20CF49E35702B21","8392B20CF49E35702B22","8392B20CF49E35702B22","8392B20CF49E35702B22","8392B20CF49E35702B25","8392B20CF49E35702B25","8392B20CF49E35702B25","8392B20CF49E35702B27","8392B20CF49E35702B27","8392B20CF49E35702B27","8392B20CF49E35702B2C","8392B20CF49E35702B2C","8392B20CF49E35702B2C","8392B20CF49E35702B2B","8392B20CF49E35702B2B","8392B20CF49E35702B2B","8392B20CF49E35702B2F","8392B20CF49E35702B2F","8392B20CF49E35702B2F","8392B20CF49E35702B31","8392B20CF49E35702B31","8392B20CF49E35702B31","8392B20CF49E35702B38","8392B20CF49E35702B38","8392B20CF49E35702B38","8392B20CF49E35702B39","8392B20CF49E35702B39","8392B20CF49E35702B39","8392B20CF49E35702B3A","8392B20CF49E35702B3A","8392B20CF49E35702B3A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-5.319979,0.879114,-1.723439,-2.272451,4.487679,-1.219644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-5.319922,0.879132,-1.723527,-2.272411,4.487689,-1.219799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-5.320016,0.879087,-1.723477,-2.272569,4.487661,-1.219634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-5.320017,0.879132,-1.723545,-2.269893,4.487572,-1.222200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-5.320095,0.879257,-1.723471,-2.267526,4.487929,-1.219581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-5.319971,0.879238,-1.723583,-2.272477,4.487697,-1.219606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
